ngram,Record,Recrd,Reord,Recrd
1594,2.4574593453507987e-06,0.0,0.0,0.0
1595,2.4574593453507987e-06,0.0,0.0,0.0
1596,2.481151097656818e-06,0.0,0.0,0.0
1597,2.5843617257643407e-06,0.0,0.0,0.0
1598,5.456176284366977e-06,0.0,0.0,0.0
1599,5.448760264568721e-06,0.0,0.0,0.0
1600,6.38678594506408e-06,0.0,0.0,0.0
1601,6.414478223502686e-06,0.0,0.0,0.0
1602,6.518878941668456e-06,0.0,0.0,0.0
1603,7.132680934773816e-06,0.0,0.0,0.0
1604,1.4091118259784707e-05,0.0,0.0,0.0
1605,1.1431635308716587e-05,0.0,0.0,0.0
1606,1.3244482764613557e-05,0.0,0.0,0.0
1607,1.1859903630855634e-05,0.0,0.0,0.0
1608,1.1664579769135994e-05,0.0,0.0,0.0
1609,1.1937527006011805e-05,0.0,0.0,0.0
1610,1.1113306787332736e-05,0.0,0.0,0.0
1611,1.0653305675337574e-05,0.0,0.0,0.0
1612,9.641373675809259e-06,0.0,0.0,0.0
1613,7.718401872937517e-06,0.0,0.0,0.0
1614,7.718401872937517e-06,0.0,0.0,0.0
1615,1.3813493913923075e-05,0.0,0.0,0.0
1616,1.3436145958881493e-05,0.0,0.0,0.0
1617,1.3559687293504144e-05,0.0,0.0,0.0
1618,9.258470389080945e-06,0.0,0.0,0.0
1619,1.0271280895527265e-05,0.0,0.0,0.0
1620,1.00940662101883e-05,0.0,0.0,0.0
1621,1.0450902201292983e-05,0.0,0.0,0.0
1622,4.496506976790572e-06,0.0,0.0,0.0
1623,4.496506976790572e-06,0.0,0.0,0.0
1624,6.1649518881625094e-06,0.0,0.0,0.0
1625,3.604546301565798e-06,0.0,0.0,0.0
1626,2.821357611537678e-06,0.0,0.0,0.0
1627,5.874339064705834e-06,0.0,0.0,0.0
1628,6.5001774731042265e-06,0.0,0.0,0.0
1629,7.0197154075555905e-06,0.0,0.0,0.0
1630,7.6234583892593425e-06,0.0,0.0,0.0
1631,5.944832115086943e-06,0.0,0.0,0.0
1632,7.868980934030592e-06,0.0,0.0,0.0
1633,1.3808534959025565e-05,0.0,0.0,0.0
1634,1.0576754927374818e-05,0.0,0.0,0.0
1635,9.923359381705918e-06,0.0,0.0,0.0
1636,1.0392101972099357e-05,0.0,0.0,0.0
1637,1.0227319754514091e-05,0.0,0.0,0.0
1638,1.2605356029585632e-05,0.0,0.0,0.0
1639,1.3406665297160153e-05,0.0,0.0,0.0
1640,9.190842539348004e-06,0.0,0.0,0.0
1641,9.84381154012226e-06,0.0,0.0,0.0
1642,1.016223167685634e-05,0.0,0.0,0.0
1643,1.0478413482165447e-05,0.0,0.0,0.0
1644,1.3430927018427091e-05,0.0,0.0,0.0
1645,1.1676283260645245e-05,0.0,0.0,0.0
1646,1.3987745595451478e-05,0.0,0.0,0.0
1647,1.2762711386520615e-05,0.0,0.0,0.0
1648,1.7075589442226503e-05,0.0,0.0,0.0
1649,1.7835990417682168e-05,0.0,0.0,0.0
1650,1.7884115940043038e-05,0.0,0.0,0.0
1651,1.5352643263863035e-05,0.0,0.0,0.0
1652,1.6787075245312216e-05,0.0,0.0,0.0
1653,1.710183525054682e-05,0.0,0.0,0.0
1654,2.3964939243472016e-05,0.0,0.0,0.0
1655,2.340771158872355e-05,0.0,0.0,0.0
1656,3.0517389664705013e-05,0.0,0.0,0.0
1657,3.222161473916328e-05,0.0,0.0,0.0
1658,3.5382785686774044e-05,0.0,0.0,0.0
1659,3.523813393258024e-05,0.0,0.0,0.0
1660,3.7903933584207804e-05,0.0,0.0,0.0
1661,3.152184802144932e-05,0.0,0.0,0.0
1662,2.8248406124475878e-05,0.0,0.0,0.0
1663,2.1110222665551453e-05,0.0,0.0,0.0
1664,2.058531559409208e-05,0.0,0.0,0.0
1665,1.8195532902609557e-05,0.0,0.0,0.0
1666,2.076306580940062e-05,0.0,0.0,0.0
