x_sums,y_sums,x_ture,y_ture
221,[6.93864081e-10],207,[1.43491741e-07]
222,[4.87886293e-10],208,[1.58297146e-07]
223,[7.46666875e-10],209,[1.52092023e-07]
224,[6.72572487e-10],210,[1.57723569e-07]
225,[5.68810492e-10],211,[1.66721026e-07]
226,[6.37039043e-10],212,[1.55923514e-07]
227,[8.14211407e-10],213,[1.65618614e-07]
228,[5.7195895e-10],214,[1.52736039e-07]
229,[5.82434254e-10],215,[1.41546794e-07]
230,[6.17687264e-10],216,[1.53994826e-07]
231,[5.64338612e-10],217,[1.72845149e-07]
232,[4.89831543e-10],218,[1.85141498e-07]
233,[8.54604653e-10],219,[1.71529482e-07]
234,[6.32140536e-10],220,[1.56508051e-07]
235,[8.97597649e-10],221,[1.59167677e-07]
236,[8.48220787e-10],222,[1.61092439e-07]
237,[8.75886562e-10],223,[1.70705919e-07]
238,[8.90121972e-10],224,[1.76341288e-07]
239,[9.1859601e-10],225,[1.72894281e-07]
240,[8.4265595e-10],226,[1.70027896e-07]
241,[1.07479667e-09],227,[1.7755589e-07]
242,[6.90707041e-10],228,[1.74761278e-07]
243,[5.10270402e-10],229,[1.72541447e-07]
244,[7.37278596e-10],230,[1.85199039e-07]
245,[5.91944625e-10],231,[1.75048336e-07]
246,[5.40195293e-10],232,[1.88443258e-07]
247,[2.0015339e-10],233,[2.09314394e-07]
248,[4.7597808e-10],234,[1.85873795e-07]
249,[1.58251112e-10],235,[2.19701479e-07]
250,[3.27748395e-10],236,[2.25453032e-07]
251,[4.38416001e-10],237,[1.9255041e-07]
252,[3.94550083e-10],238,[2.04109958e-07]
253,[4.08877437e-10],239,[2.08078741e-07]
254,[5.21023281e-10],240,[2.18867515e-07]
255,[3.46578415e-10],241,[2.2159704e-07]
256,[3.24486546e-10],242,[2.59249666e-07]
257,[5.03707877e-10],243,[2.54891675e-07]
258,[2.82229458e-10],244,[2.56997011e-07]
259,[4.93706967e-10],245,[2.77397483e-07]
260,[4.28050843e-10],246,[2.97193596e-07]
261,[4.90394993e-10],247,[3.15038958e-07]
262,[4.91540122e-10],248,[2.51108503e-07]
263,[1.11048207e-10],249,[2.81771805e-07]
264,[6.36772083e-10],250,[2.86105837e-07]
265,[6.6461634e-10],251,[2.8712141e-07]
266,[5.55773903e-10],252,[2.79999842e-07]
267,[6.25938889e-10],253,[2.54266992e-07]
268,[5.68433242e-10],254,[2.9925094e-07]
269,[6.93077072e-10],255,[3.01835827e-07]
270,[5.57888322e-10],256,[2.98605219e-07]
271,[8.11958386e-10],257,[2.15729185e-07]
272,[1.17065096e-09],258,[2.13786507e-07]
273,[9.34521958e-10],259,[2.24050127e-07]
274,[7.64225415e-10],260,[2.1573089e-07]
275,[9.93112141e-10],261,[2.08220076e-07]
276,[1.16639613e-09],262,[2.15496435e-07]
277,[9.47852589e-10],263,[2.07318011e-07]
278,[1.17566441e-09],264,[1.92522428e-07]
279,[6.76135124e-10],265,[1.71420147e-07]
280,[7.25028257e-10],266,[1.88301671e-07]
281,[1.48835386e-09],267,[1.95692056e-07]
282,[7.56118376e-10],268,[2.0585594e-07]
283,[1.18611976e-09],269,[2.16172313e-07]
284,[8.53529801e-10],270,[2.15928149e-07]
285,[8.41697326e-10],271,[2.18973218e-07]
286,[1.13248742e-09],272,[2.19722396e-07]
287,[1.48605858e-09],273,[3.9199175e-07]
288,[4.47509683e-10],274,[3.85219841e-07]
289,[5.82106645e-10],275,[3.7712818e-07]
290,[9.21686671e-10],276,[3.27284443e-07]
291,[1.16752724e-09],277,[3.59214933e-07]
292,[1.22996075e-09],278,[3.45596416e-07]
293,[1.08053807e-09],279,[3.61276221e-07]
294,[8.52833452e-10],280,[3.60561481e-07]
295,[1.07231855e-09],281,[4.18471432e-07]
296,[1.53865468e-09],282,[3.91673637e-07]
297,[2.03615858e-09],283,[3.6975391e-07]
