ngram,Worm,Worim
1652,2.515766230512132e-06,0.0
1653,2.591142008766058e-06,0.0
1654,2.7359955652173085e-06,0.0
1655,2.7423275647769126e-06,0.0
1656,2.8782495584372166e-06,0.0
1657,1.7770617627580317e-06,0.0
1658,2.3450647371906338e-06,0.0
1659,2.491059425275515e-06,0.0
1660,3.1372568644526055e-06,0.0
1661,3.15709939156607e-06,0.0
1662,3.3012729464384653e-06,0.0
1663,5.7931500967762465e-06,0.0
1664,6.124724125454252e-06,0.0
1665,7.323660448881648e-06,0.0
1666,7.665548943285622e-06,0.0
1667,7.333403524561228e-06,0.0
1668,8.333505093105487e-06,0.0
1669,8.473359457639162e-06,0.0
1670,6.232052003594747e-06,0.0
1671,5.562551840349832e-06,0.0
1672,4.109423116460675e-06,0.0
1673,4.252483254926379e-06,0.0
1674,4.708849084116602e-06,0.0
1675,3.645916876848787e-06,0.0
1676,3.755994774629861e-06,0.0
1677,3.906882251872698e-06,0.0
1678,4.529446641754475e-06,0.0
1679,4.478855901522495e-06,0.0
1680,5.926903278512847e-06,0.0
1681,5.819512612755976e-06,0.0
1682,6.399881872961746e-06,0.0
1683,5.805758438067901e-06,0.0
1684,5.619038233817264e-06,0.0
1685,5.369289104757107e-06,0.0
1686,5.916462068203795e-06,0.0
1687,4.3441299015155114e-06,0.0
1688,4.258009003673838e-06,0.0
1689,4.955573769750897e-06,0.0
1690,5.625430113858394e-06,0.0
1691,5.886422448903821e-06,0.0
1692,6.186557584442198e-06,0.0
1693,6.250402748264605e-06,0.0
1694,6.07134133393369e-06,0.0
1695,6.225413049573295e-06,0.0
1696,6.3004166090000325e-06,0.0
1697,6.578020832291388e-06,0.0
1698,6.982754030104843e-06,0.0
1699,6.57188343211601e-06,0.0
1700,7.336353162047869e-06,0.0
1701,7.815755387647577e-06,0.0
1702,7.752481516425697e-06,0.0
1703,7.032764902500535e-06,0.0
1704,6.5047771775945355e-06,0.0
1705,6.193543673102145e-06,0.0
1706,6.521572361504825e-06,0.0
1707,5.932652324450568e-06,0.0
1708,5.554478775593452e-06,0.0
1709,5.448724745552422e-06,0.0
1710,5.16047352253476e-06,0.0
1711,5.154656979097386e-06,0.0
1712,4.938359877217278e-06,0.0
1713,5.9351786083945105e-06,0.0
1714,5.2732576867648665e-06,0.0
1715,5.661522079338153e-06,0.0
1716,5.511218887477298e-06,0.0
1717,5.953720866662999e-06,0.0
1718,1.323378342021897e-05,0.0
1719,1.4377977549884235e-05,0.0
1720,1.3151557985630851e-05,0.0
1721,1.3081453971608425e-05,0.0
1722,1.2717134820507323e-05,0.0
1723,1.3452797052845458e-05,0.0
1724,1.304650628039131e-05,0.0
1725,5.4776872145469365e-06,0.0
1726,4.3492515422778e-06,0.0
1727,4.118692783907006e-06,0.0
1728,5.006719188064121e-06,0.0
1729,5.1052909384452505e-06,0.0
1730,4.921877234664862e-06,0.0
1731,5.149893792934433e-06,0.0
1732,5.880463082316315e-06,0.0
1733,6.022129550079366e-06,0.0
1734,6.160391129534608e-06,0.0
1735,5.498162051610832e-06,0.0
1736,5.585152686243029e-06,0.0
1737,5.3072605429146535e-06,0.0
1738,4.9534646028145545e-06,0.0
1739,4.2532079273119706e-06,0.0
1740,5.3814140820967234e-06,0.0
1741,7.2635032860749305e-06,0.0
1742,8.07049338748454e-06,0.0
1743,8.640318063563817e-06,0.0
1744,9.106555580729037e-06,0.0
1745,9.364762653214192e-06,0.0
1746,1.083637477807185e-05,0.0
1747,1.0338749429398117e-05,0.0
1748,8.748176956682333e-06,0.0
1749,7.937589413943766e-06,0.0
1750,6.938065488221972e-06,0.0
1751,6.342186452457099e-06,0.0
1752,6.1489764837980535e-06,0.0
1753,4.840750079893041e-06,0.0
1754,4.3002865563071935e-06,0.0
1755,4.079463906236924e-06,0.0
1756,3.7504737520066556e-06,0.0
1757,3.637565165653151e-06,0.0
1758,3.207820619926289e-06,0.0
1759,2.851971901561358e-06,0.0
1760,2.4468786250508856e-06,0.0
1761,1.929752361970064e-06,0.0
1762,1.5906998182150086e-06,0.0
1763,1.804268663363473e-06,0.0
1764,1.7742731058336046e-06,0.0
1765,1.737334969220683e-06,0.0
1766,1.9273855319365145e-06,0.0
1767,2.3055848552238397e-06,0.0
1768,2.209696796333966e-06,0.0
1769,2.185866719628393e-06,0.0
1770,1.7447591257483249e-06,0.0
1771,1.7230122953800934e-06,0.0
1772,1.6554924481429874e-06,0.0
1773,1.5674759684510979e-06,0.0
1774,1.1873476231422892e-06,0.0
1775,1.2863949093246317e-06,0.0
1776,1.3729354252843353e-06,0.0
1777,1.4589288964218992e-06,0.0
1778,1.437097807865939e-06,0.0
1779,1.5265658411018585e-06,0.0
1780,1.3362907143995732e-06,0.0
1781,1.3320346689787193e-06,0.0
1782,1.277940019203275e-06,0.0
1783,1.1481931291460308e-06,0.0
1784,1.132857651750133e-06,0.0
1785,1.0818869944679527e-06,0.0
1786,9.71269538955052e-07,0.0
1787,9.67687266698444e-07,0.0
1788,8.817931903390022e-07,0.0
1789,8.065295641504885e-07,0.0
1790,6.706529477794123e-07,0.0
1791,5.863839354398286e-07,0.0
1792,5.985384875982293e-07,0.0
1793,5.951185195434456e-07,0.0
1794,5.933257674379482e-07,0.0
1795,5.856347310587548e-07,0.0
1796,5.978098848962483e-07,0.0
1797,6.030673570681497e-07,0.0
1798,5.557448779265022e-07,0.0
1799,5.451738210077955e-07,0.0
1800,5.57010951394789e-07,0.0
1801,5.674620686996994e-07,0.0
1802,5.970182347222622e-07,0.0
1803,6.648152748311986e-07,0.0
1804,7.078277479065167e-07,0.0
1805,7.254015161249429e-07,0.0
1806,7.369573121910175e-07,2.5855010196299387e-10
1807,7.44630329206432e-07,2.5855010196299387e-10
1808,7.272371931321686e-07,2.5855010196299387e-10
1809,7.061644607477189e-07,2.5855010196299387e-10
1810,7.192402335931547e-07,2.5855010196299387e-10
1811,6.844038255491926e-07,4.929340427902876e-10
1812,7.506771940565418e-07,4.929340427902876e-10
1813,7.256221579154953e-07,2.343839408272938e-10
1814,6.91445697904263e-07,2.343839408272938e-10
1815,6.957088568729627e-07,2.343839408272938e-10
1816,6.817103448091595e-07,2.343839408272938e-10
1817,5.744114730532601e-07,4.05731511879789e-10
1818,5.769205172003109e-07,1.7134757105249524e-10
1819,5.29196341858551e-07,1.7134757105249524e-10
1820,5.515953124099074e-07,1.7134757105249524e-10
1821,5.91382883742751e-07,1.7134757105249524e-10
1822,6.08547687923939e-07,1.7134757105249524e-10
1823,6.060336740379821e-07,1.7134757105249524e-10
1824,6.135870843796251e-07,0.0
1825,6.08728661128615e-07,0.0
1826,5.892417464435442e-07,0.0
1827,5.484150083897735e-07,1.0457060614247179e-10
1828,5.291032445191896e-07,2.1489991532318087e-10
1829,5.04392427761299e-07,2.1489991532318087e-10
1830,4.892520532199082e-07,2.1489991532318087e-10
1831,4.54806878126744e-07,2.1489991532318087e-10
1832,4.347457799472717e-07,2.1489991532318087e-10
1833,4.29787637098603e-07,3.798564399534346e-10
1834,4.261971184860158e-07,3.5834602745461146e-10
1835,4.300324251614386e-07,2.4801671827390237e-10
