ngram,G3,G3o,G3n,G3s,3,G3a,G3b
1856,7.551908660324053e-08,9.468793606335981e-11,0.0,1.1956612049652498e-09,0.0003733137106922056,5.05018606298892e-11,0.0
1857,8.073292028549467e-08,9.468793606335981e-11,0.0,1.1976541504564254e-09,0.0003777793941221067,5.05018606298892e-11,4.8134226763149204e-11
1858,8.505453357494324e-08,4.825934096786e-11,0.0,1.2200039867238388e-09,0.0003816753908592675,1.6570888708830215e-10,4.8134226763149204e-11
1859,8.83763624821248e-08,1.091887294865249e-10,0.0,1.1396164805483571e-09,0.0003872484667226672,1.6570888708830215e-10,4.8134226763149204e-11
1860,9.606255295986038e-08,6.09293885186649e-11,0.0,9.465791166769171e-10,0.00039351583940775266,1.6570888708830215e-10,4.8134226763149204e-11
1861,1.0323062582529019e-07,6.09293885186649e-11,0.0,1.1844954620318253e-09,0.0003927823397264417,1.1520702645841295e-10,4.8134226763149204e-11
1862,1.1126412350189899e-07,6.09293885186649e-11,0.0,1.2037945957515156e-09,0.0003931572261665549,1.1520702645841295e-10,4.8134226763149204e-11
1863,1.162323733134534e-07,6.09293885186649e-11,0.0,1.4366012268673956e-09,0.00039101414482242295,2.5842067374881594e-10,4.8134226763149204e-11
1864,1.217403574774575e-07,1.0802450997208065e-10,0.0,1.7160546396586896e-09,0.0003936902836098203,3.055157952022317e-10,0.0
1865,1.3078582635931264e-07,1.0802450997208065e-10,1.3267965297864796e-10,2.26424590188401e-09,0.00039718095130021017,1.9030876874381875e-10,0.0
1866,1.3494632306836657e-07,4.709512145341575e-11,1.3267965297864796e-10,2.8059814471959044e-09,0.0004004899736693395,1.9030876874381875e-10,0.0
1867,1.3676431365183817e-07,9.030757887527687e-11,1.3267965297864796e-10,3.1084686570790966e-09,0.00040315473285902826,2.76733683587541e-10,4.321245742186111e-11
1868,1.3619072295309058e-07,9.030757887527687e-11,1.3267965297864796e-10,3.1280421744891586e-09,0.0004116995509580842,3.2154538159063454e-10,4.321245742186111e-11
1869,1.3936620949347604e-07,9.030757887527687e-11,1.3267965297864796e-10,3.2291773065042305e-09,0.0004185201916178422,3.2154538159063454e-10,4.321245742186111e-11
1870,1.4073355966307384e-07,9.030757887527687e-11,1.749161133395611e-10,3.3118753136765886e-09,0.0004269099320351545,1.7833173430023156e-10,4.321245742186111e-11
1871,1.623694032559797e-07,4.321245742186111e-11,1.749161133395611e-10,3.1314755867737988e-09,0.00043432697670401206,1.312366128468158e-10,4.321245742186111e-11
1872,1.5865819997478476e-07,4.321245742186111e-11,4.223646036091314e-11,2.6728358574043145e-09,0.00043959003440769654,1.721883231236327e-10,4.321245742186111e-11
1873,1.6142491939977584e-07,1.2122996257651105e-10,1.5926272205797025e-10,2.2432940584492046e-09,0.0004458265404017376,2.111970757009577e-10,4.321245742186111e-11
1874,1.6419437339923855e-07,7.801750515464993e-11,1.5926272205797025e-10,2.020288277940604e-09,0.00045350623882508704,1.645128755445313e-10,0.0
1875,1.645057880393454e-07,1.1813253549978039e-10,1.5926272205797025e-10,1.8222548152963774e-09,0.00046113599507537274,1.1970117754143772e-10,0.0
1876,1.6207490359322817e-07,1.947965043237941e-10,1.5926272205797025e-10,1.4634740245053228e-09,0.00046774048158632856,1.1970117754143772e-10,0.0
1877,1.6097390544343527e-07,1.947965043237941e-10,1.170262616970571e-10,1.1037279820261654e-09,0.000473704600673435,1.1970117754143772e-10,0.0
1878,1.4117881213288846e-07,1.947965043237941e-10,1.5331162133464764e-10,1.3682666587046454e-09,0.00047886078079630224,1.1970117754143772e-10,0.0
1879,1.456057004491283e-07,2.2971031822725608e-10,1.5331162133464764e-10,1.2682495371357e-09,0.0004837096535733768,1.1366328116808283e-10,0.0
1880,1.420610219936082e-07,1.845794965284396e-10,3.6285359637590526e-11,1.132857062126545e-09,0.00048769471634711536,1.0754121204659128e-10,0.0
1881,1.4481434870309125e-07,2.4771068727970555e-10,3.6285359637590526e-11,1.2427692129359157e-09,0.0004924323750726346,6.780049735929542e-11,0.0
1882,1.467178256981632e-07,2.0759565693457509e-10,3.6285359637590526e-11,1.3415857234657024e-09,0.000494475696801341,1.3261965533687255e-10,0.0
1883,1.483840179616891e-07,1.6305431608084779e-10,3.6285359637590526e-11,1.3612896365700067e-09,0.0004987945805104184,1.9686491127744533e-10,0.0
1884,1.5607738086081164e-07,1.6305431608084779e-10,3.6285359637590526e-11,1.3174564375947488e-09,0.0005031380569562316,1.9686491127744533e-10,0.0
1885,1.5582713989000956e-07,2.501241515494103e-10,0.0,8.675079503956645e-10,0.000505360949318856,2.2588818910611915e-10,0.0
1886,1.5579121687941161e-07,2.4279895356154364e-10,2.7588615915595328e-11,8.455323623796878e-10,0.0005109041230753064,2.1856299111825247e-10,2.7588615915595328e-11
1887,1.513681959457764e-07,2.375462386318615e-10,2.7588615915595328e-11,9.126761291167185e-10,0.0005128217328871999,2.133102761885703e-10,2.7588615915595328e-11
1888,1.4689496603231029e-07,2.284207327253794e-10,5.459145833798727e-11,7.50285391355148e-10,0.0005159444741106459,2.673159610333542e-10,5.459145833798727e-11
1889,1.4341193223442262e-07,2.284207327253794e-10,8.076235315433524e-11,5.695214478589656e-10,0.0005175325786694884,2.0249680305577707e-10,5.459145833798727e-11
1890,1.4516180613100005e-07,2.2159379490080004e-10,1.0605804330004226e-10,5.743363265134757e-10,0.000519154518510082,1.6354723726091132e-10,5.459145833798727e-11
1891,1.389346887695605e-07,2.2159379490080004e-10,1.3166309510901997e-10,5.645246155459662e-10,0.0005196717268388186,2.6596744449682216e-10,8.019651014696499e-11
1892,1.4296166942325987e-07,2.2441028797131375e-10,1.3166309510901997e-10,5.738928082754668e-10,0.0005249034729786217,2.818873309376865e-10,1.251396744165031e-10
1893,1.406625723835272e-07,1.9682167205571843e-10,1.0407447919342466e-10,4.911269585461397e-10,0.0005255539269585695,2.5429871502209116e-10,9.755105850090778e-11
1894,1.4519776974404002e-07,1.9127947638507082e-10,1.0407447919342466e-10,4.1369023484616463e-10,0.0005318778733323727,2.266647464959399e-10,9.755105850090778e-11
1895,1.4729229137953682e-07,1.3727379154028696e-10,7.707163677103272e-11,4.502010153561997e-10,0.0005342305355173137,2.3617268458358305e-10,7.054821607851584e-11
1896,1.4591244174815593e-07,1.5665421737587337e-10,5.090074195468475e-11,4.1044917861324647e-10,0.0005340581493718284,2.749335362547559e-10,7.054821607851584e-11
1897,1.418116174331122e-07,1.3135852723016635e-10,2.5605051808977717e-11,3.464199284573612e-10,0.0005379146813148898,3.0536811174946317e-10,8.912497129198726e-11
