ngram,Zoning,Zooning,oning
1609,0.0,0.0,0.0
1610,0.0,0.0,0.0
1611,1.0241227853059951e-07,0.0,0.0
1612,1.0241227853059951e-07,0.0,0.0
1613,2.6222275956960015e-07,0.0,0.0
1614,2.6222275956960015e-07,0.0,3.296097474958515e-07
1615,2.6222275956960015e-07,0.0,3.296097474958515e-07
1616,2.6222275956960015e-07,0.0,3.296097474958515e-07
1617,2.6222275956960015e-07,0.0,4.531510821185033e-07
1618,1.598104810390006e-07,0.0,4.531510821185033e-07
1619,1.598104810390006e-07,0.0,4.531510821185033e-07
1620,0.0,0.0,5.538899959641899e-07
1621,0.0,0.0,2.2428024846833849e-07
1622,0.0,0.0,2.2428024846833849e-07
1623,0.0,0.0,2.2428024846833849e-07
1624,0.0,0.0,1.0073891384568664e-07
1625,0.0,0.0,1.0073891384568664e-07
1626,0.0,0.0,1.0073891384568664e-07
1627,0.0,0.0,0.0
1628,6.55116260921724e-08,0.0,0.0
1629,6.55116260921724e-08,0.0,0.0
1630,6.55116260921724e-08,0.0,8.624899854632012e-08
1631,6.55116260921724e-08,0.0,8.624899854632012e-08
1632,6.55116260921724e-08,0.0,8.624899854632012e-08
1633,6.55116260921724e-08,0.0,8.624899854632012e-08
1634,6.55116260921724e-08,0.0,2.0966716160078898e-07
1635,0.0,0.0,2.0966716160078898e-07
1636,0.0,0.0,2.0966716160078898e-07
1637,0.0,0.0,1.2341816305446889e-07
1638,0.0,0.0,1.2341816305446889e-07
1639,0.0,0.0,1.2341816305446889e-07
1640,0.0,0.0,2.2622621794913096e-07
1641,0.0,0.0,1.028080548946621e-07
1642,0.0,0.0,1.028080548946621e-07
1643,0.0,0.0,1.028080548946621e-07
1644,0.0,0.0,1.028080548946621e-07
1645,0.0,0.0,1.028080548946621e-07
1646,0.0,0.0,1.028080548946621e-07
1647,0.0,0.0,0.0
1648,0.0,0.0,0.0
1649,0.0,0.0,0.0
1650,0.0,0.0,0.0
1651,0.0,0.0,0.0
1652,0.0,0.0,0.0
1653,0.0,0.0,0.0
1654,0.0,0.0,4.1483186155996266e-08
1655,0.0,0.0,4.1483186155996266e-08
1656,0.0,0.0,4.1483186155996266e-08
1657,0.0,0.0,4.1483186155996266e-08
1658,0.0,0.0,4.1483186155996266e-08
