ngram,Hop,Hopr,Hopd,Hopx,Hozp,Hopn
1889,9.60600719476393e-07,1.0687873007255077e-09,3.426390104183901e-10,9.124809836296472e-11,2.700284242239194e-11,3.7617815013784346e-10
1890,9.687673647411948e-07,1.0394674843094975e-09,3.426390104183901e-10,2.700284242239194e-11,2.700284242239194e-11,4.014738402835505e-10
1891,9.465748657281178e-07,1.16856849990172e-09,3.121281031256576e-10,5.260789423136966e-11,2.700284242239194e-11,2.7452435166378363e-10
1892,9.284663471070027e-07,1.0777634618097665e-09,1.6046001432330163e-10,5.260789423136966e-11,2.700284242239194e-11,2.6142096027597413e-10
1893,8.954920482600366e-07,1.2301412983488952e-09,7.316722426344211e-11,5.260789423136966e-11,2.700284242239194e-11,1.4653954835289592e-10
1894,8.87669671101321e-07,1.2521560613773124e-09,6.762502859279453e-11,5.260789423136966e-11,2.700284242239194e-11,1.4099735268224833e-10
1895,8.82929392836169e-07,1.2770035743133894e-09,1.3113865152522156e-10,6.79474670972624e-11,0.0,1.6216856032639067e-10
1896,9.061153524011647e-07,1.222679822467297e-09,1.5051907736080798e-10,6.79474670972624e-11,0.0,2.0092941199756353e-10
1897,9.039435115352847e-07,1.0879023951534554e-09,1.690958325742794e-10,6.79474670972624e-11,0.0,2.313639874922708e-10
1898,8.966604809756973e-07,9.68590358712313e-10,2.2321033910088772e-10,4.234241528828469e-11,1.803816818135573e-11,2.77911608408716e-10
1899,9.239658912260243e-07,9.655158894616989e-10,2.371665701130153e-10,4.234241528828469e-11,1.803816818135573e-11,2.693962572860745e-10
1900,9.443369322070794e-07,8.302432392375587e-10,2.5024610558358317e-10,6.041301982482951e-11,1.803816818135573e-11,2.644051882200975e-10
1901,9.530933441835389e-07,8.176494084973943e-10,2.6242770654962197e-10,6.041301982482951e-11,1.803816818135573e-11,3.108601630076789e-10
1902,9.432734243221473e-07,1.2111237885597298e-09,2.505689544740619e-10,1.8070604536544822e-11,1.803816818135573e-11,3.0690724564915884e-10
1903,9.30083867193129e-07,1.199532679534749e-09,2.790059611917124e-10,1.8070604536544822e-11,1.803816818135573e-11,3.000246836685047e-10
1904,9.33728886463671e-07,1.2334788190848656e-09,2.7628294592606043e-10,1.8070604536544822e-11,1.803816818135573e-11,2.442944180280904e-10
1905,9.908079050546803e-07,1.223603924532008e-09,2.3741530170389476e-10,1.8070604536544822e-11,0.0,2.1788233122472482e-10
1906,9.864448640785537e-07,1.176380429576288e-09,2.009874885569981e-10,1.8070604536544822e-11,0.0,2.2799947644155542e-10
1907,9.936090837722337e-07,1.191999055016879e-09,1.7949645341503688e-10,1.465017393112841e-11,0.0,2.5387939369839584e-10
1908,9.930719297049758e-07,1.1955623316747425e-09,1.4522307959349438e-10,1.465017393112841e-11,0.0,2.1278155428104484e-10
1909,1.0106577000052702e-06,7.789179698062096e-10,1.3491123694388462e-10,2.8431183003123958e-11,0.0,2.2312528213941363e-10
1910,1.0182136033368546e-06,7.869784585905798e-10,1.0086769415749787e-10,2.8431183003123958e-11,0.0,1.9124699244889498e-10
1911,1.0290118552802596e-06,7.160602666367311e-10,9.899188611685515e-11,2.8431183003123958e-11,0.0,2.0522492435607172e-10
1912,9.919062417143972e-07,5.780057494139282e-10,9.815913161657721e-11,2.8431183003123958e-11,0.0,2.027266608552379e-10
1913,9.815460982411293e-07,6.589249889768897e-10,1.5535080761479898e-10,2.8431183003123958e-11,0.0,1.8477754049062156e-10
1914,9.565808747018828e-07,6.148734130977702e-10,1.699336128162849e-10,2.8397498638302718e-11,0.0,1.4082701869723635e-10
1915,9.467088862688147e-07,5.710469468321402e-10,2.1774978050829016e-10,2.8397498638302718e-11,0.0,1.1337811047150228e-10
1916,9.366643780595041e-07,5.184646154859124e-10,1.9145861483517634e-10,1.461648956630717e-11,0.0,1.0086795486165455e-10
1917,9.154802731765293e-07,4.647119702938518e-10,1.7768472506832619e-10,1.461648956630717e-11,0.0,1.5673089215351155e-10
1918,9.21294364226404e-07,4.231804817281645e-10,1.6370679316114944e-10,1.461648956630717e-11,0.0,2.0027391649841368e-10
1919,9.157032780292087e-07,4.79795104440279e-10,1.7770417875302107e-10,1.461648956630717e-11,2.841149339603634e-11,1.7123734077520832e-10
1920,9.413893167220522e-07,3.600175752754049e-10,1.205125027547993e-10,1.461648956630717e-11,5.161314827909333e-11,1.890448125422114e-10
1921,9.648596070681897e-07,4.848377572435376e-10,9.127952362218496e-11,0.0,5.161314827909333e-11,1.890448125422114e-10
1922,1.0101412775449198e-06,4.534467325432802e-10,4.346335593017971e-11,0.0,5.161314827909333e-11,1.890448125422114e-10
1923,1.044516571775083e-06,4.97003339277364e-10,2.841149339603634e-11,0.0,5.161314827909333e-11,1.9854639460303858e-10
1924,1.0703593034122605e-06,4.236647282995776e-10,5.2833023670270254e-11,0.0,5.161314827909333e-11,1.426834573111816e-10
1925,1.0684061148172726e-06,5.013051898198181e-10,7.583819881608532e-11,2.3005175145815062e-11,5.161314827909333e-11,1.5417802451400675e-10
1926,1.0804755317751967e-06,5.907371992368888e-10,7.034966855089055e-11,2.3005175145815062e-11,2.3201654883056986e-11,1.6289524094683016e-10
1927,1.108621177081659e-06,6.812274415203743e-10,9.308804719118261e-11,2.3005175145815062e-11,0.0,1.1649193118071618e-10
