ngram,Qi,Qip,Qit,Qia,Qik,Qei,Qui
1783,7.683617094958858e-07,0.0,0.0,2.349140310846971e-09,0.0,0.0,2.775450379236385e-06
1784,7.657709651149551e-07,1.664472115692206e-09,1.664472115692206e-09,4.013612426539177e-09,0.0,0.0,2.720738588582857e-06
1785,7.376561736042017e-07,3.2825945136697297e-09,1.664472115692206e-09,5.6317348245167005e-09,0.0,0.0,2.789307115693061e-06
1786,8.834533876519604e-07,3.2825945136697297e-09,3.0045704337209956e-09,6.97183314254549e-09,0.0,0.0,2.5920115993877905e-06
1787,9.26481350558918e-07,3.2825945136697297e-09,4.293712052572118e-09,5.911834450549642e-09,0.0,0.0,2.633918451725289e-06
1788,4.814890611929254e-07,3.2825945136697297e-09,5.600264125454097e-09,8.524938596313599e-09,0.0,0.0,2.5098285212672115e-06
1789,4.81051423711116e-07,3.2825945136697297e-09,6.7636489425077735e-09,9.688323413367276e-09,1.163384817053676e-09,0.0,2.3875597727445504e-06
1790,4.949764615957974e-07,3.2825945136697297e-09,7.868497345750062e-09,9.688323413367276e-09,1.163384817053676e-09,0.0,2.150847275775699e-06
1791,6.394302585834209e-07,1.6181223979775235e-09,7.289991467627845e-09,9.109817535245059e-09,2.2493510546236652e-09,0.0,2.1881049536075025e-06
1792,1.0211087158040755e-06,2.1765241038045654e-09,9.46651557143241e-09,7.491695137267535e-09,2.2493510546236652e-09,0.0,2.1023619508144165e-06
1793,8.788789277299916e-07,3.1625462248996428e-09,1.207050573778393e-08,6.151596819238745e-09,3.235373175718743e-09,0.0,2.124936258951493e-06
1794,8.381226186721895e-07,3.1625462248996428e-09,1.1779349686134668e-08,5.860440767589483e-09,4.233358742920603e-09,0.0,2.1690360654247343e-06
1795,9.319840797518606e-07,3.1625462248996428e-09,1.1386069737844601e-08,5.073880871009351e-09,4.233358742920603e-09,0.0,2.2061253568088953e-06
1796,9.050169061148543e-07,3.1625462248996428e-09,1.1170846533506814e-08,3.9104960539556745e-09,3.0699739258669265e-09,9.481616127158888e-10,2.1941082520373e-06
1797,9.036322329133586e-07,3.1625462248996428e-09,1.063292178114596e-08,3.9104960539556745e-09,3.0699739258669265e-09,9.481616127158888e-10,2.188782738293022e-06
1798,7.381771069958631e-07,3.1625462248996428e-09,1.0125612221705588e-08,5.1391565289041605e-09,1.984007688296937e-09,9.481616127158888e-10,2.2339831308012696e-06
1799,4.5395064164819943e-07,9.860221210950775e-10,9.150627303508178e-09,5.739926121707737e-09,1.984007688296937e-09,9.481616127158888e-10,2.0978999535665414e-06
1800,5.302440208814525e-07,0.0,6.44153061049987e-09,5.739926121707737e-09,1.4096494765120887e-09,1.3598255220261179e-09,2.0215989025018644e-06
1801,5.000549561730492e-07,0.0,5.907885514133682e-09,4.741940554505877e-09,4.116639093102289e-10,1.3598255220261179e-09,2.027926387069913e-06
1802,3.8345203482289693e-07,4.341267980022069e-10,5.428740187543976e-09,3.783649901326466e-09,4.116639093102289e-10,1.7939523200283247e-09,2.0308565841073038e-06
1803,4.074475035460117e-07,4.341267980022069e-10,5.182578493340933e-09,4.485649819839312e-09,4.116639093102289e-10,8.457907073124358e-10,2.326789301930278e-06
1804,3.728096434737641e-07,4.341267980022069e-10,4.9207323929830895e-09,5.705960021933671e-09,1.0218190103574086e-09,8.457907073124358e-10,2.4064537618479723e-06
1805,3.6205423522720335e-07,4.341267980022069e-10,4.601753216577314e-09,4.430043316310568e-09,1.0218190103574086e-09,8.457907073124358e-10,2.3890969974412916e-06
1806,2.5855382140045027e-07,4.341267980022069e-10,4.692964572505787e-09,5.1220242650426175e-09,1.2803691123204025e-09,8.457907073124358e-10,2.4735966560131473e-06
1807,1.6756345542847028e-07,4.341267980022069e-10,3.6671940087781454e-09,9.515669839389927e-09,1.0779264306545348e-09,4.341267980022069e-10,2.5760664682041224e-06
1808,1.6332144728689206e-07,6.69489987257878e-10,3.4382167271981447e-09,1.0927848911482637e-08,1.0779264306545348e-09,4.341267980022069e-10,2.5699480050077128e-06
1809,1.4393261389094342e-07,2.35363189255671e-10,3.72778918844574e-09,1.1145144236073584e-08,1.0779264306545348e-09,0.0,2.6339843251272602e-06
1810,1.0711869131390423e-07,2.35363189255671e-10,3.2437269219849033e-09,1.1750770198152135e-08,1.0779264306545348e-09,0.0,2.4290551924163343e-06
1811,1.0360252896849228e-07,4.697471300829648e-10,3.407417253115901e-09,1.1702379700194245e-08,4.677713296073551e-10,0.0,2.3828701094836494e-06
1812,9.616697533536872e-08,4.697471300829648e-10,3.863864561637342e-09,1.1141086212315291e-08,1.1838961398526392e-09,0.0,2.2637556997194352e-06
1813,8.654005918223057e-08,4.697471300829648e-10,3.1530522002855476e-09,1.0430273850963495e-08,1.1193254418578086e-09,0.0,2.273694495410642e-06
1814,8.589818837175958e-08,4.697471300829648e-10,3.3617472456575523e-09,6.872460822648918e-09,9.101042142134474e-10,0.0,2.192367024430756e-06
1815,8.404667844225904e-08,2.343839408272938e-10,3.3195247661765848e-09,6.039703848159661e-09,9.101042142134474e-10,0.0,2.0847698871356054e-06
1816,8.247266184266014e-08,2.343839408272938e-10,2.5958255069267823e-09,5.905018505915547e-09,9.101042142134474e-10,0.0,2.077417856786009e-06
1817,7.576784000207226e-08,4.05731511879789e-10,2.7205829969797637e-09,5.625478051639123e-09,1.0814517852659427e-09,1.7134757105249524e-10,2.07289071698012e-06
1818,6.865778904138356e-08,3.5038243734979753e-10,2.7889196983567543e-09,4.632593213799956e-09,1.260486651563245e-09,1.2455567371156511e-09,2.074005107845421e-06
1819,6.783554898756197e-08,3.5038243734979753e-10,2.2230923292708228e-09,4.305474135942891e-09,5.443618413179609e-10,1.2455567371156511e-09,2.260435280732054e-06
1820,6.410963696420627e-08,3.5038243734979753e-10,2.08334494100626e-09,3.7235359557590594e-09,6.45176309202863e-10,1.5403506089687165e-09,2.340689645409709e-06
1821,5.9510718638681026e-08,3.5038243734979753e-10,1.92253717707607e-09,3.273366181285756e-09,6.45176309202863e-10,1.5403506089687165e-09,2.4008389151016933e-06
1822,6.173917656480756e-08,3.5038243734979753e-10,2.2284720735399333e-09,3.0682507962913927e-09,6.45176309202863e-10,1.5403506089687165e-09,2.4532654216662716e-06
1823,7.382943069598826e-08,3.5038243734979753e-10,2.3689348419405778e-09,2.538775539002407e-09,6.45176309202863e-10,1.6808133773693612e-09,2.4162535347776223e-06
1824,7.243722117371882e-08,3.1315488297727663e-10,2.0262396998355872e-09,1.5106901126874357e-09,4.738287381503678e-10,1.509465806316866e-09,2.41827602362069e-06
1825,6.992115432678605e-08,3.8735362536560357e-10,2.122219114727589e-09,1.9647392443137133e-09,2.9479387185306546e-10,4.3525664025371013e-10,2.4081148564749e-06
1826,6.497844903411273e-08,3.8735362536560357e-10,2.9199076172809716e-09,1.9329400461184522e-09,4.132921148171574e-10,4.3525664025371013e-10,2.2342149545043607e-06
1827,6.35641365574559e-08,3.8735362536560357e-10,2.8959992499315898e-09,2.3512224706883397e-09,1.1849824296409191e-10,1.4046276840064464e-10,2.086937602793374e-06
1828,6.371973272832423e-08,3.8735362536560357e-10,3.3008666117899973e-09,2.0758890083096203e-09,1.1849824296409191e-10,1.4046276840064464e-10,1.94190678420065e-06
1829,5.782568937969959e-08,3.8735362536560357e-10,2.8720652840113256e-09,2.1935022607801257e-09,1.1849824296409191e-10,1.4046276840064464e-10,1.7580989362743691e-06
1830,4.203819413208164e-08,3.8735362536560357e-10,2.9222115996826605e-09,2.5345502760057823e-09,1.1849824296409191e-10,0.0,1.6464618072729666e-06
1831,4.337225283685646e-08,3.4612826890370995e-10,3.108000920118822e-09,2.627444936223863e-09,1.1849824296409191e-10,0.0,1.5505226867519793e-06
1832,4.3595706346520405e-08,1.780441191304557e-10,2.6452158400199923e-09,2.3349587739497834e-09,1.1849824296409191e-10,0.0,1.4406925450722546e-06
1833,4.4887128426905424e-08,2.605223814455826e-10,1.862186420937511e-09,2.5463735802461987e-09,8.247826231512688e-11,0.0,1.38192731518367e-06
1834,4.492248554096737e-08,3.435825750892312e-10,1.5269641900112723e-09,2.3772717366072574e-09,8.247826231512688e-11,8.306019364364862e-11,1.3729888824595297e-06
1835,4.285772194277472e-08,4.273659759412851e-10,1.2001219224749044e-09,2.434509229130656e-09,8.247826231512688e-11,8.306019364364862e-11,1.4428016308037123e-06
1836,4.363186992658744e-08,5.024271554354698e-10,1.5051535256256037e-09,2.1677728025336153e-09,1.5753944180931156e-10,1.581213731378333e-10,1.680319201113889e-06
1837,4.527641702825999e-08,5.024271554354698e-10,1.6243100832623115e-09,1.7151021079543837e-09,2.349808522364835e-10,2.355627835650052e-10,1.7479299328572649e-06
1838,4.388109735893002e-08,4.095324952173891e-10,1.7438237520650546e-09,2.0801619474549884e-09,2.349808522364835e-10,2.355627835650052e-10,1.8254280413592433e-06
1839,4.250583072819479e-08,4.759459096678345e-10,1.6493062709217148e-09,1.8153455484868987e-09,2.349808522364835e-10,2.355627835650052e-10,1.8886331807672313e-06
1840,4.3493735343450423e-08,3.9346764735270767e-10,1.559935712349057e-09,1.9389482955719674e-09,1.525025899213566e-10,3.111487496226013e-10,1.973186613213329e-06
