ngram,honey,hoey,hony
1705,7.833814460614771e-07,0.0,4.07157650832752e-07
1706,8.761878608051379e-07,0.0,5.159173213087342e-07
1707,9.96866987179601e-07,0.0,6.210623918637534e-07
1708,9.29095209910104e-07,0.0,6.499999938926391e-07
1709,8.814335704495793e-07,0.0,6.022586355974064e-07
1710,9.63947708701848e-07,0.0,7.205092446481233e-07
1711,1.0181754532823106e-06,0.0,8.073229257174067e-07
1712,1.330695697885988e-06,0.0,9.479176514202794e-07
1713,1.4556218924813687e-06,0.0,9.234505792424638e-07
1714,1.4655190787899691e-06,0.0,7.533162451928937e-07
1715,1.58712504928969e-06,0.0,7.809904088519813e-07
1716,1.600354478016795e-06,0.0,9.068194474691284e-07
1717,1.676593650959798e-06,0.0,7.766532153904596e-07
1718,1.7092085857127261e-06,0.0,6.196253897274216e-07
1719,1.255919471532252e-06,0.0,4.3725357607676027e-07
1720,1.4279841756043815e-06,0.0,4.1238046323753353e-07
1721,1.5997721009495893e-06,0.0,4.211405213132886e-07
1722,2.3186092659800906e-06,0.0,4.108942758104409e-07
1723,2.5608394074489686e-06,0.0,2.6816639118822293e-07
1724,2.751973503174148e-06,0.0,2.0936509415037108e-07
1725,2.9028519666748513e-06,0.0,3.560353505349667e-07
1726,3.053783448844375e-06,0.0,4.3229057869861466e-07
1727,3.1758901611413293e-06,0.0,3.734869845776042e-07
1728,3.028996632435467e-06,0.0,3.9064516650049494e-07
1729,2.490782873922269e-06,0.0,3.506516230394092e-07
1730,3.002204932402362e-06,0.0,3.5652481906416664e-07
1731,2.7852134475584274e-06,0.0,3.458787998868372e-07
1732,3.475256367632288e-06,0.0,2.9160316878622847e-07
1733,3.4349752208332314e-06,0.0,2.3730204747250484e-07
1734,3.15128134583834e-06,0.0,4.0943895385225915e-07
1735,3.2802913827773798e-06,0.0,4.3525612219192613e-07
1736,3.8503909861122206e-06,0.0,4.3439647054047524e-07
1737,3.4769266059291633e-06,0.0,4.199051828785676e-07
1738,3.5689072644475217e-06,0.0,4.843320558580087e-07
1739,3.690501184142444e-06,0.0,4.03581172037093e-07
1740,4.197149337414885e-06,0.0,4.2086827483395997e-07
1741,4.475155167580981e-06,0.0,2.6475269113542967e-07
1742,6.301341500147828e-06,0.0,4.362253100964608e-07
1743,6.266871391095005e-06,0.0,8.352315096057541e-07
1744,7.150817412236522e-06,0.0,8.854405137981303e-07
1745,7.773290170527097e-06,0.0,8.14046901252498e-07
1746,7.410393923886918e-06,0.0,8.34485220480019e-07
1747,7.292199110712058e-06,0.0,8.278249379957612e-07
1748,7.076007217879773e-06,0.0,8.527141598538687e-07
1749,5.35867528534644e-06,0.0,6.641930951900576e-07
1750,5.17521688639785e-06,0.0,2.8276569098904603e-07
1751,4.9415262505395475e-06,0.0,2.0865596184194146e-07
1752,5.033111327585564e-06,0.0,2.5154045195969435e-07
1753,6.082612799218623e-06,0.0,5.134777844822176e-07
1754,6.596532654969321e-06,0.0,4.76095252618539e-07
1755,7.814978549244448e-06,0.0,7.297638978189167e-07
1756,8.70479152581538e-06,0.0,6.950769351833839e-07
1757,1.080062988226668e-05,0.0,6.841663078611353e-07
1758,1.0378203894236191e-05,0.0,6.7345889170107e-07
1759,1.0382477544875915e-05,0.0,6.51447171000947e-07
1760,9.538552733699493e-06,0.0,3.5767012209118677e-07
1761,1.0092422274153381e-05,0.0,3.881599306103973e-07
1762,1.0373642193631635e-05,0.0,1.2549920467920727e-07
1763,1.0022774858953198e-05,0.0,2.163367907672052e-07
1764,8.969738766089514e-06,0.0,2.15399016464549e-07
1765,1.2667745262920757e-05,0.0,2.2129383328969458e-07
1766,1.3342648864116719e-05,0.0,2.208273761945228e-07
1767,1.5223963341018784e-05,0.0,2.2167678232725458e-07
1768,1.5906212216317988e-05,0.0,1.8818326148155912e-07
1769,1.5518980035267305e-05,0.0,1.456256255900306e-07
1770,1.6248678808291777e-05,0.0,6.055388267002724e-08
1771,1.64198114102224e-05,0.0,5.457645154852539e-08
1772,1.355321884537781e-05,0.0,8.031461565646428e-08
1773,1.3901554796445583e-05,0.0,7.288425710580018e-08
1774,1.2917103958898224e-05,0.0,6.672321336712425e-08
1775,1.412469906166994e-05,0.0,7.580223407696199e-08
1776,1.4343244272043063e-05,1.6274217021613628e-08,8.903019147307337e-08
1777,1.6776881628694745e-05,1.6274217021613628e-08,8.618239861440153e-08
1778,1.6915582169271408e-05,1.6274217021613628e-08,1.0316626055027558e-07
1779,1.6341940278964883e-05,1.6274217021613628e-08,7.665665105857247e-08
1780,1.611502979618048e-05,1.6274217021613628e-08,6.837897790847234e-08
1781,1.5385786809929414e-05,1.6274217021613628e-08,6.761903164382537e-08
1782,1.3069376694017723e-05,1.843235050305988e-08,5.964998628371632e-08
1783,1.2898633875530713e-05,2.1581334814462546e-09,4.337576926210269e-08
1784,1.0790714635991857e-05,2.1581334814462546e-09,5.5437967613361904e-08
1785,1.0287228763315528e-05,2.1581334814462546e-09,3.804318511007361e-08
1786,1.0688255055616277e-05,2.1581334814462546e-09,3.425991198672104e-08
1787,1.1162401018996856e-05,2.1581334814462546e-09,3.471819784043159e-08
