ngram,performance,performace,perfrmance,performnce
1572,3.1945570039429834e-06,0.0,0.0,0.0
1573,1.0745013111902932e-05,0.0,0.0,0.0
1574,1.1289724657867087e-05,0.0,0.0,0.0
1575,1.3804283915825571e-05,0.0,0.0,0.0
1576,1.62163418216161e-05,0.0,0.0,0.0
1577,1.8767817729375175e-05,0.0,0.0,0.0
1578,1.8002357884532622e-05,0.0,0.0,0.0
1579,2.1236131780304796e-05,0.0,0.0,0.0
1580,1.4676136515845428e-05,0.0,0.0,0.0
1581,2.1251113724117333e-05,0.0,0.0,0.0
1582,2.1669424118694485e-05,0.0,0.0,0.0
1583,2.3561198044522564e-05,0.0,0.0,0.0
1584,2.2807945307639394e-05,0.0,0.0,0.0
1585,2.3197452394794838e-05,0.0,0.0,0.0
1586,2.5714829267339417e-05,0.0,0.0,0.0
1587,2.645476628718565e-05,0.0,0.0,0.0
1588,2.1343594978264135e-05,0.0,0.0,0.0
1589,2.8493955271967154e-05,0.0,0.0,0.0
1590,3.0206784815943267e-05,0.0,0.0,0.0
1591,2.974122890009312e-05,0.0,0.0,0.0
1592,3.0053217155260165e-05,0.0,0.0,0.0
1593,2.586500340839848e-05,0.0,0.0,0.0
1594,3.218092180239702e-05,0.0,0.0,0.0
1595,3.332798405608628e-05,0.0,0.0,0.0
1596,2.787395533232484e-05,0.0,0.0,0.0
1597,2.765194143908697e-05,0.0,0.0,0.0
1598,4.073953095939942e-05,0.0,0.0,0.0
1599,4.5897957274324396e-05,0.0,0.0,0.0
1600,4.68911662859942e-05,0.0,0.0,0.0
1601,4.1579384092723816e-05,0.0,0.0,0.0
1602,3.936341084097096e-05,0.0,0.0,0.0
1603,3.5146319727833285e-05,0.0,0.0,0.0
1604,3.150356243557846e-05,0.0,0.0,0.0
1605,1.8882295924933195e-05,0.0,0.0,0.0
1606,1.630094883304472e-05,0.0,0.0,0.0
1607,1.9716779401538327e-05,0.0,0.0,0.0
1608,1.937837643189206e-05,0.0,0.0,0.0
1609,2.4287663368990513e-05,0.0,0.0,0.0
1610,2.706175980295354e-05,0.0,0.0,0.0
1611,3.2564971141774936e-05,0.0,0.0,0.0
1612,3.372498888763532e-05,0.0,0.0,0.0
1613,3.243566347269474e-05,0.0,0.0,0.0
1614,3.206705254602379e-05,0.0,0.0,0.0
1615,3.995638975798751e-05,0.0,0.0,0.0
1616,3.699089263266485e-05,0.0,0.0,0.0
1617,3.6769678055342024e-05,0.0,0.0,0.0
1618,3.290181952512025e-05,0.0,0.0,0.0
1619,3.208096703539403e-05,0.0,0.0,0.0
1620,3.6766655934375846e-05,0.0,0.0,0.0
1621,3.4910068279714324e-05,0.0,0.0,0.0
1622,2.9197246736397835e-05,0.0,0.0,0.0
1623,3.008564921661413e-05,0.0,0.0,0.0
1624,2.876331135277204e-05,0.0,0.0,0.0
1625,2.5064009930377195e-05,0.0,0.0,0.0
1626,2.68294254185873e-05,0.0,0.0,0.0
