ngram,construction,constructin,constructon,constructio
1777,2.2466187926641267e-05,0.0,0.0,1.0756043674778733e-08
1778,2.3093690158150692e-05,0.0,0.0,1.3537187371071013e-08
1779,2.3285501031620826e-05,0.0,2.5616857206906776e-09,8.265023713046763e-09
1780,2.4472552987780155e-05,0.0,2.5616857206906776e-09,8.018973168028814e-09
1781,2.3880588871959064e-05,0.0,2.5616857206906776e-09,8.018973168028814e-09
1782,2.523084263624956e-05,0.0,2.5616857206906776e-09,5.13028400713925e-09
1783,2.7622227207757533e-05,0.0,2.5616857206906776e-09,5.13028400713925e-09
1784,2.9403657338532086e-05,0.0,2.5616857206906776e-09,1.0123700227333238e-08
1785,3.0566486852226914e-05,0.0,2.5616857206906776e-09,8.96067892901848e-09
1786,3.791489143623039e-05,0.0,2.6801966360575793e-09,8.96067892901848e-09
1787,3.837263492252012e-05,0.0,5.258479873759825e-09,7.900680237022634e-09
1788,3.966020345355251e-05,0.0,5.258479873759825e-09,7.900680237022634e-09
1789,4.0285301760637336e-05,0.0,5.258479873759825e-09,1.0227449871129984e-08
1790,4.157358645378346e-05,0.0,6.363328277002113e-09,1.0227449871129984e-08
1791,4.2544357711449265e-05,0.0,7.449294514572102e-09,7.405966126075977e-09
1792,4.2945196972660984e-05,0.0,7.449294514572102e-09,1.6670464500886543e-08
1793,3.582640082251081e-05,0.0,4.769097878514523e-09,1.765648662198162e-08
1794,3.5566249997438195e-05,0.0,2.1908146408122775e-09,1.7365330570332357e-08
1795,3.589635655641489e-05,0.0,4.017358889996103e-09,1.9191874819516182e-08
1796,3.613867608822018e-05,0.0,4.017358889996103e-09,1.8761428410840608e-08
1797,3.614778870542068e-05,2.267694603525732e-09,3.479434137635248e-09,2.2162970316129205e-08
1798,3.542604437305792e-05,2.267694603525732e-09,2.393467900065259e-09,2.3462978036649573e-08
1799,3.6221729585252304e-05,2.267694603525732e-09,2.393467900065259e-09,1.3781896449468637e-08
1800,3.694624735674422e-05,2.679358512835961e-09,2.393467900065259e-09,1.773584149386157e-08
1801,3.710199546601091e-05,2.679358512835961e-09,2.393467900065259e-09,1.9988239254230067e-08
1802,3.7964031175111555e-05,2.679358512835961e-09,5.66923650881433e-10,2.120058249589972e-08
1803,3.85658375827396e-05,2.679358512835961e-09,1.268923569394279e-09,2.1761258953542243e-08
