ngram,moment,moment,momet,momnt
1659,2.8711871501790093e-05,2.8711871501790093e-05,0.0,0.0
1660,2.9455457999055007e-05,2.9455457999055007e-05,0.0,0.0
1661,3.34821184618964e-05,3.34821184618964e-05,0.0,0.0
1662,3.173107714766437e-05,3.173107714766437e-05,0.0,0.0
1663,3.11103314223666e-05,3.11103314223666e-05,0.0,0.0
1664,3.246612037141209e-05,3.246612037141209e-05,0.0,0.0
1665,3.2143709436890534e-05,3.2143709436890534e-05,0.0,0.0
1666,3.224423510671061e-05,3.224423510671061e-05,0.0,0.0
1667,3.29849795629603e-05,3.29849795629603e-05,0.0,0.0
1668,3.331401395761142e-05,3.331401395761142e-05,0.0,0.0
1669,3.334114340499842e-05,3.334114340499842e-05,0.0,0.0
1670,3.818048415788715e-05,3.818048415788715e-05,0.0,0.0
1671,3.75687689354111e-05,3.75687689354111e-05,0.0,0.0
1672,4.0025815646263906e-05,4.0025815646263906e-05,0.0,0.0
1673,4.367859297157598e-05,4.367859297157598e-05,0.0,0.0
1674,4.661681980776068e-05,4.661681980776068e-05,0.0,0.0
1675,4.266133224258998e-05,4.266133224258998e-05,0.0,0.0
1676,4.486787396932154e-05,4.486787396932154e-05,0.0,0.0
1677,4.3769209566692424e-05,4.3769209566692424e-05,0.0,0.0
1678,4.3095903103156683e-05,4.3095903103156683e-05,0.0,0.0
1679,5.77238266227401e-05,5.77238266227401e-05,0.0,0.0
1680,5.556734140554909e-05,5.556734140554909e-05,0.0,0.0
1681,5.4075848571041464e-05,5.4075848571041464e-05,0.0,0.0
1682,5.435784234058312e-05,5.435784234058312e-05,0.0,0.0
1683,5.507277533719649e-05,5.507277533719649e-05,0.0,0.0
1684,5.3804215765142415e-05,5.3804215765142415e-05,0.0,0.0
1685,5.347545889630315e-05,5.347545889630315e-05,0.0,0.0
1686,3.8795840737293474e-05,3.8795840737293474e-05,0.0,0.0
1687,3.9947936654373605e-05,3.9947936654373605e-05,0.0,0.0
1688,4.286521730786522e-05,4.286521730786522e-05,0.0,0.0
1689,4.31429853051668e-05,4.31429853051668e-05,0.0,0.0
1690,5.676870127250108e-05,5.676870127250108e-05,0.0,0.0
1691,5.500614887361215e-05,5.500614887361215e-05,0.0,0.0
1692,5.614947700191156e-05,5.614947700191156e-05,0.0,0.0
1693,5.646555239634056e-05,5.646555239634056e-05,0.0,0.0
1694,5.313618437087696e-05,5.313618437087696e-05,0.0,0.0
1695,4.963384552476262e-05,4.963384552476262e-05,1.550680346034434e-08,0.0
1696,5.0281618834040796e-05,5.0281618834040796e-05,1.550680346034434e-08,0.0
1697,3.499407414762702e-05,3.499407414762702e-05,1.550680346034434e-08,0.0
1698,3.524848372243079e-05,3.524848372243079e-05,1.550680346034434e-08,0.0
1699,3.4465061097372586e-05,3.4465061097372586e-05,1.550680346034434e-08,0.0
1700,3.3091279224858484e-05,3.3091279224858484e-05,1.550680346034434e-08,0.0
1701,3.3894874962113265e-05,3.3894874962113265e-05,1.550680346034434e-08,0.0
1702,3.124941291129549e-05,3.124941291129549e-05,0.0,0.0
1703,2.8636785698056754e-05,2.8636785698056754e-05,0.0,0.0
1704,2.723223276136975e-05,2.723223276136975e-05,0.0,0.0
1705,2.691500464737016e-05,2.691500464737016e-05,9.157804673317775e-09,0.0
1706,2.7877281744232668e-05,2.7877281744232668e-05,9.157804673317775e-09,0.0
1707,2.593478763758737e-05,2.593478763758737e-05,9.157804673317775e-09,0.0
1708,2.3928503651404753e-05,2.3928503651404753e-05,9.157804673317775e-09,0.0
1709,2.4598408864611493e-05,2.4598408864611493e-05,9.157804673317775e-09,0.0
1710,2.5795434079814834e-05,2.5795434079814834e-05,9.157804673317775e-09,0.0
1711,2.5605236130234387e-05,2.5605236130234387e-05,9.157804673317775e-09,0.0
1712,2.3583645478148746e-05,2.3583645478148746e-05,0.0,0.0
1713,2.051837249642371e-05,2.051837249642371e-05,0.0,0.0
1714,2.245704698517719e-05,2.245704698517719e-05,0.0,0.0
1715,2.306067887859951e-05,2.306067887859951e-05,0.0,0.0
1716,2.302258950034489e-05,2.302258950034489e-05,0.0,0.0
1717,2.1562931319099983e-05,2.1562931319099983e-05,0.0,0.0
1718,2.0865487645746077e-05,2.0865487645746077e-05,0.0,0.0
