ngram,tea,te,t,aet
1548,3.277141201708998e-06,3.385715526097296e-05,0.00013407193130530816,0.0
1549,3.277141201708998e-06,3.235250892430486e-05,0.00011300688233209908,0.0
1550,4.357832624789028e-06,9.535523694077191e-06,6.460994960174762e-05,0.0
1551,4.357832624789028e-06,2.0924194391877142e-05,6.376097423656444e-05,0.0
1552,7.963387685906906e-06,2.0388354187161895e-05,7.076408136137096e-05,0.0
1553,7.963387685906906e-06,1.954923560073699e-05,0.0015538246521568258,0.0
1554,4.686246484197909e-06,2.2251555362475172e-05,0.0015493978680751752,0.0
1555,4.686246484197909e-06,2.1062587620690465e-05,0.0015486166609792104,0.0
1556,4.686246484197909e-06,2.1062587620690465e-05,0.0015527801660937257,0.0
1557,3.605555061117879e-06,0.00011451266722620598,0.0016095496929275604,0.0
1558,6.3337496872658705e-06,0.00010270668177067169,0.001611699731126594,0.0
1559,2.7281946261479917e-06,0.00010270668177067169,0.0016031562913017946,0.0
1560,4.5229556105498754e-06,0.00010450144275507358,0.0001428798033365248,4.4869024610047094e-07
1561,4.5229556105498754e-06,0.00010290309832531161,0.00012436659900621244,4.4869024610047094e-07
1562,6.3006701956120585e-06,0.00010290309832531161,0.00019236929230308824,4.4869024610047094e-07
1563,6.7552919063018635e-06,0.00010835855885358927,0.00019138813929332952,4.4869024610047094e-07
1564,6.7552919063018635e-06,1.490847924807375e-05,0.00012597308107485463,4.4869024610047094e-07
1565,4.027097280153871e-06,1.79438811755972e-05,0.0001487794766684861,4.4869024610047094e-07
1566,4.027097280153871e-06,3.888425765450977e-05,0.00016836952376512012,4.4869024610047094e-07
1567,2.2323362957519876e-06,4.937264878078297e-05,0.0001760353916324675,0.0
1568,2.2323362957519876e-06,5.3478716446469275e-05,0.00021426945126482418,0.0
1569,4.5462171068980493e-07,5.5706832426949404e-05,0.00014421977175516076,0.0
1570,0.0,5.327339645841026e-05,0.00015010349358947548,0.0
1571,0.0,5.572524813552653e-05,0.00016971830700640567,0.0
1572,0.0,5.8929375882144086e-05,0.00014051669235673865,0.0
1573,0.0,4.553945551119146e-05,0.00012331943175273148,0.0
1574,0.0,3.59798611628191e-05,0.00011234678874773505,0.0
1575,0.0,2.5472815390717835e-05,9.297192393985045e-05,0.0
1576,4.5068044788162555e-07,2.6399462642854943e-05,0.00010237870238987463,0.0
1577,4.5068044788162555e-07,2.337743808311643e-05,0.00011117295902555011,0.0
1578,4.5068044788162555e-07,2.7671153735095038e-05,0.00012745419891351567,0.0
1579,1.0974352530216232e-06,2.3371888476374026e-05,0.00015459233119534993,0.0
1580,1.0974352530216232e-06,1.7802354055415242e-05,0.00015991786598793363,0.0
1581,1.0974352530216232e-06,1.5078796293112515e-05,0.0001496452241553925,0.0
1582,1.5164166273150061e-06,2.136318133645026e-05,0.00016514250247772516,0.0
1583,1.0657361794333805e-06,1.9890597156648126e-05,0.00015525592711388266,2.403113025398592e-07
