ngram,impact,imact,ipact,impct
1766,5.59456744550094e-07,0.0,0.0,0.0
1767,5.416765809229673e-07,0.0,0.0,0.0
1768,4.801654403609388e-07,0.0,0.0,0.0
1769,4.2369437837562275e-07,0.0,0.0,0.0
1770,6.024797656323244e-07,0.0,0.0,0.0
1771,7.212669197136685e-07,0.0,0.0,0.0
1772,7.845328815798374e-07,0.0,0.0,0.0
1773,7.162387965260158e-07,0.0,0.0,0.0
1774,7.154226793204543e-07,0.0,0.0,0.0
1775,4.6907208022568217e-07,0.0,0.0,0.0
1776,5.589554114797985e-07,0.0,0.0,0.0
1777,4.882172603970503e-07,0.0,0.0,0.0
1778,3.495781330441007e-07,0.0,0.0,0.0
1779,3.0424397173029707e-07,2.5616857206906776e-09,0.0,0.0
1780,2.7990305235497157e-07,2.5616857206906776e-09,0.0,0.0
1781,3.3117368555427416e-07,2.5616857206906776e-09,0.0,0.0
1782,5.778979245617068e-07,2.5616857206906776e-09,0.0,0.0
1783,4.775637703703848e-07,2.5616857206906776e-09,0.0,0.0
1784,3.983028297024508e-07,2.5616857206906776e-09,0.0,0.0
1785,3.977971912507071e-07,2.5616857206906776e-09,0.0,0.0
1786,1.9732422903270423e-06,1.3400983180287896e-09,0.0,0.0
1787,2.0063874006025017e-06,1.3400983180287896e-09,0.0,0.0
1788,1.94709937773041e-06,1.3400983180287896e-09,0.0,0.0
1789,1.7015780693035204e-06,1.3400983180287896e-09,0.0,0.0
1790,1.7128020419119951e-06,1.3400983180287896e-09,0.0,0.0
1791,1.7441631123509588e-06,1.3400983180287896e-09,0.0,0.0
1792,1.7323349363250275e-06,3.516622421833355e-09,1.0882620519022827e-09,0.0
1793,1.547343906338483e-07,3.1625462248996428e-09,1.0882620519022827e-09,0.0
1794,1.5311012648209855e-07,3.1625462248996428e-09,1.0882620519022827e-09,0.0
1795,2.9101420955563686e-07,3.1625462248996428e-09,1.0882620519022827e-09,0.0
1796,4.129838784600841e-07,3.1625462248996428e-09,1.0882620519022827e-09,0.0
