ngram,problem,problm,prolem,problme
1616,1.0265995959863566e-05,0.0,6.696035370623576e-07,0.0
1617,1.0265995959863566e-05,0.0,1.598104810390006e-07,0.0
1618,1.0331504784387237e-06,0.0,1.598104810390006e-07,0.0
1619,1.1456849782527051e-06,0.0,1.598104810390006e-07,0.0
1620,1.916787912900223e-06,0.0,0.0,0.0
1621,2.452041915798223e-06,0.0,0.0,0.0
1622,3.999706962076743e-06,0.0,0.0,0.0
1623,8.849162335471711e-06,0.0,0.0,0.0
1624,2.751568564463014e-05,0.0,0.0,0.0
1625,2.7537100541914178e-05,0.0,0.0,0.0
1626,2.7654187858518397e-05,0.0,0.0,0.0
1627,2.6243842999714877e-05,0.0,0.0,0.0
1628,2.64947285424049e-05,0.0,0.0,0.0
1629,2.4947063496126377e-05,0.0,0.0,0.0
1630,2.1822588126139764e-05,0.0,0.0,0.0
1631,3.2127448028924325e-06,0.0,0.0,0.0
1632,3.072299754031909e-06,0.0,0.0,0.0
1633,2.9797707351722887e-06,0.0,0.0,0.0
1634,1.2606387567107699e-05,0.0,0.0,0.0
1635,1.1820248021519677e-05,0.0,0.0,0.0
1636,1.2428158892622118e-05,0.0,0.0,0.0
1637,1.0703178889213763e-05,0.0,0.0,0.0
1638,1.0713833940404324e-05,0.0,0.0,0.0
1639,1.1295528042052996e-05,0.0,0.0,0.0
1640,1.1261243299389076e-05,0.0,0.0,0.0
1641,2.172125265685411e-06,0.0,0.0,0.0
1642,2.172125265685411e-06,0.0,0.0,0.0
1643,1.5642143945829697e-06,0.0,0.0,0.0
1644,1.5642143945829697e-06,0.0,0.0,0.0
1645,1.6933466814147583e-06,0.0,4.9116830983361326e-08,0.0
1646,2.549327104718811e-06,0.0,4.9116830983361326e-08,0.0
1647,2.446519049824149e-06,0.0,4.9116830983361326e-08,0.0
1648,2.0465679589116396e-06,0.0,4.9116830983361326e-08,0.0
1649,2.828845725032027e-06,0.0,4.9116830983361326e-08,0.0
1650,3.092366552794244e-06,0.0,4.9116830983361326e-08,0.0
