ngram,mind,mnd,miind,mid
1558,4.597435352999517e-05,0.0,0.0,3.523974555719178e-06
1559,6.926515431717104e-05,0.0,0.0,2.0817525572575894e-06
1560,0.00010426299273344089,0.0,0.0,2.9791330494585315e-06
1561,9.500639056828472e-05,0.0,0.0,2.9791330494585315e-06
1562,9.973854944941454e-05,0.0,0.0,4.756847634520714e-06
1563,9.1866160931074e-05,0.0,0.0,3.1297167879529297e-06
1564,0.0001300360424595835,0.0,0.0,3.1297167879529297e-06
1565,0.00011667973233540709,0.0,0.0,3.1297167879529297e-06
1566,8.591815951928896e-05,0.0,0.0,3.1297167879529297e-06
1567,6.32034732136942e-05,0.0,0.0,2.914733613579301e-06
1568,6.32034732136942e-05,0.0,0.0,2.914733613579301e-06
1569,7.049631936492265e-05,0.0,0.0,1.1370190285171183e-06
1570,7.004169765423285e-05,0.0,0.0,6.823973178273133e-07
1571,4.4131075031015954e-05,0.0,0.0,6.823973178273133e-07
1572,8.066893328110123e-05,0.0,0.0,6.823973178273133e-07
1573,9.638299421307497e-05,0.0,0.0,6.823973178273133e-07
1574,9.009166907552364e-05,0.0,0.0,5.447115459641541e-07
1575,0.00014164013243446658,0.0,0.0,1.8019911749433959e-06
1576,0.00014659067944324176,0.0,0.0,4.956754407560636e-06
1577,0.00015679658307427808,0.0,0.0,7.508230315319711e-06
1578,0.00018404707537099187,0.0,0.0,9.917361467159935e-06
1579,0.00016185285806256746,0.0,0.0,1.0564116272299933e-05
1580,0.00015314927441067994,0.0,0.0,1.0564116272299933e-05
1581,0.00015605705786064,0.0,0.0,1.1206019475399184e-05
1582,0.00012168683107509943,0.0,0.0,1.0786702595006708e-05
1583,0.00013511045108316466,0.0,0.0,9.073807177628623e-06
1584,0.000197732584118577,0.0,0.0,6.522331269869548e-06
1585,0.00018822900892701,0.0,0.0,4.301918206043151e-06
1586,0.00017601530271349475,0.0,0.0,9.406314169219903e-06
1587,0.00021070717879670804,0.0,0.0,1.1482791527279395e-05
1588,0.0002125196614153018,0.0,0.0,1.0965682593320838e-05
1589,0.00021196008102768765,0.0,0.0,1.050117279126945e-05
1590,0.00022125614798694317,2.599756498966599e-07,0.0,1.0099207575616934e-05
1591,0.00018574279757948325,5.265091138945926e-07,0.0,1.2231475287600396e-05
1592,0.0001700639446166211,5.265091138945926e-07,0.0,1.2639728993235622e-05
1593,0.0001990458372996987,5.265091138945926e-07,0.0,9.1213456211595e-06
1594,0.00015996586600002565,5.265091138945926e-07,0.0,7.212499846381044e-06
