ngram,gift,gft,gift,gfit
1544,6.739617934467138e-06,0.0,6.739617934467138e-06,0.0
1545,2.1207303559224654e-05,0.0,2.1207303559224654e-05,0.0
1546,3.491290746231763e-05,0.0,3.491290746231763e-05,0.0
1547,3.819004866402663e-05,0.0,3.819004866402663e-05,0.0
1548,4.591833905059113e-05,0.0,4.591833905059113e-05,0.0
1549,5.595629227173049e-05,0.0,5.595629227173049e-05,0.0
1550,5.919836647600667e-05,0.0,5.919836647600667e-05,0.0
1551,6.169508196762763e-05,0.0,6.169508196762763e-05,0.0
1552,5.2275173532377395e-05,0.0,5.2275173532377395e-05,0.0
1553,3.856956962928442e-05,0.0,3.856956962928442e-05,0.0
1554,3.529242842757542e-05,0.0,3.529242842757542e-05,0.0
1555,2.7564138041010926e-05,0.0,2.7564138041010926e-05,0.0
1556,1.509399823719702e-05,0.0,1.509399823719702e-05,0.0
1557,1.1851924032920838e-05,0.0,1.1851924032920838e-05,0.0
1558,9.175675716375866e-06,0.0,9.175675716375866e-06,0.0
1559,1.616246130911999e-05,0.0,1.616246130911999e-05,0.0
1560,1.7059841801320935e-05,0.0,1.7059841801320935e-05,0.0
1561,1.7059841801320935e-05,0.0,1.7059841801320935e-05,0.0
1562,2.5948414596704034e-05,0.0,2.5948414596704034e-05,0.0
1563,3.5232204676763755e-05,0.0,3.5232204676763755e-05,0.0
1564,3.5232204676763755e-05,0.0,3.5232204676763755e-05,0.0
1565,3.4197859349660575e-05,0.0,3.4197859349660575e-05,0.0
1566,2.2163296567409168e-05,0.0,2.2163296567409168e-05,0.0
1567,3.491386217189886e-05,0.0,3.491386217189886e-05,0.0
1568,3.491386217189886e-05,0.0,3.491386217189886e-05,0.0
1569,3.270963731795616e-05,0.0,3.270963731795616e-05,0.0
1570,2.1344094680638852e-05,0.0,2.1344094680638852e-05,0.0
1571,5.076631480603412e-05,0.0,5.076631480603412e-05,0.0
1572,5.443416115927643e-05,0.0,5.443416115927643e-05,0.0
1573,6.324302687841867e-05,0.0,6.324302687841867e-05,0.0
1574,6.048931183093893e-05,0.0,6.048931183093893e-05,0.0
1575,8.31203443729984e-05,0.0,8.31203443729984e-05,0.0
1576,8.40975642079554e-05,0.0,8.40975642079554e-05,0.0
1577,9.175199219108825e-05,0.0,9.175199219108825e-05,0.0
1578,6.546164253709971e-05,0.0,6.546164253709971e-05,0.0
1579,7.565735618949734e-05,0.0,7.565735618949734e-05,0.0
1580,7.972448137089876e-05,0.0,7.972448137089876e-05,0.0
1581,7.357670931794149e-05,0.0,7.357670931794149e-05,0.0
1582,5.9744285473633294e-05,0.0,5.9744285473633294e-05,0.0
1583,5.640832127288117e-05,0.0,5.640832127288117e-05,0.0
1584,5.055211646062422e-05,0.0,5.055211646062422e-05,0.0
1585,5.2138198303249995e-05,0.0,5.2138198303249995e-05,0.0
1586,3.941951919322102e-05,0.0,3.941951919322102e-05,0.0
1587,2.7927846531383693e-05,0.0,2.7927846531383693e-05,0.0
1588,2.4520399165339768e-05,0.0,2.4520399165339768e-05,0.0
1589,2.3004122860064463e-05,0.0,2.3004122860064463e-05,0.0
1590,2.3618056729901582e-05,0.0,2.3618056729901582e-05,0.0
1591,2.768356989690801e-05,0.0,2.768356989690801e-05,0.0
1592,2.8935335519366034e-05,0.0,2.8935335519366034e-05,0.0
1593,3.079763519053813e-05,0.0,3.079763519053813e-05,0.0
1594,3.360410664754454e-05,0.0,3.360410664754454e-05,0.0
1595,3.767466036411601e-05,0.0,3.767466036411601e-05,0.0
1596,3.228609200180342e-05,0.0,3.228609200180342e-05,0.0
1597,3.1825851822629503e-05,0.0,3.1825851822629503e-05,0.0
1598,2.7156431185306117e-05,0.0,2.7156431185306117e-05,0.0
1599,2.413449185821394e-05,0.0,2.413449185821394e-05,0.0
1600,2.757093651390668e-05,0.0,2.757093651390668e-05,0.0
1601,2.6310004743988558e-05,1.953238617196413e-07,2.6310004743988558e-05,0.0
1602,2.3197255229336277e-05,1.953238617196413e-07,2.3197255229336277e-05,0.0
1603,2.5836702271979967e-05,1.953238617196413e-07,2.5836702271979967e-05,0.0
1604,2.4422270663697937e-05,1.953238617196413e-07,2.4422270663697937e-05,0.0
1605,3.435920760758953e-05,1.953238617196413e-07,3.435920760758953e-05,0.0
1606,3.805807812438745e-05,1.953238617196413e-07,3.805807812438745e-05,0.0
1607,3.508163458068988e-05,1.953238617196413e-07,3.508163458068988e-05,0.0
1608,3.654468387789426e-05,0.0,3.654468387789426e-05,0.0
1609,3.783267363490138e-05,0.0,3.783267363490138e-05,0.0
1610,4.0181668737204745e-05,0.0,4.0181668737204745e-05,0.0
1611,4.2954302833615134e-05,0.0,4.2954302833615134e-05,0.0
1612,3.854806813511199e-05,0.0,3.854806813511199e-05,0.0
1613,3.8293838380403554e-05,1.598104810390006e-07,3.8293838380403554e-05,0.0
1614,4.205509997388747e-05,1.598104810390006e-07,4.205509997388747e-05,0.0
1615,4.794766105728091e-05,1.598104810390006e-07,4.794766105728091e-05,0.0
1616,5.193177068057204e-05,1.598104810390006e-07,5.193177068057204e-05,0.0
1617,5.0361841983561006e-05,1.598104810390006e-07,5.0361841983561006e-05,0.0
1618,4.9842107858109686e-05,1.598104810390006e-07,4.9842107858109686e-05,0.0
1619,5.22323846650709e-05,1.598104810390006e-07,5.22323846650709e-05,0.0
1620,4.9365827310664046e-05,0.0,4.9365827310664046e-05,0.0
1621,4.7548631430670086e-05,0.0,4.7548631430670086e-05,0.0
1622,4.957413433917931e-05,0.0,4.957413433917931e-05,0.0
1623,4.793233113429908e-05,0.0,4.793233113429908e-05,0.0
1624,4.456137217597903e-05,0.0,4.456137217597903e-05,0.0
1625,4.215087080540668e-05,0.0,4.215087080540668e-05,0.0
1626,3.785763432720809e-05,0.0,3.785763432720809e-05,0.0
1627,4.2959424588064265e-05,1.5977134028487073e-07,4.2959424588064265e-05,0.0
