ngram,chart,chrt,chrt,chart
1536,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1537,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1538,9.018331833691004e-07,0.0,0.0,9.018331833691004e-07
1539,6.640889166322138e-06,0.0,0.0,6.640889166322138e-06
1540,6.640889166322138e-06,0.0,0.0,6.640889166322138e-06
1541,6.640889166322138e-06,0.0,0.0,6.640889166322138e-06
1542,6.640889166322138e-06,0.0,0.0,6.640889166322138e-06
1543,6.640889166322138e-06,0.0,0.0,6.640889166322138e-06
1544,7.19730886495589e-06,0.0,0.0,7.19730886495589e-06
1545,7.19730886495589e-06,0.0,0.0,7.19730886495589e-06
1546,5.564196986337525e-07,0.0,0.0,5.564196986337525e-07
1547,5.564196986337525e-07,0.0,0.0,5.564196986337525e-07
1548,3.2315970202034805e-06,0.0,0.0,3.2315970202034805e-06
1549,3.2315970202034805e-06,0.0,0.0,3.2315970202034805e-06
1550,3.2315970202034805e-06,0.0,0.0,3.2315970202034805e-06
1551,2.675177321569728e-06,0.0,0.0,2.675177321569728e-06
1552,7.72295451107701e-06,0.0,0.0,7.72295451107701e-06
1553,7.72295451107701e-06,0.0,0.0,7.72295451107701e-06
1554,7.72295451107701e-06,0.0,0.0,7.72295451107701e-06
1555,5.0477771895072824e-06,0.0,0.0,5.0477771895072824e-06
1556,5.0477771895072824e-06,0.0,0.0,5.0477771895072824e-06
1557,5.0477771895072824e-06,0.0,0.0,5.0477771895072824e-06
1558,5.72982584604428e-06,0.0,0.0,5.72982584604428e-06
1559,6.820486565369979e-07,0.0,0.0,6.820486565369979e-07
1560,2.028119394838411e-06,0.0,0.0,2.028119394838411e-06
1561,2.028119394838411e-06,0.0,0.0,2.028119394838411e-06
1562,2.028119394838411e-06,0.0,0.0,2.028119394838411e-06
1563,2.028119394838411e-06,0.0,0.0,2.028119394838411e-06
1564,2.028119394838411e-06,0.0,0.0,2.028119394838411e-06
1565,1.346070738301413e-06,0.0,0.0,1.346070738301413e-06
1566,1.346070738301413e-06,0.0,0.0,1.346070738301413e-06
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.0,0.0
1572,0.0,0.0,0.0,0.0
1573,0.0,0.0,0.0,0.0
1574,0.0,0.0,0.0,0.0
1575,0.0,0.0,0.0,0.0
1576,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1577,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1578,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1579,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1580,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1581,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1582,4.5068044788162555e-07,0.0,0.0,4.5068044788162555e-07
1583,4.806226050797185e-07,0.0,0.0,4.806226050797185e-07
1584,4.806226050797185e-07,0.0,0.0,4.806226050797185e-07
1585,4.806226050797185e-07,0.0,0.0,4.806226050797185e-07
1586,4.806226050797185e-07,0.0,0.0,4.806226050797185e-07
1587,1.1727817244328825e-06,0.0,0.0,1.1727817244328825e-06
1588,1.1727817244328825e-06,0.0,0.0,1.1727817244328825e-06
1589,1.1727817244328825e-06,0.0,0.0,1.1727817244328825e-06
1590,1.2121104191464838e-06,0.0,0.0,1.2121104191464838e-06
1591,1.745177347142349e-06,0.0,0.0,1.745177347142349e-06
1592,1.745177347142349e-06,0.0,0.0,1.745177347142349e-06
1593,1.9684540737736304e-06,0.0,0.0,1.9684540737736304e-06
1594,1.4439265377015026e-06,0.0,0.0,1.4439265377015026e-06
1595,1.4439265377015026e-06,0.0,0.0,1.4439265377015026e-06
1596,1.4439265377015026e-06,0.0,0.0,1.4439265377015026e-06
1597,1.0450373305762436e-06,0.0,0.0,1.0450373305762436e-06
1598,9.98543474192307e-07,0.0,0.0,9.98543474192307e-07
1599,1.2343657707398442e-06,0.0,0.0,1.2343657707398442e-06
1600,1.1175951288220988e-06,0.0,0.0,1.1175951288220988e-06
1601,1.3406112689803455e-06,0.0,0.0,1.3406112689803455e-06
1602,2.802221355783071e-06,0.0,0.0,2.802221355783071e-06
1603,2.802221355783071e-06,0.0,0.0,2.802221355783071e-06
1604,2.8514295828634725e-06,0.0,0.0,2.8514295828634725e-06
1605,2.5897302943381613e-06,0.0,0.0,2.5897302943381613e-06
1606,3.795349909653721e-06,0.0,0.0,3.795349909653721e-06
1607,3.688843824940185e-06,0.0,0.0,3.688843824940185e-06
1608,3.298196101500902e-06,0.0,0.0,3.298196101500902e-06
1609,1.8365860146981764e-06,0.0,0.0,1.8365860146981764e-06
1610,1.8365860146981764e-06,0.0,0.0,1.8365860146981764e-06
1611,1.8711402520109135e-06,0.0,0.0,1.8711402520109135e-06
1612,1.6462664689242956e-06,0.0,0.0,1.6462664689242956e-06
1613,3.646350381001996e-07,0.0,0.0,3.646350381001996e-07
1614,3.646350381001996e-07,0.0,0.0,3.646350381001996e-07
1615,3.646350381001996e-07,0.0,0.0,3.646350381001996e-07
1616,3.646350381001996e-07,0.0,0.0,3.646350381001996e-07
1617,3.646350381001996e-07,0.0,0.0,3.646350381001996e-07
1618,1.598104810390006e-07,0.0,0.0,1.598104810390006e-07
1619,2.7234498085298195e-07,0.0,0.0,2.7234498085298195e-07
1620,1.1253449981398132e-07,0.0,0.0,1.1253449981398132e-07
1621,1.1253449981398132e-07,0.0,0.0,1.1253449981398132e-07
1622,5.346249492634212e-07,0.0,0.0,5.346249492634212e-07
1623,5.346249492634212e-07,0.0,0.0,5.346249492634212e-07
1624,9.826215107620686e-07,0.0,0.0,9.826215107620686e-07
1625,9.826215107620686e-07,0.0,0.0,9.826215107620686e-07
1626,2.477439725875489e-06,0.0,0.0,2.477439725875489e-06
1627,2.477439725875489e-06,0.0,0.0,2.477439725875489e-06
1628,2.6739746122724943e-06,0.0,0.0,2.6739746122724943e-06
1629,2.2518841628230542e-06,0.0,0.0,2.2518841628230542e-06
1630,2.596880157008335e-06,0.0,0.0,2.596880157008335e-06
1631,2.262243567331877e-06,0.0,0.0,2.262243567331877e-06
1632,2.262243567331877e-06,0.0,0.0,2.262243567331877e-06
1633,6.548908524044756e-07,0.0,0.0,6.548908524044756e-07
1634,1.1485635046223512e-06,0.0,0.0,1.1485635046223512e-06
1635,1.6105863258936942e-06,0.0,0.0,1.6105863258936942e-06
1636,1.784275143888538e-06,0.0,0.0,1.784275143888538e-06
1637,1.5124392770563385e-06,0.0,0.0,1.5124392770563385e-06
1638,1.5337493794374626e-06,0.0,0.0,1.5337493794374626e-06
1639,1.611619609320769e-06,0.0,0.0,1.611619609320769e-06
1640,1.7144276642154312e-06,0.0,0.0,1.7144276642154312e-06
1641,1.3401991866755582e-06,0.0,0.0,1.3401991866755582e-06
1642,6.816414790072096e-07,0.0,0.0,6.816414790072096e-07
1643,5.079526610123659e-07,0.0,0.0,5.079526610123659e-07
1644,5.264540001397628e-07,0.0,0.0,5.264540001397628e-07
1645,3.9178392593644927e-07,0.0,0.0,3.9178392593644927e-07
1646,9.183441258236209e-07,1.007384103754053e-07,1.007384103754053e-07,9.183441258236209e-07
1647,8.155360709289588e-07,1.007384103754053e-07,1.007384103754053e-07,8.155360709289588e-07
1648,7.419411320240345e-07,1.007384103754053e-07,1.007384103754053e-07,7.419411320240345e-07
1649,8.983966819999165e-07,1.007384103754053e-07,1.007384103754053e-07,8.983966819999165e-07
1650,9.862369552138261e-07,1.007384103754053e-07,1.007384103754053e-07,9.862369552138261e-07
1651,1.023575732363367e-06,1.007384103754053e-07,1.007384103754053e-07,1.023575732363367e-06
1652,1.1905899149106908e-06,1.007384103754053e-07,1.007384103754053e-07,1.1905899149106908e-06
1653,1.4152930540538883e-06,0.0,0.0,1.4152930540538883e-06
1654,1.4152930540538883e-06,0.0,0.0,1.4152930540538883e-06
1655,1.6018559969260032e-06,0.0,0.0,1.6018559969260032e-06
1656,1.6266297718305265e-06,0.0,0.0,1.6266297718305265e-06
1657,1.6778116592571938e-06,0.0,0.0,1.6778116592571938e-06
1658,1.7632739530069687e-06,0.0,0.0,1.7632739530069687e-06
1659,1.6605941409255008e-06,0.0,0.0,1.6605941409255008e-06
1660,9.918101722762782e-07,0.0,0.0,9.918101722762782e-07
1661,9.918101722762782e-07,0.0,0.0,9.918101722762782e-07
1662,8.405977130873257e-07,0.0,0.0,8.405977130873257e-07
1663,7.907583454068247e-07,0.0,0.0,7.907583454068247e-07
1664,6.910391659533031e-07,0.0,0.0,6.910391659533031e-07
1665,6.08851475395308e-07,0.0,0.0,6.08851475395308e-07
1666,1.3035366878609369e-06,0.0,0.0,1.3035366878609369e-06
1667,1.2405440372731391e-06,0.0,0.0,1.2405440372731391e-06
1668,1.2405440372731391e-06,0.0,0.0,1.2405440372731391e-06
1669,1.2791606869606248e-06,0.0,0.0,1.2791606869606248e-06
1670,1.2250690661273569e-06,0.0,0.0,1.2250690661273569e-06
1671,1.2639864702837907e-06,0.0,0.0,1.2639864702837907e-06
1672,1.131711623461992e-06,0.0,0.0,1.131711623461992e-06
1673,3.726920405305074e-07,2.4742870355761885e-08,2.4742870355761885e-08,3.726920405305074e-07
1674,5.030487549057787e-07,5.727339466180378e-08,5.727339466180378e-08,5.030487549057787e-07
1675,5.373672544400116e-07,5.727339466180378e-08,5.727339466180378e-08,5.373672544400116e-07
1676,5.463904163402081e-07,5.727339466180378e-08,5.727339466180378e-08,5.463904163402081e-07
1677,6.034368717726985e-07,5.727339466180378e-08,5.727339466180378e-08,6.034368717726985e-07
1678,5.650536292835438e-07,5.727339466180378e-08,5.727339466180378e-08,5.650536292835438e-07
1679,6.342689370545226e-07,5.727339466180378e-08,5.727339466180378e-08,6.342689370545226e-07
1680,6.88574723588837e-07,3.2530524306041893e-08,3.2530524306041893e-08,6.88574723588837e-07
1681,7.517470887056074e-07,0.0,0.0,7.517470887056074e-07
1682,8.988778818417944e-07,0.0,0.0,8.988778818417944e-07
1683,7.700383507978716e-07,0.0,0.0,7.700383507978716e-07
1684,7.525798772738719e-07,0.0,0.0,7.525798772738719e-07
1685,7.93566061117547e-07,0.0,0.0,7.93566061117547e-07
1686,8.072383731619734e-07,0.0,0.0,8.072383731619734e-07
1687,8.353327660058442e-07,0.0,0.0,8.353327660058442e-07
1688,8.705877689862973e-07,0.0,0.0,8.705877689862973e-07
1689,8.154231555376359e-07,3.157116980543963e-08,3.157116980543963e-08,8.154231555376359e-07
1690,1.043896361352381e-06,3.157116980543963e-08,3.157116980543963e-08,1.043896361352381e-06
1691,9.514760961337743e-07,3.157116980543963e-08,3.157116980543963e-08,9.514760961337743e-07
1692,9.653249475962054e-07,3.157116980543963e-08,3.157116980543963e-08,9.653249475962054e-07
1693,9.137885216757371e-07,3.157116980543963e-08,3.157116980543963e-08,9.137885216757371e-07
1694,8.557738928922325e-07,3.157116980543963e-08,3.157116980543963e-08,8.557738928922325e-07
1695,7.622349126482472e-07,3.157116980543963e-08,3.157116980543963e-08,7.622349126482472e-07
1696,6.831880727174524e-07,0.0,0.0,6.831880727174524e-07
1697,7.412507829128247e-07,0.0,0.0,7.412507829128247e-07
1698,8.827250590164632e-07,0.0,0.0,8.827250590164632e-07
1699,8.272615019677687e-07,0.0,0.0,8.272615019677687e-07
1700,8.219060134706524e-07,0.0,0.0,8.219060134706524e-07
1701,8.941880561711255e-07,0.0,0.0,8.941880561711255e-07
1702,7.69452441318208e-07,0.0,0.0,7.69452441318208e-07
1703,7.77420650268011e-07,0.0,0.0,7.77420650268011e-07
1704,5.688406352939117e-07,0.0,0.0,5.688406352939117e-07
1705,4.670049398620384e-07,0.0,0.0,4.670049398620384e-07
1706,4.7209785033633776e-07,0.0,0.0,4.7209785033633776e-07
1707,5.433217690356937e-07,0.0,0.0,5.433217690356937e-07
1708,5.238211144842353e-07,0.0,0.0,5.238211144842353e-07
1709,4.6405474206169727e-07,0.0,0.0,4.6405474206169727e-07
1710,4.949238083489555e-07,1.72150233116294e-08,1.72150233116294e-08,4.949238083489555e-07
1711,4.5573722218250623e-07,1.72150233116294e-08,1.72150233116294e-08,4.5573722218250623e-07
1712,5.111302040664409e-07,1.72150233116294e-08,1.72150233116294e-08,5.111302040664409e-07
1713,5.966448546652308e-07,1.72150233116294e-08,1.72150233116294e-08,5.966448546652308e-07
1714,5.855697265490432e-07,1.72150233116294e-08,1.72150233116294e-08,5.855697265490432e-07
1715,5.876592581444129e-07,1.72150233116294e-08,1.72150233116294e-08,5.876592581444129e-07
1716,5.926889424959622e-07,1.72150233116294e-08,1.72150233116294e-08,5.926889424959622e-07
1717,5.448208558586234e-07,0.0,0.0,5.448208558586234e-07
1718,5.757273454167131e-07,0.0,0.0,5.757273454167131e-07
1719,5.352481805078111e-07,0.0,0.0,5.352481805078111e-07
1720,4.326153819939853e-07,0.0,0.0,4.326153819939853e-07
1721,3.902711763917718e-07,0.0,0.0,3.902711763917718e-07
1722,3.8829057302791625e-07,0.0,0.0,3.8829057302791625e-07
1723,5.018905783669782e-07,0.0,0.0,5.018905783669782e-07
1724,5.223927489948567e-07,0.0,0.0,5.223927489948567e-07
1725,6.218348695646065e-07,0.0,0.0,6.218348695646065e-07
1726,6.1946639107191e-07,0.0,0.0,6.1946639107191e-07
1727,6.880810263152983e-07,0.0,0.0,6.880810263152983e-07
1728,7.220354518722161e-07,0.0,0.0,7.220354518722161e-07
1729,6.957353986893265e-07,0.0,0.0,6.957353986893265e-07
1730,5.699218336628422e-07,0.0,0.0,5.699218336628422e-07
1731,5.599798141377375e-07,6.966739566191141e-09,6.966739566191141e-09,5.599798141377375e-07
1732,4.284130333027341e-07,6.966739566191141e-09,6.966739566191141e-09,4.284130333027341e-07
1733,4.641593745548432e-07,6.966739566191141e-09,6.966739566191141e-09,4.641593745548432e-07
1734,4.4062559823032643e-07,6.966739566191141e-09,6.966739566191141e-09,4.4062559823032643e-07
1735,4.2107321616770476e-07,6.966739566191141e-09,6.966739566191141e-09,4.2107321616770476e-07
1736,4.6931925469704895e-07,6.966739566191141e-09,6.966739566191141e-09,4.6931925469704895e-07
1737,5.114626040787178e-07,6.966739566191141e-09,6.966739566191141e-09,5.114626040787178e-07
1738,5.176135898312038e-07,0.0,0.0,5.176135898312038e-07
1739,1.1844022326710859e-06,0.0,0.0,1.1844022326710859e-06
1740,1.1169295898330996e-06,0.0,0.0,1.1169295898330996e-06
1741,1.074372101632954e-06,0.0,0.0,1.074372101632954e-06
1742,1.137339838562314e-06,0.0,0.0,1.137339838562314e-06
1743,1.1922202836396018e-06,0.0,0.0,1.1922202836396018e-06
1744,1.2029060099751275e-06,0.0,0.0,1.2029060099751275e-06
1745,1.2931540973275851e-06,0.0,0.0,1.2931540973275851e-06
1746,8.874929550626933e-07,0.0,0.0,8.874929550626933e-07
1747,9.631846852796246e-07,0.0,0.0,9.631846852796246e-07
1748,1.0499493490507511e-06,0.0,0.0,1.0499493490507511e-06
1749,9.684215212603573e-07,0.0,0.0,9.684215212603573e-07
1750,1.0353342320610994e-06,0.0,0.0,1.0353342320610994e-06
1751,1.1593064235577394e-06,0.0,0.0,1.1593064235577394e-06
1752,1.2714471202863414e-06,0.0,0.0,1.2714471202863414e-06
1753,1.3751166534348158e-06,0.0,0.0,1.3751166534348158e-06
1754,1.3967595902743466e-06,0.0,0.0,1.3967595902743466e-06
1755,1.5962593969171785e-06,0.0,0.0,1.5962593969171785e-06
1756,2.388336091436421e-06,0.0,0.0,2.388336091436421e-06
1757,2.5114200233084764e-06,3.045123264655558e-09,3.045123264655558e-09,2.5114200233084764e-06
1758,2.43043629260293e-06,3.045123264655558e-09,3.045123264655558e-09,2.43043629260293e-06
1759,2.733215345480338e-06,3.045123264655558e-09,3.045123264655558e-09,2.733215345480338e-06
1760,2.7061199066987944e-06,3.045123264655558e-09,3.045123264655558e-09,2.7061199066987944e-06
1761,3.166159688459759e-06,3.045123264655558e-09,3.045123264655558e-09,3.166159688459759e-06
1762,3.0835731032701526e-06,3.045123264655558e-09,3.045123264655558e-09,3.0835731032701526e-06
1763,2.365401152409114e-06,3.045123264655558e-09,3.045123264655558e-09,2.365401152409114e-06
1764,2.4119867053481618e-06,2.810679688991513e-09,2.810679688991513e-09,2.4119867053481618e-06
1765,2.3872544992238024e-06,2.810679688991513e-09,2.810679688991513e-09,2.3872544992238024e-06
1766,2.0890495063343095e-06,2.810679688991513e-09,2.810679688991513e-09,2.0890495063343095e-06
1767,1.987635487564278e-06,2.810679688991513e-09,2.810679688991513e-09,1.987635487564278e-06
1768,1.9325087399530664e-06,2.810679688991513e-09,2.810679688991513e-09,1.9325087399530664e-06
1769,1.8910384613133959e-06,2.810679688991513e-09,2.810679688991513e-09,1.8910384613133959e-06
1770,2.6308362472653764e-06,2.810679688991513e-09,2.810679688991513e-09,2.6308362472653764e-06
1771,2.6929664938636833e-06,0.0,0.0,2.6929664938636833e-06
1772,3.1529947201696425e-06,0.0,0.0,3.1529947201696425e-06
1773,3.171394317697767e-06,0.0,0.0,3.171394317697767e-06
1774,3.383943879141173e-06,0.0,0.0,3.383943879141173e-06
1775,3.3394044294254854e-06,0.0,0.0,3.3394044294254854e-06
1776,3.364479620618762e-06,0.0,0.0,3.364479620618762e-06
1777,3.4244845729907477e-06,0.0,0.0,3.4244845729907477e-06
1778,3.486181412881706e-06,0.0,0.0,3.486181412881706e-06
1779,3.254855853031456e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.254855853031456e-06
1780,3.317549726489233e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.317549726489233e-06
1781,3.5751305144263564e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.5751305144263564e-06
1782,3.8515847466312285e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.8515847466312285e-06
1783,4.062991203162321e-06,2.5616857206906776e-09,2.5616857206906776e-09,4.062991203162321e-06
1784,3.6756146723096857e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.6756146723096857e-06
1785,3.8730769184829635e-06,2.5616857206906776e-09,2.5616857206906776e-09,3.8730769184829635e-06
1786,3.941102704629884e-06,0.0,0.0,3.941102704629884e-06
1787,4.07253235477713e-06,0.0,0.0,4.07253235477713e-06
1788,3.974000037487713e-06,0.0,0.0,3.974000037487713e-06
1789,3.660267826230016e-06,0.0,0.0,3.660267826230016e-06
1790,3.8041833119807833e-06,0.0,0.0,3.8041833119807833e-06
1791,3.6148596466643667e-06,0.0,0.0,3.6148596466643667e-06
1792,3.1564508812412636e-06,1.0882620519022827e-09,1.0882620519022827e-09,3.1564508812412636e-06
1793,3.2042491479192644e-06,1.0882620519022827e-09,1.0882620519022827e-09,3.2042491479192644e-06
1794,3.5581730344347307e-06,1.0882620519022827e-09,1.0882620519022827e-09,3.5581730344347307e-06
1795,3.4616128264782934e-06,2.0015341764941954e-09,2.0015341764941954e-09,3.4616128264782934e-06
1796,3.6229936962886962e-06,2.0015341764941954e-09,2.0015341764941954e-09,3.6229936962886962e-06
1797,3.42315104262525e-06,2.0015341764941954e-09,2.0015341764941954e-09,3.42315104262525e-06
1798,3.8057717607184064e-06,2.580190854623814e-09,2.580190854623814e-09,3.8057717607184064e-06
1799,4.138557804773362e-06,2.0926983955251087e-09,2.0926983955251087e-09,4.138557804773362e-06
1800,4.257535725368403e-06,2.0926983955251087e-09,2.0926983955251087e-09,4.257535725368403e-06
1801,3.933017134321355e-06,2.0926983955251087e-09,2.0926983955251087e-09,3.933017134321355e-06
1802,3.894673714707356e-06,1.1794262709331959e-09,1.1794262709331959e-09,3.894673714707356e-06
1803,3.754775856837763e-06,1.8814261894460417e-09,1.8814261894460417e-09,3.754775856837763e-06
1804,4.020529266719157e-06,2.4915812904932213e-09,2.4915812904932213e-09,4.020529266719157e-06
1805,3.574699413937716e-06,2.1726021140874454e-09,2.1726021140874454e-09,3.574699413937716e-06
1806,3.5835306724558384e-06,2.0889327252098563e-09,2.0889327252098563e-09,3.5835306724558384e-06
1807,3.433580494467086e-06,2.716596424003269e-09,2.716596424003269e-09,3.433580494467086e-06
1808,3.2195031443344694e-06,2.716596424003269e-09,2.716596424003269e-09,3.2195031443344694e-06
1809,3.063944502303327e-06,2.716596424003269e-09,2.716596424003269e-09,3.063944502303327e-06
1810,3.119990229346773e-06,2.450471809594441e-09,2.450471809594441e-09,3.119990229346773e-06
1811,3.0726499257330682e-06,2.3090845902018486e-09,2.3090845902018486e-09,3.0726499257330682e-06
1812,3.3821350890710685e-06,2.2881153479862147e-09,2.2881153479862147e-09,3.3821350890710685e-06
1813,3.1262227042004398e-06,2.352953324244059e-09,2.352953324244059e-09,3.1262227042004398e-06
1814,3.2153306100164107e-06,2.1432058984670122e-09,2.1432058984670122e-09,3.2153306100164107e-06
1815,3.413278818698018e-06,2.52948731801642e-09,2.52948731801642e-09,3.413278818698018e-06
1816,3.5788070817943662e-06,2.52948731801642e-09,2.52948731801642e-09,3.5788070817943662e-06
1817,3.4459591396236126e-06,2.7790022981223827e-09,2.7790022981223827e-09,3.4459591396236126e-06
1818,3.4002383862181366e-06,3.026373881657004e-09,3.026373881657004e-09,3.4002383862181366e-06
1819,3.2988658144209434e-06,2.7876656221487953e-09,2.7876656221487953e-09,3.2988658144209434e-06
1820,3.2676554318251353e-06,2.353124377891496e-09,2.353124377891496e-09,3.2676554318251353e-06
1821,3.1813343152212577e-06,1.93520810487513e-09,1.93520810487513e-09,3.1813343152212577e-06
1822,3.003330448336783e-06,1.7984644884450063e-09,1.7984644884450063e-09,3.003330448336783e-06
1823,2.8988784249252475e-06,1.9389272568456508e-09,1.9389272568456508e-09,2.8988784249252475e-06
1824,2.8563325226319388e-06,1.25353697263567e-09,1.25353697263567e-09,2.8563325226319388e-06
1825,2.707608538392898e-06,6.640143117892755e-10,6.640143117892755e-10,2.707608538392898e-06
1826,2.5802467981910534e-06,6.640143117892755e-10,6.640143117892755e-10,2.5802467981910534e-06
1827,2.584225902475217e-06,6.211879820052144e-10,6.211879820052144e-10,2.584225902475217e-06
1828,2.5789960480843936e-06,8.418466003666327e-10,8.418466003666327e-10,2.5789960480843936e-06
1829,3.153229532212468e-06,7.328573541671395e-10,7.328573541671395e-10,3.153229532212468e-06
1830,3.1409841605117047e-06,6.876991278024849e-10,6.876991278024849e-10,3.1409841605117047e-06
1831,3.202482860485491e-06,8.734884482386462e-10,8.734884482386462e-10,3.202482860485491e-06
1832,3.3508318730517724e-06,8.320211028082067e-10,8.320211028082067e-10,3.3508318730517724e-06
1833,3.4023512073742623e-06,9.144993651233335e-10,9.144993651233335e-10,3.4023512073742623e-06
1834,3.5303654125787683e-06,8.099287589808618e-10,8.099287589808618e-10,3.5303654125787683e-06
1835,3.508658762387183e-06,6.730535414714975e-10,6.730535414714975e-10,3.508658762387183e-06
1836,3.0922298849743257e-06,6.826273435400765e-10,6.826273435400765e-10,3.0922298849743257e-06
1837,3.106453277723631e-06,5.873228015040866e-10,5.873228015040866e-10,3.106453277723631e-06
1838,3.1241240126941453e-06,4.015334810679251e-10,4.015334810679251e-10,3.1241240126941453e-06
1839,3.131405557204354e-06,4.679468955183706e-10,4.679468955183706e-10,3.131405557204354e-06
1840,3.147918180599975e-06,3.8546863320324375e-10,3.8546863320324375e-10,3.147918180599975e-06
1841,3.1387174398592573e-06,8.053342992475621e-10,8.053342992475621e-10,3.1387174398592573e-06
1842,3.175060718214289e-06,9.039972104218919e-10,9.039972104218919e-10,3.175060718214289e-06
1843,3.179847453793627e-06,7.538748514335225e-10,7.538748514335225e-10,3.179847453793627e-06
1844,3.280921873738407e-06,8.206577084557409e-10,8.206577084557409e-10,3.280921873738407e-06
1845,3.32646199499972e-06,8.873964737635528e-10,8.873964737635528e-10,3.32646199499972e-06
1846,3.289766612267288e-06,7.358336004007323e-10,7.358336004007323e-10,3.289766612267288e-06
1847,3.34329631966414e-06,7.358336004007323e-10,7.358336004007323e-10,3.34329631966414e-06
1848,3.474524094469546e-06,5.894063174035783e-10,5.894063174035783e-10,3.474524094469546e-06
1849,3.6632700357586145e-06,4.069600053771946e-10,4.069600053771946e-10,3.6632700357586145e-06
1850,3.6560649862492156e-06,5.968396412013379e-10,5.968396412013379e-10,3.6560649862492156e-06
1851,3.681662097473496e-06,9.94342727203953e-10,9.94342727203953e-10,3.681662097473496e-06
1852,3.729006233957729e-06,1.1804118159121556e-09,1.1804118159121556e-09,3.729006233957729e-06
1853,4.023232577310409e-06,1.2286711568800156e-09,1.2286711568800156e-09,4.023232577310409e-06
1854,4.086536526821354e-06,1.4306785993995724e-09,1.4306785993995724e-09,4.086536526821354e-06
1855,4.179258407280681e-06,1.314745463292561e-09,1.314745463292561e-09,4.179258407280681e-06
1856,4.213309758987245e-06,1.5632394823050788e-09,1.5632394823050788e-09,4.213309758987245e-06
1857,4.448936968921251e-06,1.5177625267703831e-09,1.5177625267703831e-09,4.448936968921251e-06
1858,4.637356596504105e-06,1.2838906366623754e-09,1.2838906366623754e-09,4.637356596504105e-06
1859,4.75347522816654e-06,1.2138709482023557e-09,1.2138709482023557e-09,4.75347522816654e-06
1860,4.3786503413554915e-06,1.1656116072344958e-09,1.1656116072344958e-09,4.3786503413554915e-06
1861,4.497324393274279e-06,1.076577525539944e-09,1.076577525539944e-09,4.497324393274279e-06
1862,4.256732186799386e-06,9.19072278599791e-10,9.19072278599791e-10,4.256732186799386e-06
