ngram,maintenance,maintenace,maintnce,mainteance
1787,1.9127193029687207e-05,0.0,0.0,2.1581334814462546e-09
1788,2.0452202339324037e-05,2.6131041457639573e-09,0.0,2.1581334814462546e-09
1789,2.1513726876167182e-05,2.6131041457639573e-09,0.0,0.0
1790,2.4021494807259713e-05,3.717952549006246e-09,0.0,0.0
1791,2.448505957935205e-05,6.975851388598844e-09,0.0,0.0
1792,2.4822273969350916e-05,9.15237549240341e-09,0.0,0.0
1793,2.321405294683895e-05,9.15237549240341e-09,0.0,0.0
1794,2.407396927342883e-05,1.114834662680713e-08,0.0,9.979855672018596e-10
1795,2.2101530183655476e-05,8.535242481043172e-09,0.0,9.979855672018596e-10
1796,2.119964639340261e-05,8.535242481043172e-09,0.0,1.9461471799177487e-09
1797,1.9191798336188575e-05,9.698088681326616e-09,0.0,1.9461471799177487e-09
1798,1.9219979419306454e-05,7.018846519863635e-09,0.0,1.9461471799177487e-09
1799,1.96578330360353e-05,4.84232241605907e-09,0.0,2.546916772721326e-09
1800,1.947887800010254e-05,4.84232241605907e-09,0.0,2.9585806820315544e-09
1801,1.8670571859859463e-05,2.8463512816553507e-09,0.0,1.960595114829695e-09
1802,1.8867628958625054e-05,3.714604877659765e-09,0.0,1.960595114829695e-09
1803,1.935492166791976e-05,3.714604877659765e-09,0.0,1.012433502113806e-09
1804,1.9393407845719984e-05,1.4469102741340327e-09,0.0,1.3175110526373958e-09
1805,1.9402498375192018e-05,1.1279310977282568e-09,0.0,1.5771885543612386e-09
1806,1.8664566076560213e-05,1.6450313016542444e-09,0.0,9.764189615576617e-10
1807,1.8730534065980464e-05,1.6450313016542444e-09,0.0,5.647550522474327e-10
1808,1.9106275431113318e-05,1.8803944909099155e-09,0.0,1.976934124340143e-09
1809,1.9482159197130905e-05,1.1930657097179521e-09,0.0,2.881558182542067e-09
1810,1.9317907312402633e-05,1.1930657097179521e-09,0.0,2.881558182542067e-09
1811,1.924654887781279e-05,1.1930657097179521e-09,0.0,2.5764806320184773e-09
1812,1.862557473941706e-05,1.1720964675023181e-09,0.0,2.3168031302946345e-09
1813,1.9337646725554286e-05,1.0429550715126572e-09,0.0,2.3168031302946345e-09
1814,2.0080535770310754e-05,3.5504527730521674e-09,0.0,2.3168031302946345e-09
1815,2.033096435687704e-05,3.3150895837964966e-09,0.0,9.046240582019241e-10
1816,2.0240774964414804e-05,3.8948556443533076e-09,0.0,1.901727188423154e-10
1817,2.022459557338152e-05,4.580245928563289e-09,0.0,3.6152028989481066e-10
1818,1.964133194373322e-05,5.475420275910128e-09,0.0,5.405551561921129e-10
1819,1.980326695567263e-05,5.687604355740307e-09,0.0,5.405551561921129e-10
1820,1.8977881284497145e-05,6.33142408342938e-09,0.0,5.405551561921129e-10
