ngram,paint,pint,pat,pint
1652,6.110423417534808e-06,3.2146366736794463e-06,4.642791087202827e-06,3.2146366736794463e-06
1653,6.48659023129637e-06,5.099031089425157e-06,5.018957900964389e-06,5.099031089425157e-06
1654,6.547127075659123e-06,5.658716515556859e-06,5.203944283493911e-06,5.658716515556859e-06
1655,6.0368636809471354e-06,5.03541306378403e-06,4.864824047347481e-06,5.03541306378403e-06
1656,6.366401878819618e-06,5.027266394920714e-06,4.97206581582889e-06,5.027266394920714e-06
1657,5.723365932551262e-06,4.817762211522287e-06,4.251635703310187e-06,4.817762211522287e-06
1658,4.409980939661702e-06,6.0386925854670285e-06,3.873636907363627e-06,6.0386925854670285e-06
1659,4.659931326906579e-06,5.5784801540020065e-06,4.001096808029356e-06,5.5784801540020065e-06
1660,4.3022484987886855e-06,4.094959755158405e-06,4.044287996813571e-06,4.094959755158405e-06
1661,3.8558547186897026e-06,3.6999704125914183e-06,3.7421863063562862e-06,3.6999704125914183e-06
1662,4.261130592502533e-06,3.948440369835485e-06,3.921366182372107e-06,3.948440369835485e-06
1663,4.247534491241822e-06,3.984683636255275e-06,4.277020285111835e-06,3.984683636255275e-06
1664,4.227265557282018e-06,3.898346895831699e-06,4.33639690657271e-06,3.898346895831699e-06
1665,3.917562829818573e-06,3.3981639181287652e-06,4.0803098662373875e-06,3.3981639181287652e-06
1666,4.006768084049586e-06,6.337740696186042e-06,3.979638937120658e-06,6.337740696186042e-06
1667,4.172853607542493e-06,8.013814895743313e-06,3.842207401508599e-06,8.013814895743313e-06
1668,4.6510277960416194e-06,8.576384353935801e-06,3.789120682995417e-06,8.576384353935801e-06
1669,4.647791099289732e-06,8.404068824217705e-06,4.51939445156313e-06,8.404068824217705e-06
1670,5.0266046075973596e-06,9.803203121399357e-06,4.515641421676264e-06,9.803203121399357e-06
1671,4.70986729591719e-06,1.0936049160851066e-05,4.591933929987135e-06,1.0936049160851066e-05
1672,4.982368571810574e-06,1.0031510815419356e-05,4.569227972491977e-06,1.0031510815419356e-05
1673,4.358670789120619e-06,7.787204335077799e-06,4.325939536491725e-06,7.787204335077799e-06
1674,4.782740721306514e-06,6.848824471360006e-06,4.099633607828375e-06,6.848824471360006e-06
1675,5.062476670251012e-06,6.875475849353409e-06,4.161429874979408e-06,6.875475849353409e-06
1676,4.683181259679259e-06,6.791752152171934e-06,3.5046091072997243e-06,6.791752152171934e-06
1677,4.581921822526576e-06,5.297768926279137e-06,3.0909479521921768e-06,5.297768926279137e-06
1678,4.5308894901349305e-06,4.3678477205893226e-06,2.9801599014587865e-06,4.3678477205893226e-06
1679,4.348122729425086e-06,5.010938886178857e-06,2.7926673737965757e-06,5.010938886178857e-06
1680,4.468730919273055e-06,5.395792413764866e-06,2.7045142425257448e-06,5.395792413764866e-06
1681,4.3186550686056894e-06,5.331264739132686e-06,2.7494437355406783e-06,5.331264739132686e-06
1682,3.7489506407187686e-06,4.957167058299612e-06,2.6803592975608936e-06,4.957167058299612e-06
1683,3.8049645679296063e-06,4.662481225230815e-06,2.3880493245087564e-06,4.662481225230815e-06
1684,3.6592290533527764e-06,5.341976020645234e-06,2.6235250710929644e-06,5.341976020645234e-06
1685,4.1502015132469495e-06,5.308458607292518e-06,2.689313272899848e-06,5.308458607292518e-06
1686,4.310280993584976e-06,4.247157221470843e-06,2.9559213154633265e-06,4.247157221470843e-06
1687,3.942015934756325e-06,3.1941321075074872e-06,3.101389503561742e-06,3.1941321075074872e-06
1688,3.880110788096707e-06,2.2598661644224194e-06,3.44408951085435e-06,2.2598661644224194e-06
1689,4.22052880821866e-06,1.7760013731406486e-06,3.3854924887626633e-06,1.7760013731406486e-06
1690,4.233536758744906e-06,1.8045725645216798e-06,3.491957126503361e-06,1.8045725645216798e-06
1691,3.976674910128557e-06,1.1284091507539934e-06,3.407046051506768e-06,1.1284091507539934e-06
1692,3.564441401847164e-06,9.915654410568614e-07,3.5034205601342753e-06,9.915654410568614e-07
1693,3.406681522782102e-06,3.3742562826384007e-06,3.1942019924307326e-06,3.3742562826384007e-06
1694,3.4764931667398613e-06,3.3969693211994515e-06,3.0336276170471266e-06,3.3969693211994515e-06
1695,3.335864432431533e-06,3.474289834619932e-06,2.7843800743149975e-06,3.474289834619932e-06
1696,3.7593401722395877e-06,3.7419709185217343e-06,2.8309043987714437e-06,3.7419709185217343e-06
1697,3.7237189352319026e-06,3.7792633520439267e-06,2.8563230541424545e-06,3.7792633520439267e-06
1698,5.839984656371858e-06,3.7635700372058115e-06,2.8499289815694543e-06,3.7635700372058115e-06
1699,6.061780433291071e-06,3.66499809193296e-06,2.7474572854251685e-06,3.66499809193296e-06
1700,5.9837349713883925e-06,1.90620417989911e-06,3.0142749502764284e-06,1.90620417989911e-06
1701,6.672065767686165e-06,1.953226062921333e-06,3.2823203842521513e-06,1.953226062921333e-06
1702,6.67712333779491e-06,1.927893371040617e-06,3.481241947156377e-06,1.927893371040617e-06
1703,6.275208079387085e-06,1.7927068094130455e-06,3.625349108915543e-06,1.7927068094130455e-06
1704,6.271415973709996e-06,1.6187738570546832e-06,3.6349364823503753e-06,1.6187738570546832e-06
1705,4.343913912764817e-06,1.6829921248375155e-06,3.4662465233330816e-06,1.6829921248375155e-06
1706,4.4778936561280195e-06,1.673236364955041e-06,3.491036555455399e-06,1.673236364955041e-06
