ngram,doctor,doctr,dctor,doctoor
1580,3.2215807680456366e-05,0.0,0.0,0.0
1581,3.518234448815097e-05,0.0,0.0,0.0
1582,3.602030723673774e-05,0.0,0.0,0.0
1583,3.698155244689717e-05,0.0,0.0,0.0
1584,1.4018268497498606e-05,0.0,0.0,0.0
1585,1.4993991953815566e-05,0.0,0.0,0.0
1586,1.528254811741395e-05,0.0,0.0,0.0
1587,9.68586248615923e-06,0.0,0.0,0.0
1588,6.719325678464624e-06,0.0,0.0,0.0
1589,6.814995296216304e-06,0.0,0.0,0.0
1590,6.373701385850186e-06,0.0,0.0,0.0
1591,7.706368640875943e-06,0.0,0.0,0.0
1592,7.2018494522905844e-06,0.0,0.0,0.0
1593,9.238361924092584e-06,0.0,0.0,0.0
1594,9.562808697540146e-06,0.0,0.0,0.0
1595,1.1365997059848659e-05,0.0,0.0,0.0
1596,1.0642782919083921e-05,0.0,0.0,0.0
1597,1.1212390420821197e-05,0.0,0.0,0.0
1598,1.1118272790814185e-05,0.0,0.0,0.0
1599,1.1221351802045579e-05,0.0,0.0,0.0
1600,7.267818740988982e-06,0.0,0.0,0.0
1601,8.745854886780893e-06,0.0,0.0,0.0
1602,7.673471567873743e-06,0.0,0.0,0.0
1603,7.87516345163957e-06,0.0,0.0,0.0
1604,8.318037479122203e-06,0.0,0.0,0.0
1605,7.3043616371900754e-06,0.0,0.0,0.0
1606,7.208540653534458e-06,0.0,0.0,0.0
1607,6.24998585863068e-06,0.0,0.0,0.0
1608,4.101423379714626e-06,0.0,0.0,0.0
1609,3.370618336313263e-06,0.0,0.0,0.0
1610,3.0859564909795675e-06,0.0,0.0,0.0
1611,1.6559359404969394e-06,0.0,0.0,0.0
1612,3.3140672550351676e-06,0.0,0.0,0.0
1613,2.432486602239286e-06,1.598104810390006e-07,0.0,0.0
1614,2.7620963497351373e-06,1.598104810390006e-07,0.0,0.0
1615,2.7620963497351373e-06,1.598104810390006e-07,0.0,0.0
1616,2.7620963497351373e-06,1.598104810390006e-07,0.0,0.0
1617,3.6229787627105125e-06,1.598104810390006e-07,0.0,0.0
1618,4.012952168912827e-06,1.598104810390006e-07,0.0,0.0
1619,2.1299470712879805e-06,1.598104810390006e-07,0.0,0.0
1620,3.2206709680134997e-06,0.0,0.0,0.0
1621,2.891061220517648e-06,0.0,0.0,0.0
1622,9.15206952153572e-06,0.0,0.0,0.0
1623,1.3732110736392705e-05,0.0,0.0,0.0
1624,1.2743780059411489e-05,0.0,0.0,0.0
1625,1.2251394374678576e-05,0.0,0.0,0.0
1626,1.2940259823933178e-05,0.0,0.0,0.0
1627,1.1529914965129656e-05,0.0,0.0,0.0
1628,1.3364240528192437e-05,0.0,0.0,0.0
1629,7.268290914907993e-06,0.0,0.0,0.0
1630,3.2919926817547614e-06,0.0,0.0,0.0
1631,3.3486726676658563e-06,0.0,0.0,0.0
1632,4.4481862784907984e-06,0.0,0.0,0.0
1633,3.896413626794778e-06,0.0,0.0,0.0
1634,3.896413626794778e-06,0.0,0.0,0.0
1635,2.1444077771905412e-06,0.0,0.0,0.0
1636,2.2398823245696675e-06,0.0,0.0,0.0
1637,1.7092994702189962e-06,0.0,0.0,0.0
1638,1.9219596327145283e-06,0.0,0.0,0.0
1639,9.78186481656199e-07,0.0,0.0,0.0
1640,8.410936840976189e-07,0.0,0.0,0.0
1641,9.605378587756214e-07,0.0,0.0,0.0
1642,1.6338670109559774e-06,0.0,0.0,0.0
1643,1.4636562225080394e-06,0.0,0.0,0.0
1644,1.7571419610768707e-06,0.0,0.0,0.0
1645,1.7333859757075385e-06,0.0,0.0,0.0
1646,1.8798607308261644e-06,0.0,0.0,0.0
1647,1.8798607308261644e-06,0.0,0.0,0.0
1648,1.943813499240475e-06,0.0,0.0,0.0
1649,1.3446201835774576e-06,0.0,0.0,0.0
1650,1.4299782833404606e-06,0.0,0.0,0.0
1651,1.2353327422585738e-06,4.300008121000636e-08,0.0,0.0
1652,1.2124341667783613e-06,4.300008121000636e-08,0.0,0.0
1653,1.2117220649088267e-06,4.300008121000636e-08,0.0,0.0
1654,1.3361716193165712e-06,4.300008121000636e-08,0.0,0.0
1655,1.2689807655468549e-06,4.300008121000636e-08,0.0,0.0
1656,1.1578325467910742e-06,4.300008121000636e-08,0.0,0.0
1657,1.0655652999957965e-06,4.300008121000636e-08,0.0,0.0
1658,1.6441838803465153e-06,0.0,0.0,0.0
1659,5.571065271072127e-06,0.0,0.0,0.0
1660,5.510086558453102e-06,0.0,0.0,0.0
1661,5.385637004045358e-06,0.0,0.0,0.0
1662,5.431830353635243e-06,0.0,0.0,0.0
1663,6.240557776696473e-06,0.0,0.0,0.0
1664,6.628780235067617e-06,0.0,0.0,0.0
1665,5.878161329876873e-06,0.0,0.0,0.0
1666,1.768542749199956e-06,0.0,0.0,0.0
1667,1.6253752984799315e-06,0.0,0.0,0.0
1668,1.9316478017117333e-06,0.0,0.0,0.0
1669,2.278467917449234e-06,0.0,0.0,0.0
1670,1.4244331631679025e-06,0.0,0.0,0.0
1671,1.0310177905077062e-06,0.0,0.0,0.0
1672,1.1786214072019772e-06,2.4600601428963794e-08,0.0,0.0
1673,1.1634158799519615e-06,2.4600601428963794e-08,0.0,0.0
1674,1.1961810274994735e-06,2.4600601428963794e-08,0.0,0.0
1675,9.585455233361375e-07,2.4600601428963794e-08,0.0,0.0
1676,1.2223631387087153e-06,2.4600601428963794e-08,0.0,0.0
1677,1.961259501724401e-06,2.4600601428963794e-08,0.0,0.0
1678,1.9228762592352463e-06,2.4600601428963794e-08,0.0,0.0
1679,2.3982103799978305e-06,0.0,0.0,0.0
1680,2.4096713673316117e-06,0.0,0.0,0.0
1681,2.4585560497923453e-06,0.0,0.0,0.0
1682,2.55120731448447e-06,2.016103297007378e-08,0.0,0.0
1683,1.8223046010591913e-06,2.016103297007378e-08,0.0,0.0
1684,1.0834082380435056e-06,2.016103297007378e-08,0.0,0.0
1685,1.0637769268636736e-06,2.016103297007378e-08,0.0,0.0
1686,6.342436275222749e-07,2.016103297007378e-08,0.0,0.0
1687,1.1336409398511802e-06,2.016103297007378e-08,0.0,0.0
1688,1.7466910082118505e-06,2.016103297007378e-08,0.0,0.0
1689,1.6169739142566999e-06,0.0,0.0,0.0
1690,1.6143800394274876e-06,0.0,0.0,0.0
1691,2.3483616230026072e-06,0.0,0.0,0.0
1692,2.375491880408325e-06,0.0,0.0,0.0
1693,3.937754316650301e-06,0.0,0.0,0.0
1694,3.5728520007946178e-06,0.0,0.0,0.0
1695,3.183972042717999e-06,0.0,0.0,0.0
1696,3.404336004970381e-06,0.0,0.0,0.0
1697,3.656678432305073e-06,0.0,0.0,0.0
1698,3.0575233641424608e-06,3.1113811717529775e-08,0.0,0.0
1699,3.0232568154328225e-06,3.1113811717529775e-08,0.0,0.0
1700,1.2935856464732102e-06,3.1113811717529775e-08,0.0,0.0
1701,1.122886792310445e-06,3.1113811717529775e-08,0.0,0.0
1702,7.676505414825183e-07,3.1113811717529775e-08,0.0,0.0
1703,5.377978291270275e-07,3.1113811717529775e-08,0.0,0.0
1704,2.612383533622571e-07,3.1113811717529775e-08,0.0,0.0
1705,8.132471651021791e-07,0.0,0.0,0.0
1706,8.666299200805432e-07,1.1075382896511395e-08,0.0,0.0
1707,9.13548932755605e-07,1.1075382896511395e-08,0.0,0.0
1708,9.13548932755605e-07,1.1075382896511395e-08,0.0,0.0
1709,8.776333097720064e-07,1.1075382896511395e-08,0.0,0.0
1710,8.899809366929341e-07,1.1075382896511395e-08,0.0,0.0
1711,9.40503702346567e-07,1.1075382896511395e-08,0.0,0.0
1712,2.6453179507208393e-07,1.1075382896511395e-08,0.0,0.0
1713,3.7116774263625173e-07,0.0,0.0,0.0
1714,3.0782463511513924e-07,0.0,0.0,0.0
1715,3.41791696152021e-07,0.0,0.0,0.0
1716,3.740414708123093e-07,0.0,0.0,0.0
1717,4.1602547997042295e-07,0.0,0.0,0.0
1718,7.817175376853161e-07,0.0,0.0,0.0
1719,9.420607623513076e-07,0.0,0.0,0.0
1720,1.965041465926528e-06,0.0,0.0,0.0
1721,2.043070436132309e-06,0.0,0.0,0.0
