ngram,balance,balnce,balane,blance
1588,6.2365475547007265e-06,0.0,1.887180880138268e-07,0.0
1589,1.7207881374555916e-05,0.0,1.887180880138268e-07,0.0
1590,1.3362900533918167e-05,0.0,1.887180880138268e-07,2.599756498966599e-07
1591,1.3629433997916099e-05,0.0,1.887180880138268e-07,2.599756498966599e-07
1592,1.3440715909902273e-05,0.0,0.0,2.599756498966599e-07
1593,1.3789142030873336e-05,0.0,0.0,2.599756498966599e-07
1594,1.4113588804320898e-05,0.0,0.0,2.599756498966599e-07
1595,1.4113588804320898e-05,0.0,0.0,2.599756498966599e-07
1596,1.0298329730825831e-05,0.0,0.0,2.599756498966599e-07
1597,1.0661516008830013e-05,0.0,0.0,0.0
1598,1.530494738030289e-05,0.0,0.0,0.0
1599,2.1200504599099596e-05,0.0,0.0,0.0
1600,2.346152194019981e-05,0.0,0.0,0.0
1601,2.2986319468795307e-05,0.0,0.0,1.953238617196413e-07
1602,2.382152521412146e-05,0.0,0.0,1.953238617196413e-07
1603,1.6658579202807493e-05,0.0,0.0,1.953238617196413e-07
1604,1.6635933564300232e-05,0.0,0.0,1.953238617196413e-07
1605,1.1838405620372733e-05,0.0,0.0,3.077607532629502e-07
1606,8.265171402399574e-06,0.0,0.0,3.077607532629502e-07
1607,4.217940248249111e-06,0.0,0.0,3.077607532629502e-07
1608,5.620037159457882e-06,0.0,0.0,1.1243689154330891e-07
1609,5.539527324214889e-06,0.0,0.0,1.1243689154330891e-07
1610,5.5097619987723845e-06,0.0,0.0,1.1243689154330891e-07
1611,1.407908984317276e-05,0.0,0.0,2.1484917007390842e-07
1612,1.396665295162945e-05,0.0,0.0,1.0241227853059951e-07
1613,1.2763003366801837e-05,0.0,0.0,1.0241227853059951e-07
1614,1.3092613114297689e-05,0.0,0.0,1.0241227853059951e-07
1615,1.1495192341369278e-05,0.0,0.0,4.833555310921968e-07
1616,1.1100920963664456e-05,0.0,0.0,4.833555310921968e-07
1617,1.096565884901273e-05,0.0,0.0,4.833555310921968e-07
1618,9.933961320842042e-06,0.0,0.0,3.809432525615973e-07
1619,1.0496633795550484e-05,0.0,0.0,3.809432525615973e-07
1620,1.0486088464339055e-05,0.0,0.0,3.809432525615973e-07
1621,1.0691732719741204e-05,0.0,0.0,5.593612481139385e-07
1622,1.1465565242880465e-05,0.0,0.0,2.4876640379391445e-07
1623,1.2721625921585655e-05,0.0,0.0,2.4876640379391445e-07
1624,1.5162522621332236e-05,0.0,0.0,2.4876640379391445e-07
1625,7.284351665605625e-06,0.0,0.0,2.4876640379391445e-07
1626,8.329031905824585e-06,0.0,0.0,2.4876640379391445e-07
1627,7.3806751613249484e-06,0.0,0.0,2.4876640379391445e-07
1628,7.56604902107938e-06,0.0,0.0,1.3586003433374572e-07
1629,8.855450054008024e-06,0.0,0.0,1.4804096995898623e-07
1630,8.01520583796186e-06,0.0,0.0,1.4804096995898623e-07
1631,5.837346325928852e-06,0.0,0.0,2.04720955870081e-07
1632,6.2038508628705e-06,0.0,0.0,2.963470901054929e-07
1633,5.007776524377862e-06,0.0,0.0,5.70532685222653e-07
1634,6.205604937089707e-06,0.0,0.0,5.70532685222653e-07
1635,5.731936214812906e-06,0.0,0.0,7.519801995061113e-07
1636,4.7976800000729525e-06,0.0,0.0,6.694508556392975e-07
1637,4.167759259741745e-06,0.0,0.0,8.88931237698541e-07
1638,4.196319699596123e-06,0.0,0.0,8.322512517874461e-07
1639,4.530647223483746e-06,0.0,0.0,8.184953474353409e-07
1640,4.633409113401805e-06,0.0,0.0,5.443097523181808e-07
1641,3.8133081586368334e-06,0.0,0.0,5.443097523181808e-07
1642,5.401496244823127e-06,0.0,0.0,2.9735061194255e-07
1643,4.7241311286987705e-06,0.0,0.0,2.9735061194255e-07
1644,5.2194411312354664e-06,0.0,0.0,7.787022988330656e-08
1645,5.024578643185253e-06,0.0,0.0,1.7610389185002922e-07
1646,4.7267002238576036e-06,0.0,0.0,9.823366196672265e-08
1647,4.420751062233259e-06,0.0,0.0,9.823366196672265e-08
1648,4.5251415323426566e-06,0.0,0.0,1.8993213351287913e-07
1649,2.7682220807686723e-06,0.0,0.0,1.8993213351287913e-07
1650,3.019332041276357e-06,0.0,0.0,1.8993213351287913e-07
1651,2.635702271293537e-06,0.0,0.0,1.8993213351287913e-07
1652,3.2382982177685856e-06,0.0,0.0,9.169847154615646e-08
1653,3.965981225714391e-06,0.0,0.0,9.169847154615646e-08
1654,4.504587479914335e-06,0.0,0.0,9.169847154615646e-08
1655,4.501831710967963e-06,0.0,0.0,0.0
1656,5.148521235501643e-06,0.0,0.0,0.0
1657,5.113105446850698e-06,0.0,0.0,2.7804432534139778e-08
1658,6.409958392136364e-06,0.0,0.0,2.7804432534139778e-08
1659,6.267724269751593e-06,0.0,0.0,2.7804432534139778e-08
1660,5.618136421097526e-06,0.0,0.0,2.7804432534139778e-08
1661,5.543293127630022e-06,0.0,0.0,2.7804432534139778e-08
1662,5.310158225516456e-06,0.0,0.0,1.0900415199038044e-07
1663,6.2933104345574975e-06,0.0,0.0,1.0900415199038044e-07
1664,7.394638227456848e-06,0.0,0.0,8.119971945624066e-08
1665,6.412975835701218e-06,0.0,0.0,8.119971945624066e-08
1666,5.8085381949370325e-06,0.0,0.0,2.409933098793512e-07
1667,6.982557449321446e-06,0.0,0.0,3.383502595560068e-07
1668,7.185767734491881e-06,0.0,0.0,3.383502595560068e-07
1669,7.468713257756983e-06,0.0,0.0,3.170587246716293e-07
1670,6.842820442086252e-06,0.0,0.0,3.170587246716293e-07
1671,5.426177982112027e-06,0.0,0.0,3.5616891734337385e-07
1672,5.615605589680074e-06,0.0,0.0,3.5616891734337385e-07
1673,5.762263786631852e-06,0.0,0.0,2.4586106763178706e-07
1674,5.57106929071389e-06,0.0,0.0,2.1356516656721526e-07
1675,5.451011962317612e-06,0.0,0.0,2.1356516656721526e-07
1676,5.578051546503307e-06,0.0,0.0,2.3955000269130065e-07
1677,4.898909245249732e-06,0.0,0.0,2.7313620064108234e-07
1678,4.8656146580989505e-06,0.0,0.0,2.5394457939650496e-07
1679,4.26449839453978e-06,0.0,0.0,2.770163486534979e-07
1680,4.352544497773384e-06,0.0,0.0,2.2753060794197415e-07
1681,3.4480671534506006e-06,0.0,0.0,2.072212542511157e-07
1682,3.076119745466193e-06,0.0,0.0,2.878653861314108e-07
1683,2.745615055183797e-06,0.0,0.0,2.4610682203274337e-07
1684,2.9854554343598594e-06,0.0,0.0,3.0018536481942905e-07
1685,3.313344905109261e-06,0.0,0.0,3.610901200902715e-07
1686,3.842572693559175e-06,0.0,0.0,3.932767640435486e-07
1687,3.943727571303108e-06,0.0,0.0,4.3447685373264123e-07
1688,4.362754517777441e-06,0.0,0.0,5.294998938357562e-07
1689,4.232264261970288e-06,0.0,0.0,4.804269317609007e-07
1690,4.245272212496534e-06,0.0,0.0,4.5706276604765404e-07
1691,4.1161845436883075e-06,0.0,0.0,3.693980253111866e-07
1692,3.895622723705726e-06,0.0,0.0,3.832468767736178e-07
1693,4.6783986980309626e-06,0.0,0.0,4.533932391430946e-07
1694,4.630508539906129e-06,0.0,0.0,4.6096425064336343e-07
1695,4.16380990892711e-06,0.0,0.0,3.6770992600005617e-07
1696,4.5883162199191115e-06,0.0,0.0,3.3613875619461654e-07
1697,7.234377302925818e-06,0.0,0.0,3.5945091423984975e-07
1698,8.908928261267387e-06,0.0,0.0,4.0093599652988944e-07
1699,9.502327624691784e-06,0.0,0.0,3.5854197985177703e-07
1700,8.40575921756681e-06,0.0,0.0,2.591329096698506e-07
1701,8.198384226229141e-06,0.0,0.0,2.490288457985506e-07
1702,8.84922025891553e-06,0.0,0.0,2.144935952027741e-07
1703,9.243141968389474e-06,0.0,0.0,2.4761722577133174e-07
1704,6.358446918446654e-06,0.0,0.0,2.728289101940261e-07
1705,4.939364479079293e-06,0.0,0.0,2.5881724293900075e-07
1706,4.728443302935505e-06,0.0,0.0,2.840667647774353e-07
1707,4.570249724825512e-06,0.0,0.0,2.82375965403909e-07
1708,4.810790544849754e-06,0.0,0.0,2.6300066277177135e-07
1709,3.912780341254672e-06,0.0,0.0,3.1114058174352976e-07
1710,4.769865605729657e-06,0.0,0.0,3.296620231399824e-07
1711,5.682784327681085e-06,0.0,0.0,3.088295354051037e-07
1712,5.195977613376661e-06,0.0,0.0,2.922195402480351e-07
1713,5.112281623301637e-06,0.0,0.0,2.687819348677424e-07
1714,5.534835362855769e-06,0.0,0.0,2.5404863939521807e-07
1715,6.225450290133137e-06,0.0,0.0,2.800463180717218e-07
1716,6.5541820991451715e-06,0.0,0.0,2.3763115564179316e-07
1717,5.367315809832819e-06,0.0,0.0,2.2419311156746907e-07
1718,5.100329612365126e-06,0.0,0.0,2.0669849171944016e-07
1719,5.660744201512509e-06,0.0,0.0,2.1558968451732392e-07
1720,5.3618102486195444e-06,0.0,0.0,2.2492750316262443e-07
1721,6.148401878038255e-06,0.0,0.0,2.3287600876236475e-07
1722,8.406596537367608e-06,0.0,0.0,1.9531418209745815e-07
1723,8.443182325988476e-06,0.0,0.0,2.270056752097714e-07
1724,8.864408040868252e-06,0.0,0.0,2.416369235496469e-07
1725,8.84097685879429e-06,0.0,0.0,2.474346619659887e-07
1726,8.726288147694764e-06,0.0,0.0,2.59617540418081e-07
1727,9.176282739125391e-06,0.0,0.0,2.2356050724933345e-07
1728,8.55185862747021e-06,0.0,0.0,2.7083599312455977e-07
1729,6.101688476129701e-06,0.0,0.0,3.332001503914788e-07
1730,6.6420235660708774e-06,0.0,0.0,3.574478841171315e-07
1731,6.231989378388139e-06,0.0,0.0,3.255098265851432e-07
1732,6.451135245047876e-06,0.0,0.0,3.388132532628723e-07
1733,6.2217191043600906e-06,0.0,0.0,3.490243776533524e-07
1734,7.606690035442755e-06,0.0,0.0,3.5778563553126984e-07
