ngram,football,fotball,footbal,foootball
1795,1.23718635336445e-07,0.0,0.0,0.0
1796,1.0463334681227415e-07,0.0,0.0,0.0
1797,9.583661255062128e-08,0.0,0.0,0.0
1798,1.422639631495518e-07,0.0,0.0,0.0
1799,1.4846382916695283e-07,0.0,0.0,0.0
1800,1.5852617098387002e-07,0.0,0.0,0.0
1801,1.5096504211799454e-07,0.0,0.0,0.0
1802,1.643168770572499e-07,0.0,0.0,0.0
1803,1.6918977406378743e-07,3.5099995925642295e-10,0.0,0.0
1804,1.6272517098871374e-07,3.5099995925642295e-10,3.0507755052358986e-10,0.0
1805,1.3945591145362153e-07,3.5099995925642295e-10,3.0507755052358986e-10,0.0
1806,1.4037556691651583e-07,3.5099995925642295e-10,3.0507755052358986e-10,0.0
1807,1.3880438842761578e-07,3.5099995925642295e-10,3.0507755052358986e-10,0.0
1808,1.378255356192832e-07,3.5099995925642295e-10,3.0507755052358986e-10,0.0
1809,1.2871212058079046e-07,3.5099995925642295e-10,4.860023653360404e-10,0.0
1810,1.2480731978062716e-07,0.0,4.860023653360404e-10,0.0
1811,1.2466931411024363e-07,0.0,1.809248148124506e-10,0.0
1812,1.0497405611431532e-07,0.0,1.809248148124506e-10,0.0
1813,1.014875061449467e-07,0.0,1.809248148124506e-10,0.0
1814,9.582379943497341e-08,0.0,1.809248148124506e-10,0.0
1815,9.554166626100726e-08,0.0,1.809248148124506e-10,0.0
1816,1.0240401694870473e-07,0.0,0.0,0.0
1817,1.0470244912344892e-07,0.0,0.0,0.0
1818,1.0703888416888471e-07,0.0,0.0,0.0
1819,1.072952408825196e-07,0.0,0.0,0.0
1820,1.2007013643661984e-07,0.0,0.0,0.0
1821,1.3009414954824804e-07,0.0,0.0,0.0
1822,1.386703699170409e-07,0.0,0.0,0.0
1823,1.3430864242991447e-07,0.0,0.0,0.0
1824,1.4151641636317436e-07,0.0,0.0,0.0
1825,1.4241755914261895e-07,0.0,0.0,0.0
1826,1.5059037090330613e-07,0.0,0.0,0.0
1827,1.4904735020796318e-07,0.0,0.0,0.0
1828,1.5688993723220586e-07,0.0,0.0,0.0
1829,1.86831741189053e-07,0.0,0.0,0.0
1830,1.9248304689816515e-07,0.0,0.0,0.0
1831,1.8426710620847837e-07,0.0,0.0,0.0
