ngram,math,mat,mth,math
1550,7.924694727989845e-06,5.429836099730372e-06,5.40345711540015e-07,7.924694727989845e-06
1551,7.924694727989845e-06,1.0152230385886338e-05,5.40345711540015e-07,7.924694727989845e-06
1552,3.637973090267873e-06,9.986931802684143e-06,5.40345711540015e-07,3.637973090267873e-06
1553,3.637973090267873e-06,9.427519411734206e-06,5.40345711540015e-07,3.637973090267873e-06
1554,3.637973090267873e-06,9.427519411734206e-06,5.40345711540015e-07,3.637973090267873e-06
1555,3.637973090267873e-06,9.130277476288029e-06,5.40345711540015e-07,3.637973090267873e-06
1556,0.0,6.70496199615757e-06,5.40345711540015e-07,0.0
1557,0.0,6.164616284617555e-06,0.0,0.0
1558,0.0,1.4422219984615886e-06,0.0,0.0
1559,0.0,0.0,0.0,0.0
1560,0.0,3.5895219688037675e-06,0.0,0.0
1561,0.0,2.6564295694697648e-05,0.0,0.0
1562,0.0,2.8342010279759832e-05,0.0,0.0
1563,0.0,2.8342010279759832e-05,0.0,0.0
1564,0.0,2.8342010279759832e-05,0.0,0.0
1565,0.0,2.8342010279759832e-05,0.0,0.0
1566,0.0,2.8342010279759832e-05,0.0,0.0
1567,0.0,2.611728294661069e-05,0.0,0.0
1568,0.0,6.0835905709869365e-06,0.0,0.0
1569,0.0,4.3058759859247535e-06,0.0,0.0
1570,0.0,4.3058759859247535e-06,0.0,0.0
1571,0.0,4.3058759859247535e-06,0.0,0.0
1572,0.0,4.3058759859247535e-06,0.0,0.0
1573,0.0,4.3058759859247535e-06,0.0,0.0
1574,0.0,4.575215955680635e-06,0.0,0.0
1575,0.0,4.148693863368992e-06,0.0,0.0
1576,0.0,5.050054759132243e-06,0.0,0.0
1577,2.5514759077590758e-06,5.050054759132243e-06,0.0,2.5514759077590758e-06
1578,2.5514759077590758e-06,6.254620335052355e-06,2.40913111935827e-07,2.5514759077590758e-06
1579,2.5514759077590758e-06,6.901375140192353e-06,2.40913111935827e-07,2.5514759077590758e-06
1580,2.5514759077590758e-06,9.872757735658005e-06,2.40913111935827e-07,2.5514759077590758e-06
1581,2.5514759077590758e-06,8.238623130247496e-06,2.40913111935827e-07,2.5514759077590758e-06
1582,2.5514759077590758e-06,8.237952183013217e-06,2.40913111935827e-07,2.5514759077590758e-06
1583,2.5514759077590758e-06,7.5769025897898246e-06,2.40913111935827e-07,2.5514759077590758e-06
1584,0.0,7.5769025897898246e-06,2.40913111935827e-07,0.0
1585,1.887180880138268e-07,7.882081717980327e-06,0.0,1.887180880138268e-07
1586,1.887180880138268e-07,8.673114604919516e-06,0.0,1.887180880138268e-07
1587,1.887180880138268e-07,5.701732009453865e-06,0.0,1.887180880138268e-07
1588,1.887180880138268e-07,5.701732009453865e-06,0.0,1.887180880138268e-07
1589,1.887180880138268e-07,3.187843698729661e-06,0.0,1.887180880138268e-07
