ngram,breath,breth,brath,breath
1779,2.7364081428718885e-05,9.77035925180709e-08,8.3811474839633e-08,2.7364081428718885e-05
1780,2.726317273170155e-05,1.0450496290559386e-07,7.862109312790316e-08,2.726317273170155e-05
1781,2.7542761537396082e-05,1.1024251327691153e-07,7.862109312790316e-08,2.7542761537396082e-05
1782,2.7898978130126905e-05,1.1236711320147411e-07,7.573240396701359e-08,2.7898978130126905e-05
1783,2.465940399685808e-05,1.0586683326810739e-07,1.170497859906813e-07,2.465940399685808e-05
1784,2.3741150341395822e-05,8.79267406820158e-08,5.741430264549763e-08,2.3741150341395822e-05
1785,2.405264370151729e-05,8.929204347347358e-08,5.463315894920535e-08,2.405264370151729e-05
1786,2.3406751227282386e-05,5.0985268578480307e-08,5.463315894920535e-08,2.3406751227282386e-05
1787,2.4202962906981285e-05,5.705840625377537e-08,5.721144218690759e-08,2.4202962906981285e-05
1788,2.4294585143382263e-05,5.6547064173985614e-08,5.721144218690759e-08,2.4294585143382263e-05
1789,2.328650875175039e-05,5.27367056690764e-08,5.721144218690759e-08,2.328650875175039e-05
1790,2.296002276125364e-05,7.600871754220861e-08,1.699890856648218e-08,2.296002276125364e-05
1791,2.299057086929679e-05,6.985828931200494e-08,1.4542793762879164e-08,2.299057086929679e-05
1792,2.374457238017515e-05,7.756174800834157e-08,1.4542793762879164e-08,2.374457238017515e-05
1793,2.4291294331695618e-05,7.783961767212791e-08,1.4542793762879164e-08,2.4291294331695618e-05
1794,2.4509834734739604e-05,7.135178898514433e-08,1.1964510525176917e-08,2.4509834734739604e-05
1795,2.42616705301251e-05,8.530429442186818e-08,1.4704326772070025e-08,2.42616705301251e-05
1796,2.501546857404589e-05,8.306479364656688e-08,1.4704326772070025e-08,2.501546857404589e-05
1797,2.6142381362400817e-05,6.451436210649522e-08,1.3599478368827737e-08,2.6142381362400817e-05
1798,2.6531058080893543e-05,7.623019041399662e-08,2.7398162468931073e-09,2.6531058080893543e-05
1799,2.5675217070134488e-05,6.182184542069535e-08,3.941355432500262e-09,2.5675217070134488e-05
1800,2.5738053799224353e-05,6.709705705329075e-08,3.941355432500262e-09,2.5738053799224353e-05
1801,2.558913885357989e-05,7.622446470837271e-08,6.727398320955607e-09,2.558913885357989e-05
1802,2.66623841785726e-05,7.22401886881536e-08,5.289962499789778e-09,2.66623841785726e-05
1803,2.6991708052394513e-05,8.36453791310175e-08,5.289962499789778e-09,2.6991708052394513e-05
1804,2.622738663506295e-05,9.867572714483686e-08,6.205195151360548e-09,2.622738663506295e-05
1805,2.706667016484841e-05,1.0478313429627764e-07,6.724550154808233e-09,2.706667016484841e-05
1806,2.728082732314111e-05,1.2763429627479388e-07,9.142712333241678e-09,2.728082732314111e-05
1807,2.8596965681312474e-05,1.6710345919688863e-07,9.979597243819122e-09,2.8596965681312474e-05
1808,2.8442709403212314e-05,1.5935016201800473e-07,7.428917544619448e-09,2.8442709403212314e-05
