ngram,office,ofice,offce,ofice
1566,9.870240410236875e-05,0.0,0.0,0.0
1567,0.00010050686861567166,0.0,0.0,0.0
1568,9.284861088027745e-05,0.0,0.0,0.0
1569,9.825342710558158e-05,0.0,0.0,0.0
1570,8.670119690837705e-05,0.0,0.0,0.0
1571,8.133345844336353e-05,0.0,0.0,0.0
1572,0.00010518162772703883,0.0,0.0,0.0
1573,0.00011334523203134137,0.0,0.0,0.0
1574,0.0001158949157148267,0.0,0.0,0.0
1575,0.0001825307341018093,0.0,0.0,0.0
1576,0.00017382056051116836,0.0,0.0,0.0
1577,0.00017959279284696095,0.0,0.0,0.0
1578,0.00017609184760658536,0.0,0.0,0.0
1579,0.00015093022869093277,0.0,0.0,0.0
1580,0.00015968170893237193,0.0,0.0,0.0
1581,0.00014778508843197154,0.0,0.0,0.0
1582,9.707056207324578e-05,0.0,0.0,0.0
1583,8.793486241691946e-05,0.0,0.0,0.0
1584,7.726742452567643e-05,0.0,0.0,0.0
1585,8.964256994659081e-05,0.0,0.0,0.0
1586,7.979946635064803e-05,0.0,0.0,0.0
1587,7.170917732375009e-05,0.0,0.0,0.0
1588,7.069123967085034e-05,0.0,0.0,0.0
1589,9.136833458407117e-05,0.0,0.0,0.0
1590,9.625552567220958e-05,0.0,0.0,0.0
1591,0.00010851957683501366,0.0,0.0,0.0
1592,9.587165238502036e-05,0.0,0.0,0.0
1593,9.753769700182602e-05,0.0,0.0,0.0
1594,0.00011463607474330015,0.0,0.0,0.0
1595,0.00012101413189416885,0.0,0.0,0.0
1596,9.535749216281277e-05,0.0,0.0,0.0
1597,9.45324266337723e-05,0.0,0.0,0.0
1598,0.00011758427561809575,0.0,0.0,0.0
1599,0.00014666383192109476,0.0,0.0,0.0
1600,0.00016073421699859734,0.0,0.0,0.0
1601,0.0001403296799773151,1.953238617196413e-07,0.0,1.953238617196413e-07
1602,0.0001443782826494758,1.953238617196413e-07,0.0,1.953238617196413e-07
1603,0.00013961818694951944,1.953238617196413e-07,0.0,1.953238617196413e-07
1604,0.0001477780621956169,1.953238617196413e-07,0.0,1.953238617196413e-07
1605,0.0001149388424112528,1.953238617196413e-07,0.0,1.953238617196413e-07
1606,9.468987212000814e-05,1.953238617196413e-07,0.0,1.953238617196413e-07
1607,8.213265339561206e-05,1.953238617196413e-07,0.0,1.953238617196413e-07
1608,8.229809515926587e-05,0.0,0.0,0.0
1609,7.536477174393699e-05,1.886739775207908e-07,0.0,1.886739775207908e-07
1610,8.562394577893429e-05,1.886739775207908e-07,0.0,1.886739775207908e-07
1611,8.857731102450219e-05,1.886739775207908e-07,1.0241227853059951e-07,1.886739775207908e-07
1612,9.020576804427296e-05,1.886739775207908e-07,1.0241227853059951e-07,1.886739775207908e-07
1613,9.409402004426479e-05,1.886739775207908e-07,1.0241227853059951e-07,1.886739775207908e-07
1614,9.049708855205349e-05,5.182837250166423e-07,1.0241227853059951e-07,5.182837250166423e-07
1615,0.00010690876401245728,5.182837250166423e-07,1.0241227853059951e-07,5.182837250166423e-07
1616,0.00011762499187690472,3.296097474958515e-07,1.0241227853059951e-07,3.296097474958515e-07
1617,0.00012181556823114599,3.296097474958515e-07,1.0241227853059951e-07,3.296097474958515e-07
1618,0.00012266340023156123,3.296097474958515e-07,0.0,3.296097474958515e-07
1619,0.0001185675781536182,3.296097474958515e-07,0.0,3.296097474958515e-07
1620,0.00011465779555562352,3.296097474958515e-07,0.0,3.296097474958515e-07
1621,0.00013377285306757716,0.0,0.0,0.0
1622,0.00012616460870568908,0.0,0.0,0.0
1623,0.00012681312104437633,0.0,0.0,0.0
1624,0.00011379766095030521,0.0,0.0,0.0
1625,9.802006076954837e-05,0.0,0.0,0.0
1626,0.00013306826596297988,0.0,0.0,0.0
1627,0.00012882571796321178,0.0,0.0,0.0
1628,0.00011950868169411219,0.0,0.0,0.0
1629,0.00012259442779135758,0.0,0.0,0.0
1630,0.00010811371092651305,0.0,0.0,0.0
1631,0.0001224329228404843,0.0,0.0,0.0
1632,0.00012429094255951765,9.162613423541188e-08,0.0,9.162613423541188e-08
1633,0.00010260444988879109,9.162613423541188e-08,0.0,9.162613423541188e-08
1634,0.00010568716451026765,9.162613423541188e-08,0.0,9.162613423541188e-08
1635,9.835410206246056e-05,9.162613423541188e-08,0.0,9.162613423541188e-08
1636,9.44223252840207e-05,2.653149522302556e-07,0.0,2.653149522302556e-07
1637,9.883604694290884e-05,3.3847507958333675e-07,0.0,3.3847507958333675e-07
1638,9.50813534603055e-05,4.0581011668499354e-07,0.0,4.0581011668499354e-07
1639,9.794711825504367e-05,3.920542123328882e-07,0.0,3.920542123328882e-07
1640,8.31404488833089e-05,4.948622672275503e-07,0.0,4.948622672275503e-07
1641,9.776905998088685e-05,4.948622672275503e-07,5.972208733900125e-08,4.948622672275503e-07
1642,0.00011227953239410584,4.948622672275503e-07,5.972208733900125e-08,4.948622672275503e-07
1643,0.00010414082394813054,5.018183425623388e-07,5.972208733900125e-08,5.018183425623388e-07
1644,0.00011401180693480586,4.286582152092576e-07,5.972208733900125e-08,4.286582152092576e-07
1645,0.0001151833774721516,3.613231781076008e-07,5.972208733900125e-08,3.613231781076008e-07
1646,0.00012570117126285498,3.8419135859969954e-07,5.972208733900125e-08,3.8419135859969954e-07
1647,0.0001277473363318547,2.813833037050374e-07,5.972208733900125e-08,2.813833037050374e-07
