ngram,freedom,fedom,fredom,freddom
1543,8.353342699202975e-06,0.0,0.0,0.0
1544,1.3778434939532807e-05,0.0,0.0,0.0
1545,1.3778434939532807e-05,0.0,0.0,0.0
1546,1.4067148575642413e-05,0.0,0.0,0.0
1547,1.4067148575642413e-05,0.0,0.0,0.0
1548,1.5850600123355563e-05,0.0,2.972419354461765e-07,0.0
1549,8.327368569942856e-06,0.0,2.972419354461765e-07,0.0
1550,1.589220872639479e-05,0.0,2.972419354461765e-07,0.0
1551,1.0467116486064956e-05,0.0,2.972419354461765e-07,0.0
1552,1.2630449418793432e-05,0.0,2.972419354461765e-07,0.0
1553,1.151162463689356e-05,0.0,2.972419354461765e-07,0.0
1554,1.151162463689356e-05,0.0,9.553844100602354e-06,0.0
1555,9.728173089180408e-06,0.0,9.256602165156177e-06,0.0
1556,1.2850802054994606e-05,0.0,9.256602165156177e-06,0.0
1557,5.285961898542675e-06,0.0,9.256602165156177e-06,0.0
1558,6.65005921161667e-06,0.0,9.256602165156177e-06,0.0
1559,4.486726278888195e-06,0.0,9.256602165156177e-06,0.0
1560,1.0319699348266503e-05,0.0,9.256602165156177e-06,0.0
1561,1.0319699348266503e-05,0.0,0.0,0.0
1562,1.0319699348266503e-05,0.0,0.0,0.0
1563,7.197070382452304e-06,0.0,0.0,0.0
1564,7.197070382452304e-06,0.0,0.0,0.0
1565,7.85657435439394e-06,0.0,1.011800642507816e-06,0.0
1566,7.85657435439394e-06,0.0,1.011800642507816e-06,0.0
1567,2.7059986028429454e-06,0.0,1.011800642507816e-06,0.0
1568,2.7059986028429454e-06,0.0,1.011800642507816e-06,0.0
1569,1.5331988639185772e-05,0.0,1.011800642507816e-06,0.0
1570,1.5331988639185772e-05,0.0,1.011800642507816e-06,0.0
1571,2.2687543670534588e-05,0.0,1.011800642507816e-06,0.0
1572,2.222382480405421e-05,0.0,0.0,0.0
1573,2.222382480405421e-05,0.0,0.0,0.0
1574,2.1541427486226894e-05,0.0,0.0,0.0
1575,2.1541427486226894e-05,0.0,0.0,0.0
1576,1.4774283304827155e-05,0.0,0.0,0.0
1577,1.4774283304827155e-05,0.0,0.0,0.0
1578,1.729616607397994e-05,0.0,0.0,0.0
1579,2.479085118726029e-05,0.0,0.0,0.0
1580,2.479085118726029e-05,0.0,0.0,0.0
1581,2.5384158561791992e-05,0.0,0.0,0.0
1582,2.5384158561791992e-05,0.0,0.0,0.0
1583,2.361060491499042e-05,0.0,2.403113025398592e-07,0.0
1584,3.529905559064771e-05,0.0,2.403113025398592e-07,0.0
1585,2.6742644422483863e-05,0.0,2.403113025398592e-07,0.0
1586,1.840697073670786e-05,0.0,2.403113025398592e-07,0.0
