ngram,court,crt,cout,curt
1656,4.9546737240494364e-05,1.3347882291522444e-07,2.842303875435651e-07,6.8521914694689e-07
1657,5.0022440908443446e-05,1.6128325544936421e-07,2.842303875435651e-07,4.495027517188126e-07
1658,5.575285909539421e-05,1.6128325544936421e-07,3.378460218885136e-07,5.673495694834076e-07
1659,6.382816588614202e-05,1.6128325544936421e-07,3.378460218885136e-07,6.403469135258482e-07
1660,4.1543746972040806e-05,8.590747719543807e-08,1.9189347913847348e-07,6.403469135258482e-07
1661,3.3095625180327e-05,8.590747719543807e-08,1.9189347913847348e-07,6.403469135258482e-07
1662,3.1580609694563986e-05,2.7804432534139778e-08,1.3379043447717516e-07,4.07934734880655e-07
1663,4.8335076046766646e-05,2.7804432534139778e-08,1.3379043447717516e-07,3.8301505104040447e-07
1664,6.319959291951298e-05,0.0,1.3379043447717516e-07,4.338165808803751e-07
1665,5.678510933648795e-05,4.4091616960681024e-08,8.017480013222666e-08,2.729696819057738e-07
1666,5.0901496121826183e-05,4.4091616960681024e-08,8.017480013222666e-08,2.2419773618561782e-07
1667,6.218159459032384e-05,4.4091616960681024e-08,3.245231588217783e-08,2.5665005206779566e-07
1668,6.498199750889658e-05,8.784483286815106e-08,3.245231588217783e-08,3.0040326797526564e-07
1669,6.661976229744531e-05,1.1779892515408261e-07,1.2231459070985044e-07,3.3035736026119723e-07
1670,4.9972144682085074e-05,1.1779892515408261e-07,1.2231459070985044e-07,3.419607180278815e-07
1671,3.247691932171749e-05,1.1779892515408261e-07,1.2231459070985044e-07,3.415751409972602e-07
1672,3.2647430348983365e-05,9.830790962236538e-08,1.2231459070985044e-07,3.907763438551878e-07
1673,3.0251610691526105e-05,9.830790962236538e-08,1.2231459070985044e-07,3.1087954864363253e-07
1674,1.795687603589613e-05,9.830790962236538e-08,8.98622748276726e-08,3.760188077097025e-07
1675,1.550598426547367e-05,5.4554693714895363e-08,8.98622748276726e-08,4.009025908706982e-07
1676,1.473910924687516e-05,2.4600601428963794e-08,0.0,3.7094849858476664e-07
1677,1.4274317696357944e-05,5.818679937874549e-08,0.0,3.608225581176937e-07
1678,1.7063353620220107e-05,5.818679937874549e-08,0.0,2.826021727742045e-07
1679,1.838845322968804e-05,3.35861979497817e-08,0.0,3.2568804694424867e-07
1680,1.8301264390174765e-05,6.979005563932463e-08,0.0,3.4378997578902014e-07
1681,1.9056910527329558e-05,6.979005563932463e-08,2.237584746061267e-08,2.4619840084077236e-07
1682,2.059632099969479e-05,8.995108860939841e-08,2.237584746061267e-08,2.3804450068252792e-07
1683,1.9363759098009075e-05,8.995108860939841e-08,2.237584746061267e-08,2.82178957279809e-07
1684,1.9250651348556858e-05,5.636489065961671e-08,2.237584746061267e-08,2.4422814094902735e-07
1685,1.771040647976666e-05,5.636489065961671e-08,4.258167913511508e-08,2.4422814094902735e-07
1686,1.7689619588574195e-05,8.399409726475174e-08,7.021088574025011e-08,1.5194106392105562e-07
