ngram,warning,warng,warng,warng
1679,1.6254161632137505e-05,0.0,0.0,0.0
1680,1.520382167135332e-05,0.0,0.0,0.0
1681,1.5048257409944199e-05,0.0,0.0,0.0
1682,1.407139214799307e-05,0.0,0.0,0.0
1683,1.2720862806807937e-05,0.0,0.0,0.0
1684,1.2244374764642479e-05,0.0,0.0,0.0
1685,1.1564747702712858e-05,0.0,0.0,0.0
1686,1.2103379049221985e-05,0.0,0.0,0.0
1687,1.2409379451128189e-05,0.0,0.0,0.0
1688,1.2141817413586458e-05,0.0,0.0,0.0
1689,1.1760983592726656e-05,0.0,0.0,0.0
1690,1.2934553199426904e-05,0.0,0.0,0.0
1691,1.373592730098088e-05,0.0,0.0,0.0
1692,1.3805113992150706e-05,0.0,0.0,0.0
1693,1.2495514121318202e-05,0.0,0.0,0.0
1694,1.1489986783479772e-05,0.0,0.0,0.0
1695,1.1146203892816889e-05,0.0,0.0,0.0
1696,1.1458585894225897e-05,0.0,0.0,0.0
1697,1.143746690753947e-05,0.0,0.0,0.0
1698,9.780403940697266e-06,0.0,0.0,0.0
1699,9.968589048574878e-06,0.0,0.0,0.0
1700,1.0421052008626117e-05,0.0,0.0,0.0
1701,1.0671121864496464e-05,0.0,0.0,0.0
1702,1.0453576968367478e-05,0.0,0.0,0.0
1703,1.077605780405325e-05,0.0,0.0,0.0
1704,9.918918294715695e-06,0.0,0.0,0.0
1705,1.000511078278318e-05,0.0,0.0,0.0
1706,1.0065736790108661e-05,0.0,0.0,0.0
1707,8.927737001483496e-06,0.0,0.0,0.0
1708,8.230058938352158e-06,0.0,0.0,0.0
1709,8.2940500760742e-06,0.0,0.0,0.0
1710,7.389155793394561e-06,0.0,0.0,0.0
1711,7.5002352397340085e-06,0.0,0.0,0.0
1712,7.395616453972512e-06,0.0,0.0,0.0
1713,6.537415824173617e-06,0.0,0.0,0.0
1714,6.9884830996410785e-06,0.0,0.0,0.0
1715,6.907477329929991e-06,0.0,0.0,0.0
1716,6.690390884094606e-06,0.0,0.0,0.0
1717,7.402011955751472e-06,0.0,0.0,0.0
1718,7.2354868539800265e-06,0.0,0.0,0.0
1719,6.881035460537532e-06,0.0,0.0,0.0
1720,6.84108369698931e-06,0.0,0.0,0.0
1721,6.4328706425190574e-06,0.0,0.0,0.0
1722,6.329503646286737e-06,0.0,0.0,0.0
1723,6.363643154015465e-06,0.0,0.0,0.0
1724,5.469513455734289e-06,0.0,0.0,0.0
1725,4.817547830628298e-06,0.0,0.0,0.0
1726,4.863067130957331e-06,0.0,0.0,0.0
1727,4.901780227685647e-06,0.0,0.0,0.0
1728,4.78580152827947e-06,0.0,0.0,0.0
1729,5.065093773737317e-06,0.0,0.0,0.0
1730,4.79071338434421e-06,0.0,0.0,0.0
1731,5.145618875498517e-06,0.0,0.0,0.0
1732,5.3822430865173895e-06,0.0,0.0,0.0
1733,5.553253621266256e-06,0.0,0.0,0.0
1734,5.992558596647411e-06,0.0,0.0,0.0
1735,6.016910187359567e-06,0.0,0.0,0.0
1736,5.795263405161677e-06,0.0,0.0,0.0
1737,6.22348066566961e-06,0.0,0.0,0.0
1738,6.497070184455619e-06,0.0,0.0,0.0
1739,6.581431534868898e-06,0.0,0.0,0.0
1740,6.306567294294447e-06,0.0,0.0,0.0
1741,5.948523591671671e-06,0.0,0.0,0.0
1742,6.1287400967557915e-06,0.0,0.0,0.0
1743,6.119470007044063e-06,0.0,0.0,0.0
1744,5.962154448622771e-06,0.0,0.0,0.0
1745,5.848890006226222e-06,0.0,0.0,0.0
