ngram,love,lve,loe,lvoe
1729,0.00015804245984846993,6.336077668882873e-08,3.9570345019715856e-07,0.0
1730,0.00016765237835768078,4.483524865658442e-08,3.5634235067456235e-07,0.0
1731,0.00016755606650674184,5.289780803861634e-08,3.2917939003190053e-07,0.0
1732,0.0001725148893975919,7.167338011981883e-08,3.2589610197776763e-07,0.0
1733,0.00016589952636942535,5.251088706716343e-08,2.562708993585667e-07,0.0
1734,0.00016407026747141832,5.599163444003352e-08,2.2037633483153384e-07,0.0
1735,0.00017028666791572635,4.9499440482999746e-08,2.073540455528798e-07,0.0
1736,0.00016331858205376193,6.603641519323641e-08,1.2365869648890892e-07,0.0
1737,0.0001424414856176424,7.295804341619519e-08,8.966413541803117e-08,0.0
1738,0.00014640329650969112,6.45163805553953e-08,8.671428882881368e-08,0.0
1739,0.00013299708890761913,5.8664474421123355e-08,1.2932612948800072e-07,0.0
1740,0.0001345451465957532,8.86135888476604e-08,1.2978863850321432e-07,0.0
1741,0.00015347027822697003,8.423147639697553e-08,1.8998176695309406e-07,0.0
1742,0.00016719035400975763,8.414192263574347e-08,1.7677925358481973e-07,0.0
1743,0.00016646564368524456,6.760494792550681e-08,2.001611082594731e-07,0.0
1744,0.0001908501549873368,6.96114404214703e-08,2.021676007554366e-07,0.0
1745,0.00020427317005149753,7.674277619733922e-08,2.038071202597231e-07,0.0
1746,0.00021984565267173042,9.36869731000505e-08,1.5237566180254752e-07,0.0
1747,0.00023160287258048941,6.373785867351347e-08,1.7816159722120313e-07,0.0
1748,0.00022266968673128367,6.507597153212633e-08,2.0016030077840696e-07,0.0
1749,0.00021870777189698338,5.8698599251069284e-08,2.0084930594878513e-07,0.0
1750,0.000242971141623067,5.8698599251069284e-08,1.7525385764827206e-07,0.0
1751,0.0002353920925608171,5.6908755803013785e-08,1.7346401420021656e-07,0.0
1752,0.00023901626783689217,5.208278405380692e-08,1.7253663310766244e-07,0.0
1753,0.00024032897740003785,3.227362605733626e-08,1.8772743994231534e-07,1.0058704853171158e-08
1754,0.00023402492765204182,3.6457694767883756e-08,1.5445422591702546e-07,1.0058704853171158e-08
