ngram,presence,presnce,presence,presece
1785,5.654311098624021e-05,0.0,5.654311098624021e-05,0.0
1786,5.6858185416786e-05,0.0,5.6858185416786e-05,0.0
1787,5.7078441646548784e-05,0.0,5.7078441646548784e-05,0.0
1788,5.849490688498398e-05,0.0,5.849490688498398e-05,0.0
1789,5.9459561660852546e-05,0.0,5.9459561660852546e-05,0.0
1790,5.978569450754938e-05,0.0,5.978569450754938e-05,0.0
1791,5.941572245709332e-05,0.0,5.941572245709332e-05,0.0
1792,5.7681592027490425e-05,0.0,5.7681592027490425e-05,0.0
1793,5.759334921354561e-05,0.0,5.759334921354561e-05,0.0
1794,5.742282311465325e-05,0.0,5.742282311465325e-05,0.0
1795,5.670073369401507e-05,0.0,5.670073369401507e-05,0.0
1796,5.772216380656963e-05,0.0,5.772216380656963e-05,0.0
1797,6.051830392347516e-05,0.0,6.051830392347516e-05,0.0
1798,6.138897931253138e-05,0.0,6.138897931253138e-05,0.0
1799,6.359745748341084e-05,0.0,6.359745748341084e-05,6.00769592803577e-10
1800,6.354880315484479e-05,0.0,6.354880315484479e-05,6.00769592803577e-10
1801,6.654898295112486e-05,4.643404708356716e-10,6.654898295112486e-05,1.5294505344749204e-09
1802,6.980006998803998e-05,4.643404708356716e-10,6.980006998803998e-05,1.5294505344749204e-09
1803,7.069949892216496e-05,1.1663403893485175e-09,7.069949892216496e-05,1.5294505344749204e-09
1804,7.03186503544982e-05,1.1663403893485175e-09,7.03186503544982e-05,1.5294505344749204e-09
1805,7.266986254502886e-05,1.4260178910723604e-09,7.266986254502886e-05,1.7891280361987632e-09
1806,7.271420015188466e-05,1.4260178910723604e-09,7.271420015188466e-05,1.44690854535818e-09
1807,7.467565280551623e-05,1.4260178910723604e-09,7.467565280551623e-05,1.44690854535818e-09
1808,7.475853843581197e-05,9.616774202366889e-10,7.475853843581197e-05,5.182276036868367e-10
1809,7.309341890504584e-05,9.616774202366889e-10,7.309341890504584e-05,1.422851661888761e-09
1810,7.188925623527862e-05,4.776151537758519e-10,7.188925623527862e-05,1.422851661888761e-09
1811,7.0896274077573e-05,7.119990946031456e-10,7.0896274077573e-05,1.6572356027160546e-09
1812,7.041018605897469e-05,4.5232159287930275e-10,7.041018605897469e-05,1.3975581009922117e-09
1813,7.16596342889326e-05,4.5232159287930275e-10,7.16596342889326e-05,1.3329874029973813e-09
1814,7.204441395255603e-05,4.5232159287930275e-10,7.204441395255603e-05,1.750903676013747e-09
1815,7.158203620097734e-05,4.5232159287930275e-10,7.158203620097734e-05,1.750903676013747e-09
1816,7.236287430194872e-05,4.5232159287930275e-10,7.236287430194872e-05,1.0364523366541383e-09
1817,7.528904617564487e-05,4.05731511879789e-10,7.528904617564487e-05,1.2077999077066336e-09
1818,7.907410638706227e-05,1.7134757105249524e-10,7.907410638706227e-05,9.734159668793397e-10
1819,8.105564692024407e-05,1.7134757105249524e-10,8.105564692024407e-05,9.734159668793397e-10
1820,8.13061508649428e-05,1.7134757105249524e-10,8.13061508649428e-05,7.794365629111764e-10
1821,8.27329495223239e-05,1.7134757105249524e-10,8.27329495223239e-05,3.6152028989481066e-10
1822,8.450335215976728e-05,1.7134757105249524e-10,8.450335215976728e-05,3.6152028989481066e-10
1823,8.656315809015982e-05,1.7134757105249524e-10,8.656315809015982e-05,1.7134757105249524e-10
1824,8.720032409265903e-05,1.3412001667997434e-10,8.720032409265903e-05,0.0
1825,8.635616749026147e-05,2.6073682102278894e-10,8.635616749026147e-05,0.0
1826,8.543042245686852e-05,2.6073682102278894e-10,8.543042245686852e-05,0.0
1827,8.650669561965125e-05,2.6073682102278894e-10,8.650669561965125e-05,0.0
1828,8.695006025456158e-05,2.6073682102278894e-10,8.695006025456158e-05,0.0
1829,8.611114545991378e-05,4.715596564024744e-10,8.611114545991378e-05,0.0
1830,8.650869650799515e-05,5.668641984384643e-10,8.650869650799515e-05,0.0
1831,8.526197572272005e-05,4.3274418175849e-10,8.526197572272005e-05,1.8578932043616144e-10
1832,8.525242654806269e-05,4.764262952404254e-10,8.525242654806269e-05,1.8578932043616144e-10
1833,8.580960379081912e-05,4.764262952404254e-10,8.580960379081912e-05,1.8578932043616144e-10
1834,8.524513811737831e-05,4.764262952404254e-10,8.524513811737831e-05,6.010902886544045e-10
1835,8.513657979035218e-05,8.11559898648641e-10,8.513657979035218e-05,6.010902886544045e-10
1836,8.663615049694531e-05,6.007370632689555e-10,8.663615049694531e-05,6.761514681485892e-10
1837,8.708283712621778e-05,5.054325212329656e-10,8.708283712621778e-05,6.761514681485892e-10
1838,8.78828317841648e-05,5.817582685426917e-10,8.78828317841648e-05,4.903621477124278e-10
1839,8.883351880025916e-05,4.1145935071794174e-10,8.883351880025916e-05,4.903621477124278e-10
1840,9.013737248356588e-05,4.1145935071794174e-10,9.013737248356588e-05,4.903621477124278e-10
1841,9.192077309957572e-05,6.213921837401009e-10,9.192077309957572e-05,1.4503879050157106e-10
1842,9.279152644532067e-05,3.4707402031740134e-10,9.279152644532067e-05,3.2748510252795475e-10
1843,9.299581246783159e-05,4.1264855025044e-10,9.299581246783159e-05,2.524239230337701e-10
1844,9.312054524863405e-05,4.1264855025044e-10,9.312054524863405e-05,3.192067800559885e-10
1845,9.3871215150492e-05,3.3632280294071393e-10,9.3871215150492e-05,3.192067800559885e-10
1846,9.400978784209915e-05,6.624253130154451e-10,9.400978784209915e-05,3.192067800559885e-10
1847,9.368610647340705e-05,7.836362431972483e-10,9.368610647340705e-05,3.192067800559885e-10
1848,9.244188861755122e-05,6.830787602218891e-10,9.244188861755122e-05,4.1329218618863754e-10
1849,9.220586798619479e-05,7.297423934967842e-10,9.220586798619479e-05,2.3084587416225385e-10
1850,9.170336332837386e-05,7.116377725197814e-10,9.170336332837386e-05,2.3084587416225385e-10
1851,9.152164940522718e-05,8.044949627107809e-10,9.152164940522718e-05,2.5692020733103504e-10
1852,9.139315183607064e-05,9.056181043171868e-10,9.139315183607064e-05,2.5692020733103504e-10
1853,9.155171366208898e-05,7.242936250762e-10,9.155171366208898e-05,2.5692020733103504e-10
1854,9.16404533199966e-05,6.53584555524286e-10,9.16404533199966e-05,2.5692020733103504e-10
1855,9.205111772254375e-05,5.967109544575371e-10,9.205111772254375e-05,9.285719019099962e-11
1856,9.200326167047024e-05,6.880270995792057e-10,9.200326167047024e-05,9.285719019099962e-11
1857,9.271785425620951e-05,6.886914173863192e-10,9.271785425620951e-05,9.285719019099962e-11
1858,9.32124738548217e-05,7.110412536537325e-10,9.32124738548217e-05,0.0
1859,9.30538070471292e-05,6.708475005659917e-10,9.30538070471292e-05,0.0
1860,9.3019192198491e-05,6.480598874996397e-10,9.3019192198491e-05,2.43980835534785e-10
1861,9.32990203312199e-05,7.105313876947556e-10,9.32990203312199e-05,2.43980835534785e-10
1862,9.347849118057638e-05,7.137479099813707e-10,9.347849118057638e-05,2.43980835534785e-10
1863,9.320177300001628e-05,1.0400693718968869e-09,9.320177300001628e-05,2.43980835534785e-10
1864,9.270506935925888e-05,1.3686961167610638e-09,9.270506935925888e-05,2.43980835534785e-10
1865,9.203160360422251e-05,1.3861687432812987e-09,9.203160360422251e-05,2.43980835534785e-10
1866,9.179333885965337e-05,1.634916686159877e-09,9.179333885965337e-05,2.43980835534785e-10
1867,9.13147856148758e-05,1.5993511832362068e-09,9.13147856148758e-05,8.642491484372222e-11
1868,9.062305720622785e-05,1.5760012184173888e-09,9.062305720622785e-05,8.642491484372222e-11
1869,9.031142066565476e-05,1.6786264917761124e-09,9.031142066565476e-05,2.4476845946911196e-10
1870,9.020329473839541e-05,1.3224556529221688e-09,9.020329473839541e-05,3.7147784055185136e-10
1871,8.980202359712816e-05,1.107998930700254e-09,8.980202359712816e-05,3.7147784055185136e-10
1872,9.017310679025416e-05,1.180077837035855e-09,9.017310679025416e-05,3.7147784055185136e-10
