ngram,republic,repubic
1586,2.403113025398592e-07,0.0
1587,2.403113025398592e-07,0.0
1588,2.403113025398592e-07,0.0
1589,4.270377758075483e-07,0.0
1590,1.867264732676891e-07,0.0
1591,1.867264732676891e-07,0.0
1592,7.83698266916742e-07,0.0
1593,7.83698266916742e-07,0.0
1594,7.83698266916742e-07,0.0
1595,7.83698266916742e-07,0.0
1596,5.969717936490529e-07,0.0
1597,5.969717936490529e-07,0.0
1598,5.969717936490529e-07,0.0
1599,0.0,0.0
1600,2.5880978293051677e-05,0.0
1601,2.5880978293051677e-05,0.0
1602,2.5985379011217447e-05,0.0
1603,2.5985379011217447e-05,0.0
1604,2.632591965071437e-05,0.0
1605,2.7225414783060842e-05,0.0
1606,2.7545735211528415e-05,0.0
1607,1.6647569184767365e-06,0.0
1608,1.6647569184767365e-06,0.0
1609,1.560356200310967e-06,0.0
1610,1.8152527283226455e-06,0.0
1611,1.4747120888257217e-06,0.0
1612,8.442176847113712e-07,0.0
1613,6.837077372828e-07,0.0
1614,6.837077372828e-07,0.0
1615,6.837077372828e-07,0.0
1616,2.1254058667961673e-06,0.0
1617,1.870509338784489e-06,0.0
1618,3.0527356930828577e-05,0.0
1619,3.025835620259646e-05,0.0
1620,3.0400762463094516e-05,0.0
1621,3.057918045864686e-05,0.0
1622,3.057918045864686e-05,0.0
1623,2.913748232913349e-05,0.0
1624,2.913748232913349e-05,0.0
1625,4.806347370894011e-07,0.0
1626,7.102565535076013e-07,0.0
1627,4.080398119705413e-07,0.0
1628,2.296218164182002e-07,0.0
1629,1.186625935848237e-05,0.0
1630,1.186625935848237e-05,0.0
1631,1.186625935848237e-05,0.0
1632,1.4156912714367667e-05,0.0
1633,1.4201476493066626e-05,0.0
1634,1.4201476493066626e-05,0.0
1635,1.4201476493066626e-05,0.0
1636,2.564838951002457e-06,0.0
1637,2.564838951002457e-06,0.0
1638,2.766844058247183e-06,0.0
1639,5.540609322451928e-07,0.0
1640,2.798753371280327e-07,0.0
1641,5.187636864840377e-07,0.0
1642,5.187636864840377e-07,0.0
1643,6.090861331488538e-07,0.0
1644,6.090861331488538e-07,0.0
1645,1.192950321637909e-06,0.0
1646,1.1150800917546024e-06,0.0
1647,1.5312623012115573e-06,0.0
1648,1.3382231876286305e-06,0.0
1649,1.4946787376045125e-06,0.0
1650,1.4043562909396963e-06,0.0
1651,1.4043562909396963e-06,0.0
1652,6.184869952059151e-07,0.0
1653,6.184869952059151e-07,0.0
1654,2.7742622543363334e-06,0.0
1655,2.844619107885852e-06,0.0
1656,2.7334708891300707e-06,0.0
1657,2.7612753216642105e-06,0.0
1658,2.7612753216642105e-06,0.0
1659,3.050779990790683e-06,0.0
1660,3.3714791913195896e-06,0.0
1661,7.995217227322168e-07,0.0
1662,7.645153528658608e-07,0.0
1663,8.505979788456639e-07,0.0
1664,1.2158233663025645e-06,0.0
1665,1.2158233663025645e-06,0.0
1666,9.662670947818697e-07,0.0
1667,6.45567894252963e-07,0.0
1668,6.45567894252963e-07,0.0
1669,5.94322267082654e-07,0.0
1670,4.6293230988274967e-07,0.0
1671,6.99024898917092e-08,0.0
1672,6.99024898917092e-08,0.0
1673,2.995409228593157e-08,0.0
1674,2.995409228593157e-08,0.0
1675,2.995409228593157e-08,0.0
1676,0.0,0.0
1677,0.0,0.0
1678,0.0,0.0
1679,0.0,0.0
