ngram,awareness,awarness
1570,0.0,0.0
1571,0.0,0.0
1572,0.0,0.0
1573,0.0,0.0
1574,0.0,0.0
1575,0.0,0.0
1576,4.5068044788162555e-07,0.0
1577,4.5068044788162555e-07,0.0
1578,1.4143328956249337e-06,0.0
1579,1.4143328956249337e-06,0.0
1580,1.4143328956249337e-06,0.0
1581,1.4143328956249337e-06,0.0
1582,1.4143328956249337e-06,0.0
1583,9.63652447743308e-07,0.0
1584,9.63652447743308e-07,0.0
1585,0.0,0.0
1586,7.188938460395937e-07,0.0
1587,7.188938460395937e-07,0.0
1588,7.188938460395937e-07,0.0
1589,7.188938460395937e-07,0.0
1590,7.188938460395937e-07,0.0
1591,7.188938460395937e-07,0.0
1592,7.188938460395937e-07,0.0
1593,0.0,0.0
1594,0.0,0.0
1595,0.0,0.0
1596,2.1041822557370843e-07,0.0
1597,2.1041822557370843e-07,0.0
1598,3.8735389093095106e-07,0.0
1599,5.052650392047196e-07,0.0
1600,6.117711239182557e-07,0.0
1601,6.117711239182557e-07,0.0
1602,6.117711239182557e-07,0.0
1603,4.0135289834454723e-07,0.0
1604,4.0135289834454723e-07,0.0
1605,2.244172329873046e-07,0.0
1606,9.873872386378935e-07,0.0
1607,8.808811539243575e-07,0.0
1608,8.808811539243575e-07,0.0
1609,8.808811539243575e-07,0.0
1610,8.808811539243575e-07,0.0
1611,8.808811539243575e-07,0.0
1612,8.808811539243575e-07,0.0
1613,0.0,0.0
1614,0.0,0.0
1615,0.0,0.0
1616,0.0,0.0
1617,0.0,0.0
1618,0.0,0.0
1619,0.0,0.0
1620,0.0,0.0
1621,0.0,0.0
1622,7.034840824157332e-08,0.0
1623,7.034840824157332e-08,0.0
1624,2.1968060082144802e-07,0.0
1625,2.1968060082144802e-07,0.0
1626,2.1968060082144802e-07,0.0
1627,2.1968060082144802e-07,0.0
1628,2.1968060082144802e-07,0.0
1629,1.493321925798747e-07,0.0
1630,1.493321925798747e-07,0.0
1631,0.0,0.0
1632,9.162613423541188e-08,0.0
1633,9.162613423541188e-08,0.0
1634,3.3846246034434966e-07,0.0
1635,3.3846246034434966e-07,0.0
1636,3.3846246034434966e-07,0.0
1637,4.847827150505119e-07,0.0
1638,4.847827150505119e-07,0.0
1639,3.9315658081510006e-07,0.0
1640,3.9315658081510006e-07,0.0
1641,1.4632025470616229e-07,0.0
1642,1.4632025470616229e-07,0.0
1643,1.4632025470616229e-07,0.0
1644,0.0,0.0
1645,0.0,0.0
1646,0.0,0.0
1647,0.0,0.0
1648,0.0,0.0
1649,7.822777498794104e-08,0.0
1650,7.822777498794104e-08,0.0
1651,1.212278561979474e-07,0.0
1652,1.212278561979474e-07,0.0
1653,1.9660363445187352e-07,0.0
1654,2.380868206078698e-07,0.0
1655,2.380868206078698e-07,0.0
1656,1.5985904561992876e-07,0.0
1657,1.5985904561992876e-07,0.0
1658,1.168589644099224e-07,0.0
1659,1.168589644099224e-07,0.0
