ngram,teacher,techer,techer,teachr
1540,3.0600958130630066e-06,0.0,0.0,0.0
1541,3.0600958130630066e-06,0.0,0.0,0.0
1542,4.330903694998207e-05,0.0,0.0,0.0
1543,4.0625450700255374e-05,0.0,0.0,0.0
1544,4.1042765457989715e-05,0.0,0.0,0.0
1545,4.157860566270496e-05,0.0,0.0,0.0
1546,4.2697430444604834e-05,0.0,0.0,0.0
1547,4.925171284802283e-05,0.0,0.0,0.0
1548,5.103516439573598e-05,0.0,0.0,0.0
1549,1.2835029175611063e-05,0.0,0.0,0.0
1550,2.094021468630152e-05,0.0,0.0,0.0
1551,2.2884097071645166e-05,0.0,0.0,0.0
1552,2.234825686692992e-05,0.0,0.0,0.0
1553,2.1229432085030047e-05,0.0,0.0,0.0
1554,1.4675149681612051e-05,0.0,0.0,0.0
1555,1.2891698133898899e-05,0.0,0.0,0.0
1556,1.0466382653768441e-05,0.0,0.0,0.0
1557,2.361197143077983e-06,0.0,0.0,0.0
1558,4.228701748486076e-05,0.0,0.0,0.0
1559,4.228701748486076e-05,0.0,0.0,0.0
1560,5.3055583391272065e-05,0.0,0.0,0.0
1561,5.3055583391272065e-05,0.0,0.0,0.0
1562,5.483329797633425e-05,0.0,0.0,0.0
1563,5.5287919687024054e-05,0.0,0.0,0.0
1564,6.164956643520522e-05,0.0,0.0,0.0
1565,1.9362548950344456e-05,0.0,0.0,0.0
1566,2.1266219456655172e-05,0.0,0.0,0.0
1567,1.5274434580143342e-05,6.823973178273133e-07,6.823973178273133e-07,0.0
1568,1.5274434580143342e-05,6.823973178273133e-07,6.823973178273133e-07,0.0
1569,1.3496719995081158e-05,6.823973178273133e-07,6.823973178273133e-07,0.0
1570,1.3042098284391354e-05,6.823973178273133e-07,6.823973178273133e-07,0.0
1571,6.680451536210187e-06,6.823973178273133e-07,6.823973178273133e-07,0.0
1572,7.200412320733969e-06,6.823973178273133e-07,6.823973178273133e-07,0.0
1573,5.296741814423253e-06,6.823973178273133e-07,6.823973178273133e-07,0.0
1574,2.6988069683803976e-06,0.0,0.0,0.0
1575,2.6988069683803976e-06,0.0,0.0,0.0
1576,4.5015287599069e-06,0.0,0.0,0.0
1577,4.5015287599069e-06,0.0,0.0,0.0
1578,4.5015287599069e-06,0.0,0.0,0.0
1579,5.275077585663114e-06,0.0,0.0,0.0
1580,5.275077585663114e-06,0.0,0.0,0.0
1581,4.876153590365513e-06,0.0,0.0,0.0
1582,7.390041901089717e-06,0.0,0.0,0.0
1583,6.308254017182792e-06,0.0,0.0,0.0
1584,6.308254017182792e-06,0.0,0.0,0.0
1585,8.195434864839107e-06,0.0,0.0,0.0
1586,9.777500638717487e-06,0.0,0.0,0.0
1587,1.046965975807065e-05,0.0,0.0,0.0
1588,1.0698255014826178e-05,0.0,0.0,0.0
1589,8.744546123905042e-06,0.0,0.0,0.0
1590,8.283587866182124e-06,0.0,0.0,0.0
1591,8.283587866182124e-06,0.0,0.0,0.0
1592,6.3964070185258085e-06,0.0,0.0,0.0
1593,3.967385087629996e-06,0.0,0.0,0.0
1594,3.4428575515578686e-06,0.0,0.0,0.0
1595,2.335934287397582e-06,0.0,0.0,0.0
1596,1.7757548675945145e-06,0.0,0.0,0.0
1597,1.8789654957020372e-06,0.0,0.0,0.0
1598,3.913725631069351e-06,0.0,0.0,0.0
1599,4.503281404920147e-06,0.0,0.0,0.0
1600,4.908776629365873e-06,0.0,0.0,0.0
1601,6.108412078122326e-06,0.0,0.0,0.0
1602,6.772828620731681e-06,0.0,0.0,0.0
1603,6.772828620731681e-06,0.0,0.0,0.0
1604,6.750182982224422e-06,0.0,0.0,0.0
1605,5.6149179792035805e-06,0.0,0.0,0.0
1606,9.990328602985496e-06,0.0,0.0,0.0
1607,1.0631274075681826e-05,0.0,0.0,0.0
1608,9.863039817251515e-06,0.0,0.0,0.0
1609,2.1692881968452378e-05,0.0,0.0,0.0
1610,2.360460592041948e-05,0.0,0.0,0.0
1611,2.3878538935865174e-05,0.0,0.0,0.0
1612,2.432404744467931e-05,0.0,0.0,0.0
1613,1.99983229712026e-05,0.0,0.0,0.0
1614,1.883493856829383e-05,0.0,0.0,0.0
1615,1.9759678804933045e-05,0.0,0.0,0.0
1616,7.805524059481936e-06,0.0,0.0,0.0
