ngram,peace,pece,pce,peece
1535,4.7461702219412215e-05,6.400257396827718e-06,0.0,0.0
1536,6.043236891985414e-05,6.847521782609485e-06,0.0,0.0
1537,9.235962511411344e-05,4.660676332995146e-06,0.0,0.0
1538,8.661477688422435e-05,4.660676332995146e-06,0.0,0.0
1539,8.61638602925398e-05,4.660676332995146e-06,0.0,0.0
1540,8.61638602925398e-05,4.660676332995146e-06,0.0,0.0
1541,8.05459775230182e-05,4.4726438578176643e-07,0.0,0.0
1542,5.9075189970566756e-05,4.4726438578176643e-07,0.0,1.5046463366681046e-06
1543,4.610452327012483e-05,0.0,0.0,1.5046463366681046e-06
1544,4.197023684225444e-05,0.0,0.0,1.5046463366681046e-06
1545,5.590208248967039e-05,0.0,0.0,1.5046463366681046e-06
1546,7.883799012883433e-05,1.1188247818998725e-06,0.0,1.7843525321430725e-06
1547,0.00010177797854079731,1.1188247818998725e-06,0.0,1.7843525321430725e-06
1548,0.00011010075260336245,2.0105505557564485e-06,0.0,1.7843525321430725e-06
1549,0.00016141377221044553,4.435866035886907e-06,0.0,2.7970619547496814e-07
1550,0.0001678979206189979,4.435866035886907e-06,0.0,2.7970619547496814e-07
1551,0.00014118260254950395,6.7970631789648905e-06,0.0,2.7970619547496814e-07
1552,0.000136625199437341,6.7970631789648905e-06,0.0,2.7970619547496814e-07
1553,0.00011368929179817704,5.678238397065018e-06,0.0,0.0
1554,0.00014628891637715111,1.4934840562221194e-05,0.0,0.0
1555,0.00014698091763420962,1.5245084796333686e-05,0.0,1.2019700079690665e-06
1556,8.929887865503718e-05,1.2819769316203227e-05,0.0,1.2019700079690665e-06
1557,0.00010150474658335693,1.2819769316203227e-05,0.0,1.2019700079690665e-06
1558,0.00010496693617564492,1.0458572173125244e-05,0.0,1.2019700079690665e-06
1559,9.90309402238511e-05,1.0458572173125244e-05,0.0,2.9211932996986434e-06
1560,0.00012864449724604907,1.0458572173125244e-05,0.0,3.3698835457991142e-06
