ngram,south,soth,soth,soouth
1607,6.39610720359737e-05,7.109681519068545e-07,7.109681519068545e-07,0.0
1608,7.144057170600198e-05,3.203204284675719e-07,3.203204284675719e-07,0.0
1609,6.73488161900033e-05,3.203204284675719e-07,3.203204284675719e-07,0.0
1610,7.359378100448209e-05,3.203204284675719e-07,3.203204284675719e-07,0.0
1611,7.779268443235716e-05,3.203204284675719e-07,3.203204284675719e-07,0.0
1612,7.720631695714733e-05,3.203204284675719e-07,3.203204284675719e-07,0.0
1613,2.5468622571419735e-05,0.0,0.0,0.0
1614,2.5468622571419735e-05,0.0,0.0,0.0
1615,1.5030151530481817e-05,0.0,0.0,0.0
1616,1.556232661771771e-05,0.0,0.0,0.0
1617,1.0182151137476986e-05,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1618,7.2634505029002734e-06,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1619,8.638535551394203e-06,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1620,7.3321022812576435e-06,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1621,8.5810282014011e-06,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1622,7.649243700922983e-06,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1623,1.8782618651260107e-05,1.2354133462265183e-07,1.2354133462265183e-07,0.0
1624,1.821649370218178e-05,0.0,0.0,0.0
1625,5.390007644174537e-05,0.0,0.0,0.0
1626,5.474245173380561e-05,0.0,0.0,0.0
1627,5.349187821528696e-05,0.0,0.0,0.0
1628,5.3487673231497214e-05,0.0,0.0,0.0
1629,5.377180408621436e-05,0.0,0.0,0.0
1630,4.2003829069666866e-05,0.0,0.0,0.0
1631,4.3348884324651795e-05,0.0,0.0,0.0
1632,1.4448198604506096e-05,0.0,0.0,0.0
1633,1.2241107997722014e-05,0.0,0.0,0.0
1634,1.4919954334605531e-05,0.0,0.0,0.0
1635,1.3757553111710357e-05,0.0,0.0,0.0
1636,1.734406426326781e-05,0.0,0.0,0.0
1637,1.7769936139952085e-05,0.0,0.0,0.0
1638,1.646289168937593e-05,0.0,0.0,0.0
1639,1.0969509389724408e-05,0.0,0.0,0.0
1640,1.052394625438475e-05,0.0,0.0,0.0
1641,7.924216926572366e-06,0.0,0.0,0.0
1642,8.057796882050233e-06,0.0,0.0,0.0
1643,4.066432097715733e-06,0.0,0.0,0.0
1644,5.020894686172791e-06,0.0,0.0,0.0
1645,7.140060997049399e-06,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1646,8.297664554187836e-06,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1647,9.443403160145993e-06,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1648,1.0167348778265608e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1649,1.010790465930508e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1650,1.1466946732850505e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
1651,1.0387363983811935e-05,4.9116830983361326e-08,4.9116830983361326e-08,0.0
