ngram,context,conext,cotext
1650,3.24661783679403e-06,0.0,0.0
1651,3.276004974850366e-06,0.0,0.0
1652,3.7344852980173267e-06,0.0,0.0
1653,3.180067998138319e-06,0.0,0.0
1654,3.3249215545895694e-06,0.0,0.0
1655,2.707539871542914e-06,0.0,0.0
1656,2.917783214278253e-06,0.0,0.0
1657,3.004031278968406e-06,0.0,0.0
1658,4.953273836300858e-06,0.0,0.0
1659,4.557395771241447e-06,0.0,0.0
1660,4.887693015526955e-06,0.0,0.0
1661,4.773164724675942e-06,0.0,0.0
1662,4.819358074265827e-06,0.0,0.0
1663,5.059477798243149e-06,0.0,0.0
1664,5.10735587308123e-06,0.0,0.0
1665,2.608936053353058e-06,0.0,0.0
1666,3.0473261095461827e-06,0.0,0.0
1667,2.9232527773664126e-06,0.0,0.0
1668,3.532686605467461e-06,0.0,0.0
1669,3.6997821877905934e-06,0.0,0.0
1670,2.895999987880974e-06,0.0,0.0
1671,2.855154710752166e-06,0.0,0.0
1672,2.974942796234765e-06,0.0,0.0
1673,2.5489169144878232e-06,0.0,0.0
1674,2.5823077456672242e-06,0.0,0.0
1675,1.907140098670165e-06,0.0,0.0
1676,1.9212171602183455e-06,0.0,0.0
1677,1.8724420556281984e-06,0.0,0.0
1678,1.7786648040133253e-06,0.0,0.0
1679,1.308195700338339e-06,0.0,0.0
1680,1.2074033211969696e-06,0.0,0.0
1681,1.2869298302575771e-06,0.0,0.0
1682,1.5005473008906328e-06,0.0,0.0
1683,1.2011096747041198e-06,0.0,0.0
1684,1.2216020195410238e-06,0.0,0.0
1685,1.1237327238891988e-06,0.0,0.0
1686,1.7683193586240771e-06,0.0,0.0
1687,1.819511908252025e-06,0.0,0.0
1688,1.9087180394957874e-06,0.0,0.0
1689,1.6580347395997056e-06,0.0,0.0
1690,1.6969814465385622e-06,0.0,0.0
1691,1.6582488119151354e-06,0.0,0.0
1692,1.560681862347987e-06,0.0,0.0
1693,1.0580588565289872e-06,0.0,0.0
1694,1.0563863444953573e-06,0.0,0.0
1695,7.6090306322385e-07,0.0,0.0
1696,8.238075720003378e-07,0.0,0.0
1697,1.1595096753223646e-06,0.0,0.0
1698,1.6913687375108566e-06,0.0,0.0
1699,1.6938397737119106e-06,0.0,0.0
1700,1.5577240170776868e-06,0.0,0.0
1701,1.4454630234337986e-06,0.0,0.0
1702,1.229788003748971e-06,0.0,0.0
1703,1.1794771645717056e-06,0.0,0.0
1704,7.780174310515317e-07,0.0,0.0
1705,3.3459333792507095e-07,0.0,0.0
1706,5.521126788770354e-07,0.0,0.0
1707,5.244261741056886e-07,0.0,0.0
1708,5.726346188339448e-07,0.0,0.0
1709,5.727940443226284e-07,0.0,0.0
1710,6.319193488479868e-07,0.0,0.0
1711,7.599807523612461e-07,0.0,0.0
1712,6.226136771861743e-07,0.0,0.0
1713,6.169515854383332e-07,0.0,0.0
1714,9.65939489917998e-07,0.0,0.0
1715,1.2024454706858836e-06,0.0,0.0
1716,1.1809102805468034e-06,0.0,0.0
1717,1.2380896440130788e-06,0.0,0.0
1718,1.4256002316415106e-06,0.0,0.0
1719,1.4519397158859907e-06,0.0,0.0
1720,1.34986031241624e-06,0.0,0.0
1721,1.151768663427382e-06,0.0,0.0
1722,1.328770267150503e-06,0.0,0.0
1723,1.8888471454861895e-06,0.0,0.0
1724,2.0571491562902466e-06,0.0,0.0
1725,2.0771953939759314e-06,0.0,0.0
1726,2.6576682411619653e-06,0.0,0.0
1727,2.829673543861385e-06,0.0,0.0
1728,2.848859188426494e-06,0.0,0.0
1729,2.7852829102162753e-06,0.0,0.0
1730,2.345939443720064e-06,0.0,0.0
1731,2.400338595569857e-06,0.0,0.0
1732,2.5543372592957373e-06,0.0,0.0
1733,2.2566147858274884e-06,0.0,0.0
1734,2.129353155006746e-06,0.0,0.0
1735,2.135441052684785e-06,0.0,0.0
1736,1.8489056969883677e-06,0.0,0.0
1737,1.7500588082189746e-06,0.0,0.0
1738,1.4657408330874335e-06,0.0,0.0
