ngram,income,icome,inome,inome
1774,1.2544694332713594e-05,2.6326438172320975e-09,2.6360818290121254e-09,2.6360818290121254e-09
1775,1.0146037961281504e-05,5.521332978121661e-09,2.6360818290121254e-09,2.6360818290121254e-09
1776,1.0642329081227736e-05,5.521332978121661e-09,5.3484513326143966e-09,5.3484513326143966e-09
1777,1.1480078683234751e-05,5.521332978121661e-09,5.3484513326143966e-09,5.3484513326143966e-09
1778,1.1654678928607609e-05,2.8886891608895635e-09,5.3484513326143966e-09,5.3484513326143966e-09
1779,1.1744044968509115e-05,2.8886891608895635e-09,2.712369503602271e-09,2.712369503602271e-09
1780,1.212620151948483e-05,5.237829471736534e-09,2.712369503602271e-09,2.712369503602271e-09
1781,1.2596372731163033e-05,5.237829471736534e-09,2.712369503602271e-09,2.712369503602271e-09
1782,1.3769817607161322e-05,2.349140310846971e-09,2.712369503602271e-09,2.712369503602271e-09
1783,1.4529947423268044e-05,2.349140310846971e-09,0.0,0.0
1784,1.5423831168196296e-05,5.678084542231383e-09,0.0,0.0
1785,1.5432177081363208e-05,5.678084542231383e-09,0.0,0.0
1786,2.321722682349251e-05,7.018182860260172e-09,0.0,0.0
1787,2.3913045749525607e-05,5.958184168264324e-09,0.0,0.0
1788,2.419731013755414e-05,5.958184168264324e-09,0.0,0.0
1789,2.387830655996887e-05,7.121568985318001e-09,1.163384817053676e-09,1.163384817053676e-09
1790,2.2825538768042213e-05,7.121568985318001e-09,1.163384817053676e-09,1.163384817053676e-09
1791,2.2122379829982363e-05,3.792624753933589e-09,1.163384817053676e-09,1.163384817053676e-09
1792,2.326721213259069e-05,7.057410782757805e-09,1.163384817053676e-09,1.163384817053676e-09
1793,1.6390357684161116e-05,6.703334585824093e-09,1.163384817053676e-09,1.163384817053676e-09
1794,1.591690657473269e-05,5.41419296697297e-09,4.157341391776624e-09,4.157341391776624e-09
1795,1.6751798024675475e-05,5.41419296697297e-09,4.157341391776624e-09,4.157341391776624e-09
1796,2.0231953385518864e-05,4.250808149919294e-09,2.993956574722948e-09,2.993956574722948e-09
1797,2.178001640069332e-05,5.38465545168216e-09,3.5608802256043806e-09,3.5608802256043806e-09
1798,2.2296887696679084e-05,5.38465545168216e-09,3.5608802256043806e-09,3.5608802256043806e-09
