ngram,soup,sop,sup,soup
1721,7.831309137681533e-08,5.873928411607007e-07,4.5364598528457075e-06,7.831309137681533e-08
1722,1.169510248644201e-07,6.229740604015075e-07,4.7075196302362854e-06,1.169510248644201e-07
1723,1.0541628471725875e-07,5.333759166400601e-07,4.69586932792611e-06,1.0541628471725875e-07
1724,1.230290434607793e-07,5.245234880086562e-07,4.824384892084968e-06,1.230290434607793e-07
1725,1.2264024005860718e-07,5.221906706408066e-07,4.84786174378574e-06,1.2264024005860718e-07
1726,1.3541523610375146e-07,5.204143138014063e-07,4.685894704640045e-06,1.3541523610375146e-07
1727,1.2635410787506123e-07,3.869032769086646e-07,4.701861208949205e-06,1.2635410787506123e-07
1728,8.903337749594747e-08,2.837011428320173e-07,4.845209007596298e-06,8.903337749594747e-08
1729,6.951137418046269e-08,2.523847228985687e-07,4.95761163879901e-06,6.951137418046269e-08
1730,6.333619800053774e-08,2.991741041569185e-07,5.157662859086745e-06,6.333619800053774e-08
1731,4.572343925701716e-08,3.185866838910962e-07,5.093388478729009e-06,4.572343925701716e-08
1732,7.59216303793307e-08,3.3705420118427097e-07,5.476317840345603e-06,7.59216303793307e-08
1733,7.719617351702774e-08,3.5683918245662684e-07,6.1639453373832765e-06,7.719617351702774e-08
1734,8.751963674415362e-08,3.879283505219584e-07,6.307231810101907e-06,8.751963674415362e-08
1735,1.0044085537889e-07,4.266920054111064e-07,6.758526913992162e-06,1.0044085537889e-07
1736,1.0337422549712625e-07,4.82169671808411e-07,7.19421164571291e-06,1.0337422549712625e-07
1737,1.1029585372008504e-07,4.267621989129111e-07,7.360599803567831e-06,1.1029585372008504e-07
1738,1.1578766999166743e-07,4.768477148380563e-07,8.678104157817351e-06,1.1578766999166743e-07
1739,8.146744231599509e-08,4.6918805602607403e-07,8.690028282996667e-06,8.146744231599509e-08
1740,1.0485429667385557e-07,4.6678837861691136e-07,8.680945809049132e-06,1.0485429667385557e-07
1741,1.0641353499961172e-07,4.86467269768452e-07,8.727667656265631e-06,1.0641353499961172e-07
1742,1.2527698903649513e-07,4.856612869324246e-07,8.65415164038755e-06,1.2527698903649513e-07
1743,1.321218684933813e-07,4.401087291431135e-07,8.69346065103725e-06,1.321218684933813e-07
1744,1.4305648170826707e-07,5.215661604194923e-07,9.52786643080929e-06,1.4305648170826707e-07
1745,1.5018781748413597e-07,4.668944971594361e-07,1.1814732131045145e-05,1.5018781748413597e-07
1746,1.867807181302591e-07,4.766826212484635e-07,1.1774855075990282e-05,1.867807181302591e-07
1747,2.5332311841858815e-07,4.7667456572396206e-07,1.1369598204120329e-05,2.5332311841858815e-07
1748,3.2515424765376467e-07,4.6725380034981103e-07,1.1415733687109813e-05,3.2515424765376467e-07
1749,3.8599562251257727e-07,5.089630568428609e-07,1.1692860360718832e-05,3.8599562251257727e-07
1750,4.4616719512597616e-07,5.003908662664409e-07,1.1543614618858555e-05,4.4616719512597616e-07
1751,5.175394162750178e-07,4.949685887822852e-07,1.062966027477939e-05,5.175394162750178e-07
1752,5.633951169719304e-07,5.521509040460972e-07,7.79845432979138e-06,5.633951169719304e-07
1753,5.889528803696262e-07,5.377307234409403e-07,8.099815334259932e-06,5.889528803696262e-07
1754,7.025456665944927e-07,5.214429523091115e-07,8.118596789634986e-06,7.025456665944927e-07
1755,7.382843745874977e-07,5.212204346857366e-07,8.642307940525435e-06,7.382843745874977e-07
1756,1.1369959216673514e-06,6.92271701804462e-07,2.037574196427678e-05,1.1369959216673514e-06
1757,1.1240582539682822e-06,8.414845597469269e-07,2.549210934635734e-05,1.1240582539682822e-06
1758,1.1280573346539313e-06,8.551446585767865e-07,2.7376004449511777e-05,1.1280573346539313e-06
1759,1.1008876360360124e-06,8.859755220263261e-07,2.956598674635253e-05,1.1008876360360124e-06
1760,1.110024334544895e-06,8.86247972532926e-07,2.9185726167010477e-05,1.110024334544895e-06
1761,1.0645379384348935e-06,8.776312248366074e-07,2.9007011627462426e-05,1.0645379384348935e-06
1762,1.0389757696722363e-06,8.910905933134927e-07,2.8618617372038508e-05,1.0389757696722363e-06
1763,7.824459515859417e-07,7.032552835945742e-07,1.6627447751359015e-05,7.824459515859417e-07
