ngram,revolution,revoluton,revoluton,revoltin
1702,2.0233981875402866e-06,0.0,0.0,0.0
1703,2.047302810329451e-06,0.0,0.0,0.0
1704,1.338348101041577e-06,0.0,0.0,0.0
1705,1.6096691126676888e-06,0.0,0.0,0.0
1706,1.8473450771645211e-06,0.0,0.0,0.0
1707,1.6648465849097453e-06,0.0,0.0,0.0
1708,1.7129087837020052e-06,0.0,0.0,0.0
1709,1.5813510247296238e-06,0.0,0.0,0.0
1710,1.7256033158576299e-06,0.0,0.0,0.0
1711,1.7400311825050657e-06,0.0,0.0,0.0
1712,1.9086244752283425e-06,0.0,0.0,0.0
1713,1.7291020282885126e-06,0.0,0.0,0.0
1714,1.8026678714834686e-06,0.0,0.0,0.0
1715,1.7904951294310325e-06,0.0,0.0,0.0
1716,1.7594497632801774e-06,0.0,0.0,0.0
1717,1.6176902509609396e-06,0.0,0.0,0.0
1718,1.7994096797987628e-06,0.0,0.0,0.0
1719,1.0699224251961174e-06,0.0,0.0,0.0
1720,1.235333006174447e-06,0.0,0.0,0.0
1721,1.3527704701183602e-06,0.0,0.0,0.0
1722,1.5177400598531676e-06,0.0,0.0,0.0
1723,1.872171939762016e-06,0.0,0.0,0.0
1724,2.0093488330985565e-06,0.0,0.0,0.0
1725,3.272821666249521e-06,0.0,0.0,0.0
1726,5.2577546187291905e-06,0.0,0.0,0.0
1727,5.364488548106497e-06,0.0,0.0,0.0
1728,5.652920240858553e-06,0.0,0.0,0.0
1729,5.737929801138567e-06,0.0,0.0,0.0
1730,5.796812729386147e-06,0.0,0.0,0.0
1731,5.881662348526463e-06,0.0,0.0,0.0
1732,4.444723539823567e-06,0.0,0.0,0.0
1733,2.7162014768172023e-06,0.0,0.0,0.0
1734,2.9454557274480716e-06,0.0,0.0,0.0
1735,3.1446164874588637e-06,0.0,0.0,0.0
1736,3.4869914153594957e-06,0.0,0.0,0.0
1737,3.7542394823373926e-06,0.0,0.0,0.0
1738,5.440008635559934e-06,0.0,0.0,0.0
1739,6.178102759284749e-06,0.0,0.0,0.0
1740,6.250864121934033e-06,0.0,0.0,0.0
1741,6.008584283076093e-06,0.0,0.0,0.0
1742,5.93272079640883e-06,0.0,0.0,0.0
1743,6.248070933777074e-06,0.0,0.0,0.0
1744,6.117026454636029e-06,0.0,0.0,0.0
1745,7.171661699041059e-06,0.0,0.0,0.0
1746,7.5490497692953795e-06,0.0,0.0,0.0
1747,1.094786745982544e-05,0.0,0.0,0.0
1748,1.1381208228807996e-05,0.0,0.0,0.0
