ngram,understanding,understadning,understading,uderstanding
1764,5.619402872980572e-05,0.0,2.661366999794674e-09,2.7755674584081393e-09
1765,5.936030408650238e-05,0.0,2.661366999794674e-09,2.7755674584081393e-09
1766,5.964720704858857e-05,0.0,2.661366999794674e-09,2.7755674584081393e-09
1767,5.965324297514079e-05,0.0,0.0,2.7755674584081393e-09
1768,5.816483254810529e-05,0.0,0.0,0.0
1769,6.048351912925552e-05,0.0,0.0,0.0
1770,6.005490078158411e-05,0.0,0.0,0.0
1771,6.0484670289692334e-05,0.0,0.0,0.0
1772,5.64717198098411e-05,0.0,0.0,0.0
1773,5.6933435449276916e-05,0.0,0.0,0.0
1774,5.6876601904930014e-05,0.0,0.0,0.0
1775,5.727250079092171e-05,0.0,0.0,0.0
1776,5.522705500230326e-05,0.0,0.0,0.0
1777,5.5397596172822106e-05,0.0,0.0,0.0
1778,5.608247478708758e-05,0.0,0.0,0.0
1779,5.664366835844703e-05,0.0,0.0,0.0
1780,5.604231098134603e-05,0.0,0.0,0.0
1781,5.5254411043798814e-05,0.0,0.0,0.0
1782,5.640737903637013e-05,0.0,0.0,0.0
1783,5.669335379414926e-05,0.0,0.0,0.0
1784,5.7177232000477875e-05,0.0,0.0,0.0
1785,5.602691245647813e-05,0.0,0.0,0.0
1786,5.538924129463599e-05,0.0,0.0,1.3400983180287896e-09
1787,5.537929350144363e-05,0.0,0.0,1.3400983180287896e-09
1788,5.582800492577787e-05,0.0,0.0,1.3400983180287896e-09
1789,5.696383543961149e-05,0.0,0.0,1.3400983180287896e-09
1790,5.7234363859086966e-05,0.0,0.0,1.3400983180287896e-09
1791,5.667612432651887e-05,0.0,0.0,1.3400983180287896e-09
1792,5.642381594433183e-05,0.0,1.0882620519022827e-09,1.3400983180287896e-09
1793,5.7688939705258235e-05,0.0,1.0882620519022827e-09,0.0
1794,5.82184615528344e-05,0.0,1.0882620519022827e-09,0.0
1795,5.688006214248682e-05,0.0,1.0882620519022827e-09,0.0
1796,5.533383747596028e-05,0.0,1.0882620519022827e-09,0.0
