ngram,factor,facor,fator,fctr
1723,1.4841060159856819e-06,0.0,7.741756442263587e-09,0.0
1724,1.5099196448074638e-06,0.0,7.741756442263587e-09,0.0
1725,1.5091420380031195e-06,0.0,0.0,0.0
1726,1.6105525182703268e-06,0.0,0.0,0.0
1727,1.5835566143453304e-06,0.0,0.0,0.0
1728,1.543955385890123e-06,0.0,0.0,0.0
1729,1.4599014690475087e-06,0.0,0.0,6.371976724039996e-09
1730,4.439566489671571e-07,0.0,8.18323796027341e-09,6.371976724039996e-09
1731,4.3769390499294657e-07,0.0,8.18323796027341e-09,6.371976724039996e-09
1732,7.296556775924858e-07,0.0,8.18323796027341e-09,6.371976724039996e-09
1733,7.985992575803331e-07,0.0,8.18323796027341e-09,6.371976724039996e-09
1734,8.899482212752576e-07,0.0,1.8506701187399292e-08,6.371976724039996e-09
1735,9.222575840794889e-07,0.0,1.8506701187399292e-08,6.371976724039996e-09
1736,9.124470007496452e-07,0.0,1.8506701187399292e-08,0.0
1737,8.072920678614537e-07,0.0,1.7245091450084667e-08,0.0
1738,1.3710663466781625e-06,0.0,1.7245091450084667e-08,0.0
1739,1.2453299871952237e-06,0.0,1.7245091450084667e-08,0.0
1740,1.1085346715487634e-06,0.0,2.4732370056718926e-08,0.0
1741,1.6790115446545833e-06,0.0,1.4408906829593043e-08,0.0
1742,1.8569510891503732e-06,0.0,2.0786279110650086e-08,0.0
1743,1.931215726764484e-06,0.0,2.0786279110650086e-08,0.0
1744,1.964221760480151e-06,0.0,1.832871124715244e-08,0.0
1745,1.416106394052414e-06,0.0,1.832871124715244e-08,0.0
1746,1.324778663404556e-06,0.0,1.832871124715244e-08,0.0
1747,1.3189494073425782e-06,0.0,1.5000584393679413e-08,0.0
1748,8.517763449487705e-07,0.0,1.8640316211206353e-08,0.0
1749,8.020031267668466e-07,0.0,2.2173504683158692e-08,0.0
1750,1.5369694900917757e-06,0.0,2.2173504683158692e-08,0.0
1751,1.752833818662631e-06,0.0,2.127858295913094e-08,7.138277270866768e-09
1752,1.7764144217835565e-06,0.0,3.297435391402814e-08,7.138277270866768e-09
1753,1.7924272372381113e-06,0.0,4.30330587671993e-08,1.7196982124037926e-08
1754,2.1358448033684648e-06,0.0,3.8873907014038064e-08,1.7196982124037926e-08
1755,2.014007171575421e-06,0.0,3.9087482964613885e-08,1.7196982124037926e-08
1756,2.153225815553534e-06,0.0,2.9176922211604506e-08,1.7196982124037926e-08
1757,2.0527751140824487e-06,0.0,2.9176922211604506e-08,2.0242105388693484e-08
1758,2.4293745225025176e-06,0.0,2.560778357617112e-08,1.3103828117826716e-08
1759,2.6092533451966508e-06,0.0,1.7390807524212245e-08,1.6582623020765042e-08
1760,2.8043714012580623e-06,0.0,1.5316203416659846e-08,6.523918167593885e-09
1761,3.1174301316890966e-06,0.0,2.9194040962465806e-08,9.299485626002024e-09
1762,3.991021393241161e-06,0.0,2.8023315223890677e-08,9.299485626002024e-09
1763,4.152426592034837e-06,0.0,3.086198978914061e-08,1.213816019125196e-08
1764,4.9506067430879086e-06,0.0,3.6483349167123636e-08,9.093036926596402e-09
1765,4.460185664356686e-06,0.0,3.6483349167123636e-08,9.093036926596402e-09
1766,4.512328327369427e-06,0.0,3.3004554264185315e-08,5.614242023658075e-09
1767,4.38826400893179e-06,0.0,2.5020453518566554e-08,5.614242023658075e-09
1768,4.957134170321556e-06,0.0,1.382482852006563e-08,2.8386745652499356e-09
1769,4.294075373374133e-06,0.0,1.4188506116040247e-08,2.8386745652499356e-09
1770,4.442727799869317e-06,0.0,1.134983155079031e-08,0.0
1771,3.1532886331271063e-06,0.0,8.361115990039382e-09,0.0
1772,3.243601976724416e-06,0.0,1.0997197819051507e-08,0.0
1773,3.212597497232699e-06,0.0,2.1377961242511186e-08,0.0
1774,3.2016200748330448e-06,0.0,2.1377961242511186e-08,0.0
1775,2.1879640468926354e-06,0.0,2.1584437856095714e-08,0.0
1776,2.210867039918542e-06,0.0,2.1250547734195735e-08,0.0
1777,1.9208136856312715e-06,0.0,2.1250547734195735e-08,0.0
1778,2.148475248629568e-06,2.7811436962922797e-09,2.1399047613255917e-08,0.0
1779,2.239676648839252e-06,2.7811436962922797e-09,1.8762965784243794e-08,2.5616857206906776e-09
1780,2.4203196419745965e-06,2.7811436962922797e-09,8.382202360784113e-09,4.910826031537649e-09
1781,2.583579820176445e-06,2.7811436962922797e-09,1.2207236110839403e-08,4.910826031537649e-09
1782,2.6005359034440645e-06,2.7811436962922797e-09,9.31854694994984e-09,7.068959512983903e-09
1783,2.6105010744816226e-06,2.7811436962922797e-09,1.5304573608432293e-08,7.068959512983903e-09
1784,2.7422310852541287e-06,2.7811436962922797e-09,1.5304573608432293e-08,7.068959512983903e-09
1785,2.5970053099756896e-06,0.0,1.2523429912140012e-08,7.068959512983903e-09
1786,2.4426203221342542e-06,0.0,1.520362654819759e-08,5.847372110322015e-09
1787,2.4355083983859264e-06,0.0,1.520362654819759e-08,4.787373418326167e-09
1788,2.4854556061524946e-06,0.0,1.2685144871024282e-08,4.787373418326167e-09
1789,2.477298932847459e-06,0.0,1.3848529688077958e-08,6.119394388040941e-09
1790,2.552449830415883e-06,0.0,9.569527138962388e-09,8.329091194525517e-09
1791,2.7287821434843603e-06,0.0,1.0655493376532377e-08,9.415057432095506e-09
1792,2.7996383745890592e-06,0.0,1.0655493376532377e-08,1.1591581535900071e-08
1793,2.8137242062647213e-06,0.0,1.0933363040318715e-08,1.123750533896636e-08
1794,2.741343467148129e-06,0.0,1.0933363040318715e-08,1.0946349287317097e-08
1795,2.8163396206894376e-06,0.0,1.0540083092028648e-08,1.2772893536500923e-08
1796,2.9248380834750217e-06,0.0,1.127302150040675e-08,1.1179062310771672e-08
1797,3.2357313070211343e-06,0.0,8.554398840081895e-09,9.536289155168528e-09
1798,3.21996047400067e-06,0.0,1.0361715929718684e-08,9.607636273857776e-09
1799,3.247636592667342e-06,0.0,1.0962485522522262e-08,7.431112170053211e-09
1800,3.5403541005507577e-06,0.0,9.239411014050347e-09,6.8567539582683625e-09
1801,3.667922978170931e-06,0.0,9.70375148488602e-09,7.251789835294176e-09
1802,3.5400559486983444e-06,0.0,1.0961113318584483e-08,6.293499182114764e-09
1803,3.551171630533645e-06,0.0,9.766790011665551e-09,4.397175956682986e-09
1804,3.302343105003404e-06,0.0,8.371096609544842e-09,5.355640121860818e-09
1805,3.005366579600377e-06,0.0,6.256845803369921e-09,4.977359286633438e-09
1806,2.9943712109213394e-06,0.0,6.431726484734668e-09,5.235909388596432e-09
1807,2.8503112779227583e-06,0.0,6.661283302733523e-09,4.8242454792862026e-09
1808,3.4056361723092517e-06,0.0,6.667669210409193e-09,3.666587224314201e-09
1809,3.6422831206956678e-06,3.618496296249012e-10,4.6779600669312666e-09,2.798333628309787e-09
1810,3.874898831262337e-06,5.797872816769103e-10,4.629773088714119e-09,3.2342089324138054e-09
1811,3.87247421583327e-06,1.0485551633314977e-09,4.559079479017823e-09,1.943205057181834e-09
1812,4.018337416969839e-06,1.0485551633314977e-09,4.257463477002383e-09,1.1641725361499766e-09
1813,4.132926408471706e-06,1.0485551633314977e-09,4.257730818706713e-09,1.099601838155146e-09
1814,4.227698289988828e-06,1.0485551633314977e-09,3.0021403458440385e-09,1.099601838155146e-09
1815,3.854986061924137e-06,1.0485551633314977e-09,3.1108360649361496e-09,8.642386488994752e-10
1816,3.899721572711964e-06,6.867055337065966e-10,3.6906021254929603e-09,1.0544113677417905e-09
1817,3.7580178806300476e-06,4.687678816545876e-10,3.0367891851972625e-09,6.185360636377726e-10
1818,3.7471003062299654e-06,0.0,3.1604749769645733e-09,3.8415212281047873e-10
1819,3.915635651147957e-06,0.0,2.983653340266861e-09,5.344495639698315e-10
1820,4.224295967755357e-06,0.0,2.649926516313477e-09,7.826609519209374e-10
1821,4.408793724256352e-06,0.0,3.083739676311227e-09,7.826609519209374e-10
1822,4.279464747014572e-06,2.4953780311928343e-10,3.2529310039259532e-09,7.826609519209374e-10
1823,4.83536564388487e-06,2.4953780311928343e-10,3.475479523221533e-09,5.924882330786221e-10
1824,4.947517124622079e-06,3.836578197992578e-10,3.877839573261456e-09,8.607282664385707e-10
1825,5.009568570000868e-06,5.102746241420724e-10,4.152853838590431e-09,9.873450707813853e-10
1826,4.913829700724039e-06,5.102746241420724e-10,4.08925544219991e-09,8.370476296220325e-10
1827,4.715257773568737e-06,5.102746241420724e-10,3.856205862565584e-09,6.039980499877068e-10
1828,4.758938400430322e-06,6.206039333227815e-10,3.434093184421069e-09,6.039980499877068e-10
1829,5.857155916341331e-06,7.927118009628689e-10,3.2476739868820506e-09,6.039980499877068e-10
1830,5.200005749169837e-06,8.880163429988589e-10,3.3127845704734274e-09,6.993025920236968e-10
1831,5.2377043045583245e-06,7.538963263188845e-10,3.4677925134626466e-09,5.239572188818289e-10
1832,5.320332255515885e-06,6.272795219760699e-10,3.090156892276192e-09,4.824898734513892e-10
1833,5.399957347305774e-06,7.097577842911968e-10,3.183073455608516e-09,6.47446398081643e-10
1834,5.403389715346358e-06,8.758781715784941e-10,3.472293405185464e-09,5.21365379440348e-10
1835,5.276033691968353e-06,7.655488623977849e-10,3.670551783154151e-09,5.21365379440348e-10
1836,4.197192895714709e-06,5.690867301209681e-10,3.783908155062323e-09,5.21365379440348e-10
