ngram,competition,competiton,competion,competiton
1568,4.5462171068980493e-07,0.0,0.0,0.0
1569,2.6827376911699375e-06,0.0,0.0,0.0
1570,2.2281159804801324e-06,0.0,0.0,0.0
1571,2.2281159804801324e-06,0.0,0.0,0.0
1572,2.2281159804801324e-06,0.0,0.0,0.0
1573,2.2281159804801324e-06,0.0,0.0,0.0
1574,2.2281159804801324e-06,0.0,0.0,0.0
1575,2.2281159804801324e-06,0.0,0.0,0.0
1576,9.013608957632511e-07,0.0,0.0,0.0
1577,3.4528368035223267e-06,0.0,0.0,0.0
1578,3.693749915458154e-06,0.0,0.0,0.0
1579,4.340504720598151e-06,0.0,0.0,0.0
1580,4.340504720598151e-06,0.0,0.0,0.0
1581,4.340504720598151e-06,0.0,0.0,0.0
1582,4.340504720598151e-06,0.0,0.0,0.0
1583,3.4391438248349004e-06,0.0,0.0,0.0
1584,8.876679170758248e-07,0.0,0.0,0.0
1585,6.467548051399977e-07,0.0,0.0,0.0
1586,0.0,0.0,0.0,0.0
1587,0.0,0.0,0.0,0.0
1588,0.0,0.0,0.0,0.0
1589,1.867264732676891e-07,0.0,0.0,0.0
1590,7.066777730610088e-07,0.0,0.0,0.0
1591,9.732112370589415e-07,0.0,0.0,0.0
1592,9.732112370589415e-07,0.0,0.0,0.0
1593,9.732112370589415e-07,0.0,0.0,0.0
1594,9.732112370589415e-07,0.0,0.0,0.0
1595,9.732112370589415e-07,0.0,0.0,0.0
1596,2.890667019528337e-06,0.0,0.0,0.0
1597,2.370715719735017e-06,0.0,0.0,0.0
1598,3.29849795629603e-06,0.0,0.0,0.0
1599,3.4164091045697986e-06,0.0,0.0,0.0
1600,6.185567372085643e-06,0.0,1.0650608471353604e-07,0.0
1601,6.185567372085643e-06,0.0,1.0650608471353604e-07,0.0
1602,6.394368808417182e-06,0.0,1.0650608471353604e-07,0.0
1603,4.2901865526800975e-06,0.0,1.0650608471353604e-07,0.0
1604,4.46045687242856e-06,0.0,1.0650608471353604e-07,0.0
