ngram,pie,pe,pi,piee
1614,2.3395739390252857e-06,8.45910043218672e-06,7.176192671717477e-06,0.0
1615,2.1214844179797055e-06,8.585130282361725e-06,8.500288085347815e-06,0.0
1616,1.9328104404589145e-06,9.787384312533374e-06,6.61354834262186e-06,0.0
1617,3.2917650807056428e-06,9.76394273623425e-06,7.96468914034319e-06,0.0
1618,3.382371947476973e-06,8.302624857086422e-06,7.850471450053322e-06,0.0
1619,3.2945084902686565e-06,8.889968350039063e-06,5.209806204220513e-06,0.0
1620,3.016554891084005e-06,1.0164765821433061e-05,5.612761859603259e-06,0.0
1621,2.6869451435881534e-06,1.1371405045273214e-05,6.380886329030286e-06,0.0
1622,2.446698707509703e-06,1.0691812933925706e-05,5.419900584716483e-06,0.0
1623,2.446698707509703e-06,1.1132397113604903e-05,5.68931477573642e-06,0.0
1624,2.4317337517589166e-06,1.2929796477172723e-05,5.277934990642409e-06,0.0
1625,3.3822726501447117e-06,1.3901750337806464e-05,8.305091179343954e-06,0.0
1626,3.3913782837251868e-06,1.4154136286898783e-05,7.638989862763473e-06,0.0
1627,3.349671796318684e-06,1.4157353039731138e-05,7.395805547665597e-06,0.0
1628,3.939276423027747e-06,1.4971316237019242e-05,7.40971730855173e-06,0.0
1629,3.963638294278228e-06,1.5200016800268454e-05,7.259576753832724e-06,0.0
1630,4.567381275981981e-06,1.4133938813236974e-05,8.801391507924044e-06,0.0
1631,3.5634715069526076e-06,1.3579090916339607e-05,8.343573767888302e-06,0.0
1632,2.409127318969695e-06,1.338381525783916e-05,5.387490692295874e-06,0.0
1633,2.3611620625680577e-06,1.4336661934066797e-05,5.339525435894237e-06,0.0
1634,2.448227048392125e-06,1.353016919633124e-05,6.167099400045117e-06,0.0
1635,3.0110983776207182e-06,1.2001830652609766e-05,6.619197133009688e-06,0.0
1636,3.453950560989532e-06,1.2057926531789625e-05,6.640772458662728e-06,0.0
1637,3.435488598110429e-06,1.2428412576680006e-05,5.8537852640126535e-06,0.0
1638,4.240104301191293e-06,1.1319968572414446e-05,6.194306057035906e-06,0.0
1639,5.0050506713107874e-06,1.148922527655876e-05,6.606503802686348e-06,0.0
1640,5.621852827581668e-06,1.1214808767233211e-05,7.737346192828096e-06,0.0
1641,6.330569898896751e-06,1.1358209186645191e-05,8.302775216049798e-06,0.0
1642,5.609893280831914e-06,1.0405344840234778e-05,7.4889201187033905e-06,0.0
1643,5.724561983048001e-06,9.908624633681029e-06,7.686955216610971e-06,0.0
1644,5.414265355544298e-06,8.282290829291533e-06,7.029359332071701e-06,0.0
1645,5.1045558393525425e-06,8.58573925402847e-06,7.327269973497355e-06,0.0
1646,4.449460155748446e-06,7.4541564702355704e-06,7.152998120675745e-06,0.0
1647,4.66992628389562e-06,8.31127090350492e-06,6.7553784707083e-06,0.0
1648,4.493809910854907e-06,8.065790227971905e-06,5.982041167434156e-06,0.0
1649,4.531377206668756e-06,7.5823919749901895e-06,6.545326056896426e-06,0.0
1650,4.379759437662349e-06,8.004218151264858e-06,7.2306729959694034e-06,0.0
1651,5.093776930412527e-06,8.566590232866084e-06,8.154029598829635e-06,0.0
1652,4.982518963255903e-06,9.002256904620611e-06,7.947857674090691e-06,0.0
1653,5.459424171151893e-06,9.478449945683159e-06,8.77556697430139e-06,0.0
1654,4.999058026961782e-06,7.892636403994402e-06,8.917044591986009e-06,0.0
1655,5.323578794299724e-06,8.917559755770657e-06,9.357771497369477e-06,0.0
1656,5.216670810373866e-06,9.708651759865461e-06,8.57582751580464e-06,0.0
1657,5.340819825505605e-06,9.349679268260453e-06,8.008943106168382e-06,0.0
1658,5.048821159497103e-06,9.05714270109976e-06,8.327409692096158e-06,0.0
