ngram,joint,jont,join,jont
1613,7.014182399091494e-06,0.0,6.846990012426042e-06,0.0
1614,8.003011674061003e-06,0.0,1.1131916827317972e-05,0.0
1615,7.984599733390496e-06,0.0,1.0115116919808185e-05,0.0
1616,7.984599733390496e-06,0.0,9.720845542103365e-06,0.0
1617,6.443499777170862e-06,0.0,7.642604024178062e-06,0.0
1618,7.290541296762447e-06,0.0,1.6107703036790815e-05,0.0
1619,8.190817295274297e-06,0.0,1.8133324049683453e-05,0.0
1620,8.18027196406287e-06,0.0,1.766075151213694e-05,0.0
1621,7.369860684645703e-06,0.0,1.4089496679454377e-05,0.0
1622,8.325537221155952e-06,0.0,1.666318650807495e-05,0.0
1623,9.133779826697719e-06,0.0,1.8188661345318125e-05,0.0
1624,1.1451135199942136e-05,0.0,1.755057681813404e-05,0.0
1625,7.019663842454195e-06,0.0,8.983065526990686e-06,0.0
1626,6.349009660360545e-06,0.0,8.335175412607246e-06,0.0
1627,5.720195612671627e-06,0.0,8.647663500076825e-06,0.0
1628,6.917521789416371e-06,0.0,8.392572908633156e-06,0.0
1629,6.571254159228244e-06,0.0,1.1297523152669392e-05,0.0
1630,6.194256554538567e-06,8.624899854632012e-08,9.584121780140517e-06,8.624899854632012e-08
1631,4.073077012175677e-06,8.624899854632012e-08,1.1594072394213331e-05,8.624899854632012e-08
1632,4.347955414881913e-06,8.624899854632012e-08,1.1960576931154979e-05,8.624899854632012e-08
1633,5.352168792731911e-06,8.624899854632012e-08,1.0719938830204359e-05,8.624899854632012e-08
1634,6.4772908509829515e-06,8.624899854632012e-08,9.724957595023756e-06,8.624899854632012e-08
1635,5.266186105602953e-06,8.624899854632012e-08,9.26637620425806e-06,8.624899854632012e-08
1636,5.404811288047183e-06,8.624899854632012e-08,3.4067928790396503e-06,8.624899854632012e-08
1637,5.558847306019743e-06,0.0,3.4537752640062536e-06,0.0
1638,5.665397858527805e-06,0.0,1.2505060941033922e-06,0.0
1639,6.09135151665084e-06,0.0,9.06037555686063e-06,0.0
1640,9.586686603922448e-06,0.0,2.0334976795766124e-05,0.0
1641,9.116970139595132e-06,0.0,2.546710235102572e-05,0.0
1642,1.0247728693814548e-05,0.0,2.7302249577587645e-05,0.0
1643,9.751008487260801e-06,0.0,3.245062883446995e-05,0.0
1644,9.715696251078043e-06,0.0,3.369773191609836e-05,0.0
1645,9.926448845882468e-06,0.0,3.481634342149066e-05,0.0
1646,9.527831999938436e-06,0.0,3.0468028983575224e-05,0.0
1647,5.1107983836118365e-06,0.0,2.113724596191397e-05,0.0
1648,5.122309598196548e-06,0.0,1.8265862568763884e-05,0.0
1649,4.139822717011807e-06,0.0,1.8777548705527026e-05,0.0
1650,4.385968298135724e-06,0.0,1.4639332610905903e-05,0.0
1651,4.30900042504488e-06,0.0,1.4376751486062339e-05,0.0
1652,4.482654016361007e-06,5.567139688927065e-08,1.4078900546467463e-05,5.567139688927065e-08
1653,5.0095723703894435e-06,5.567139688927065e-08,1.3416623655107937e-05,5.567139688927065e-08
1654,5.402649841406466e-06,5.567139688927065e-08,1.3409871956225419e-05,5.567139688927065e-08
1655,6.929159131427046e-06,5.567139688927065e-08,1.4628100351339007e-05,5.567139688927065e-08
1656,7.250550684797677e-06,5.567139688927065e-08,1.2915569641336333e-05,5.567139688927065e-08
1657,7.512129676407702e-06,5.567139688927065e-08,1.3962934515023204e-05,5.567139688927065e-08
1658,8.70121344373079e-06,5.567139688927065e-08,1.4099322990140145e-05,5.567139688927065e-08
1659,8.640639602422848e-06,0.0,1.6026936464186292e-05,0.0
1660,8.693428818722687e-06,0.0,1.3582727011193388e-05,0.0
1661,8.391327128265402e-06,0.0,1.2449163412903935e-05,0.0
1662,6.205785309378241e-06,0.0,9.618172043701634e-06,0.0
1663,6.097042484855462e-06,0.0,1.1480278512213512e-05,0.0
1664,6.647089029294355e-06,0.0,1.2566989036193782e-05,0.0
1665,5.117279199242018e-06,0.0,1.1843880851561803e-05,0.0
1666,5.118806435738017e-06,0.0,1.0049742091463745e-05,0.0
1667,4.821025332343457e-06,0.0,1.0236833726854197e-05,0.0
1668,5.861768987155561e-06,0.0,1.1483898885801733e-05,0.0
1669,6.722504833435648e-06,0.0,1.3108828820155135e-05,0.0
1670,7.085875901274059e-06,0.0,1.297001888035863e-05,0.0
1671,6.334492305930846e-06,0.0,1.0529763780401222e-05,0.0
1672,7.506049314542906e-06,0.0,1.2470943797130271e-05,0.0
1673,7.200139732179066e-06,0.0,1.3092127898874293e-05,0.0
1674,7.038894864308531e-06,0.0,1.328950085215703e-05,0.0
1675,6.144134756271212e-06,3.431849953423287e-08,1.2440261473654704e-05,3.431849953423287e-08
1676,5.483344758821269e-06,3.431849953423287e-08,1.2277152693838747e-05,3.431849953423287e-08
1677,5.501241210887591e-06,3.431849953423287e-08,1.159886336868762e-05,3.431849953423287e-08
1678,5.359339378888503e-06,3.431849953423287e-08,1.3444457051394107e-05,3.431849953423287e-08
1679,6.108895019808967e-06,3.431849953423287e-08,1.4023755024287052e-05,3.431849953423287e-08
1680,6.013458297664849e-06,3.431849953423287e-08,1.3999333792266303e-05,3.431849953423287e-08
1681,6.060454292570025e-06,3.431849953423287e-08,1.5063753250745191e-05,3.431849953423287e-08
1682,6.378282738036692e-06,0.0,1.5983367510281304e-05,0.0
1683,6.088348689965122e-06,0.0,1.630994756851578e-05,0.0
1684,5.853617657131898e-06,0.0,1.577027926811882e-05,0.0
1685,6.511694761814267e-06,0.0,1.6857751948659177e-05,0.0
1686,5.950284470860165e-06,0.0,1.656579973184437e-05,0.0
1687,6.300522889952325e-06,0.0,1.7824398387996814e-05,0.0
1688,6.5295037399794505e-06,0.0,1.8402844164354194e-05,0.0
1689,6.799141439322349e-06,0.0,1.908092729406365e-05,0.0
1690,8.665893087059626e-06,0.0,2.0093618721667944e-05,0.0
1691,8.825642583230677e-06,0.0,2.2232428299113443e-05,0.0
1692,8.388548589469533e-06,0.0,2.096218304359354e-05,0.0
1693,7.586297670059139e-06,0.0,2.1220142766001766e-05,0.0
1694,8.882166184775997e-06,0.0,2.4054152163444087e-05,0.0
1695,9.67194565808833e-06,0.0,2.618989206634329e-05,0.0
1696,9.480140241586404e-06,0.0,2.69225786593909e-05,0.0
1697,8.94274100054255e-06,0.0,2.7457103507393705e-05,0.0
1698,1.070371282756761e-05,0.0,2.7850082135825816e-05,0.0
1699,1.0875315053583887e-05,0.0,3.301133256172761e-05,0.0
1700,1.121241913486821e-05,1.29978526989102e-08,3.704338554858363e-05,1.29978526989102e-08
1701,9.67462197617611e-06,2.2664612028425576e-08,3.646715517139195e-05,2.2664612028425576e-08
1702,9.803965375405304e-06,2.2664612028425576e-08,3.769494391495495e-05,2.2664612028425576e-08
1703,1.005165937125899e-05,3.370582187959112e-08,4.157832622045784e-05,3.370582187959112e-08
1704,1.0481876740543936e-05,4.2367588548586355e-08,4.324870964670221e-05,4.2367588548586355e-08
1705,1.556329951719298e-05,4.2367588548586355e-08,5.0236964203317515e-05,4.2367588548586355e-08
1706,1.578054492970945e-05,4.2367588548586355e-08,4.950919433862769e-05,4.2367588548586355e-08
1707,1.5725910803407066e-05,2.9369735849676156e-08,4.831592273798638e-05,2.9369735849676156e-08
1708,1.6708264216244322e-05,1.970297652016078e-08,5.153546330153144e-05,1.970297652016078e-08
1709,1.6160494137043963e-05,1.970297652016078e-08,5.012481311236375e-05,1.970297652016078e-08
1710,1.6293600245782208e-05,8.66176666899524e-09,4.8701173779720974e-05,8.66176666899524e-09
1711,1.6017132176265087e-05,0.0,5.0716407713480294e-05,0.0
1712,9.744272899427284e-06,0.0,4.627059960122486e-05,0.0
1713,9.49522700466332e-06,0.0,4.5874579622510024e-05,0.0
1714,1.0025773657876666e-05,9.571610551769742e-09,4.734045692852565e-05,9.571610551769742e-09
1715,9.651139797434943e-06,9.571610551769742e-09,4.4208805775269866e-05,9.571610551769742e-09
1716,1.0484729370676047e-05,9.571610551769742e-09,4.7299387266061134e-05,9.571610551769742e-09
1717,1.031302482650582e-05,9.571610551769742e-09,4.8575360519212806e-05,9.571610551769742e-09
1718,9.547525873391091e-06,1.731336699403333e-08,4.862512754958256e-05,1.731336699403333e-08
1719,9.970154029101e-06,1.731336699403333e-08,4.88973491883371e-05,1.731336699403333e-08
1720,9.800289327748552e-06,1.731336699403333e-08,4.981447584993605e-05,1.731336699403333e-08
1721,9.375033576881314e-06,7.741756442263587e-09,4.9195093846979686e-05,7.741756442263587e-09
1722,1.0240820042132068e-05,7.741756442263587e-09,4.786280831987304e-05,7.741756442263587e-09
1723,1.0597118619313863e-05,7.741756442263587e-09,4.578248314958598e-05,7.741756442263587e-09
1724,1.1222155080758967e-05,7.741756442263587e-09,4.589860951195338e-05,7.741756442263587e-09
1725,1.1548521017955085e-05,0.0,4.5651810588814055e-05,0.0
1726,1.1200023826469468e-05,0.0,4.7130922861729884e-05,0.0
1727,1.1840927267517795e-05,0.0,4.730230492506442e-05,0.0
1728,1.2661951196995297e-05,0.0,4.591721309615033e-05,0.0
1729,1.1973814252996817e-05,6.371976724039996e-09,4.845089071230697e-05,6.371976724039996e-09
1730,1.1407629894425294e-05,1.4555214684313406e-08,5.0431096626977834e-05,1.4555214684313406e-08
1731,1.0861854077250297e-05,1.4555214684313406e-08,5.0782864231483214e-05,1.4555214684313406e-08
1732,1.1611158697633073e-05,1.4555214684313406e-08,5.265641032435399e-05,1.4555214684313406e-08
1733,1.2060433488971154e-05,1.4555214684313406e-08,5.387959858385979e-05,1.4555214684313406e-08
1734,1.2161047119921672e-05,1.4555214684313406e-08,5.1925362640758976e-05,1.4555214684313406e-08
1735,1.1911602216839259e-05,1.4555214684313406e-08,5.419765095991481e-05,1.4555214684313406e-08
1736,1.2239626942443596e-05,8.18323796027341e-09,5.5562150789358255e-05,8.18323796027341e-09
1737,1.3418172524585056e-05,0.0,5.639043125224167e-05,0.0
1738,1.3788670003123116e-05,5.491816271582398e-09,5.771131587347814e-05,5.491816271582398e-09
1739,1.4179688800400722e-05,5.491816271582398e-09,5.960530272984345e-05,5.491816271582398e-09
1740,1.4538522009388544e-05,2.046637348485092e-08,6.0157853502979765e-05,2.046637348485092e-08
1741,1.5376005389303566e-05,2.046637348485092e-08,6.378087813832931e-05,2.046637348485092e-08
1742,1.5563622452776015e-05,2.046637348485092e-08,6.452276803819197e-05,2.046637348485092e-08
1743,1.5121844496336831e-05,2.046637348485092e-08,6.565337025676854e-05,2.046637348485092e-08
1744,1.3892142825560378e-05,2.046637348485092e-08,6.64538040707287e-05,2.046637348485092e-08
1745,1.3689702297727178e-05,2.128613323699418e-08,6.497324959907149e-05,2.128613323699418e-08
1746,1.3821197561420767e-05,2.128613323699418e-08,6.038016519076856e-05,2.128613323699418e-08
1747,1.466110032717032e-05,6.311576023725658e-09,5.907813517426673e-05,6.311576023725658e-09
1748,1.4551255974635882e-05,6.311576023725658e-09,5.855365608502845e-05,6.311576023725658e-09
1749,1.6148582030187493e-05,6.311576023725658e-09,5.827705068181136e-05,6.311576023725658e-09
1750,1.7509239764227198e-05,6.311576023725658e-09,5.99631727839421e-05,6.311576023725658e-09
1751,1.863968619935414e-05,9.880714659159042e-09,5.892975449179565e-05,9.880714659159042e-09
1752,2.1831055554295225e-05,7.46772878455561e-09,6.125587814105009e-05,7.46772878455561e-09
1753,2.216584575113042e-05,7.46772878455561e-09,6.337772408317375e-05,7.46772878455561e-09
1754,2.174941541202965e-05,7.46772878455561e-09,6.366258769828294e-05,7.46772878455561e-09
1755,2.136182255136581e-05,7.46772878455561e-09,6.405765764481788e-05,7.46772878455561e-09
1756,2.054438898215137e-05,7.46772878455561e-09,6.676490374957211e-05,7.46772878455561e-09
1757,1.9983705117608353e-05,7.46772878455561e-09,6.540601472287173e-05,7.46772878455561e-09
1758,1.9472806343401317e-05,3.898590149122226e-09,6.664322219356629e-05,3.898590149122226e-09
1759,1.7691133507469203e-05,6.9575898058766535e-09,6.73086043596933e-05,6.9575898058766535e-09
1760,1.769859526185818e-05,6.9575898058766535e-09,6.887055912687044e-05,6.9575898058766535e-09
1761,1.9115995980558053e-05,6.9575898058766535e-09,6.752423463954724e-05,6.9575898058766535e-09
1762,2.1583015950454865e-05,6.9575898058766535e-09,6.51502497411067e-05,6.9575898058766535e-09
1763,2.196408045814938e-05,6.9575898058766535e-09,6.17927398707252e-05,6.9575898058766535e-09
