ngram,computer,comuter,computr,comptuer
1632,2.5144189359187815e-06,0.0,0.0,0.0
1633,2.5144189359187815e-06,0.0,0.0,0.0
1634,5.476454784262127e-06,0.0,0.0,0.0
1635,4.428268766787369e-06,0.0,0.0,0.0
1636,4.428268766787369e-06,0.0,0.0,0.0
1637,2.962035848343346e-06,0.0,0.0,0.0
1638,2.962035848343346e-06,0.0,0.0,0.0
1639,4.052219082950614e-06,0.0,0.0,0.0
1640,4.052219082950614e-06,0.0,0.0,0.0
1641,1.0901832346072687e-06,0.0,0.0,0.0
1642,1.1981330690754736e-06,0.0,0.0,0.0
1643,1.1981330690754736e-06,0.0,0.0,0.0
1644,1.1981330690754736e-06,0.0,0.0,0.0
1645,1.1981330690754736e-06,0.0,0.0,0.0
1646,7.123802642386831e-07,0.0,0.0,0.0
1647,7.123802642386831e-07,0.0,0.0,0.0
1648,7.582295000117613e-07,0.0,0.0,0.0
1649,6.502796655435564e-07,0.0,0.0,0.0
1650,6.502796655435564e-07,0.0,0.0,0.0
1651,7.362798279635692e-07,0.0,0.0,0.0
1652,7.362798279635692e-07,0.0,0.0,0.0
1653,1.3184939819309095e-07,0.0,0.0,0.0
1654,1.3184939819309095e-07,0.0,0.0,0.0
1655,8.600016242001272e-08,0.0,0.0,0.0
1656,3.12536810400031e-07,0.0,0.0,0.0
1657,3.12536810400031e-07,0.0,0.0,0.0
1658,3.8738354695461954e-07,0.0,0.0,0.0
1659,3.8738354695461954e-07,0.0,0.0,0.0
1660,3.8738354695461954e-07,0.0,0.0,0.0
1661,3.8738354695461954e-07,0.0,0.0,0.0
1662,3.8738354695461954e-07,0.0,0.0,0.0
1663,1.608468989746013e-07,0.0,0.0,0.0
1664,1.608468989746013e-07,0.0,0.0,0.0
1665,0.0,0.0,0.0,0.0
1666,3.9948397605777634e-08,0.0,0.0,0.0
1667,3.9948397605777634e-08,0.0,0.0,0.0
1668,3.9948397605777634e-08,0.0,0.0,0.0
1669,3.9948397605777634e-08,0.0,0.0,0.0
1670,3.9948397605777634e-08,0.0,0.0,0.0
1671,3.9948397605777634e-08,0.0,0.0,0.0
1672,4.3355802046919833e-07,0.0,0.0,0.0
1673,3.936096228634207e-07,0.0,0.0,0.0
