ngram,variation,variation,varition,varation
1715,2.7363447868213242e-06,2.7363447868213242e-06,0.0,0.0
1716,2.7938490023059004e-06,2.7938490023059004e-06,0.0,0.0
1717,2.5774327728608374e-06,2.5774327728608374e-06,0.0,0.0
1718,2.6950859494588386e-06,2.6950859494588386e-06,0.0,0.0
1719,2.656277274581953e-06,2.656277274581953e-06,0.0,0.0
1720,3.0613443219148654e-06,3.0613443219148654e-06,0.0,0.0
1721,2.45312948469031e-06,2.45312948469031e-06,0.0,0.0
1722,2.6263414513648186e-06,2.6263414513648186e-06,0.0,0.0
1723,2.88604857295078e-06,2.88604857295078e-06,0.0,0.0
1724,3.1535046381187774e-06,3.1535046381187774e-06,5.870919750350367e-09,0.0
1725,3.3918066394887447e-06,3.3918066394887447e-06,5.870919750350367e-09,0.0
1726,4.106291141527306e-06,4.106291141527306e-06,5.870919750350367e-09,0.0
1727,4.434241743313448e-06,4.434241743313448e-06,5.870919750350367e-09,0.0
1728,4.540774917976316e-06,4.540774917976316e-06,5.870919750350367e-09,0.0
1729,3.980596635041625e-06,3.980596635041625e-06,5.870919750350367e-09,0.0
1730,4.1602200846162825e-06,4.1602200846162825e-06,5.870919750350367e-09,0.0
1731,3.936574021931197e-06,3.936574021931197e-06,0.0,0.0
1732,3.663144769104422e-06,3.663144769104422e-06,0.0,0.0
1733,3.175679613117869e-06,3.175679613117869e-06,0.0,0.0
1734,2.8936486842212616e-06,2.8936486842212616e-06,0.0,0.0
1735,2.8153254366510997e-06,2.8153254366510997e-06,0.0,0.0
1736,3.1252824978115053e-06,3.1252824978115053e-06,0.0,3.3073949420473325e-08
1737,3.035708183623293e-06,3.035708183623293e-06,0.0,3.3073949420473325e-08
1738,3.398514081709436e-06,3.398514081709436e-06,0.0,3.3073949420473325e-08
1739,5.454866270935911e-06,5.454866270935911e-06,3.2309164867326346e-09,3.3073949420473325e-08
1740,5.306159664542065e-06,5.306159664542065e-06,3.2309164867326346e-09,3.3073949420473325e-08
1741,5.229753664285194e-06,5.229753664285194e-06,3.2309164867326346e-09,3.3073949420473325e-08
1742,5.633875551731242e-06,5.633875551731242e-06,3.2309164867326346e-09,3.3073949420473325e-08
1743,5.377097165494758e-06,5.377097165494758e-06,3.2309164867326346e-09,0.0
1744,5.274034817505578e-06,5.274034817505578e-06,3.2309164867326346e-09,0.0
1745,5.6570001691267994e-06,5.6570001691267994e-06,3.2309164867326346e-09,0.0
1746,3.993169782136517e-06,3.993169782136517e-06,0.0,0.0
1747,4.299248757888563e-06,4.299248757888563e-06,0.0,0.0
1748,4.355876431613329e-06,4.355876431613329e-06,0.0,0.0
1749,4.2355554147174445e-06,4.2355554147174445e-06,0.0,0.0
1750,4.962622857159918e-06,4.962622857159918e-06,0.0,0.0
1751,5.455826859750752e-06,5.455826859750752e-06,0.0,0.0
1752,6.031215304704217e-06,6.031215304704217e-06,0.0,0.0
1753,6.7278401729709e-06,6.7278401729709e-06,0.0,0.0
1754,7.074696246231074e-06,7.074696246231074e-06,0.0,0.0
1755,7.442175046890043e-06,7.442175046890043e-06,0.0,0.0
1756,8.312246466500386e-06,8.312246466500386e-06,0.0,1.2141882166361029e-08
1757,9.010641601240163e-06,9.010641601240163e-06,0.0,1.5187005431016587e-08
1758,9.201181131045035e-06,9.201181131045035e-06,0.0,1.5187005431016587e-08
1759,8.585878276790027e-06,8.585878276790027e-06,0.0,1.5187005431016587e-08
1760,8.13721862868988e-06,8.13721862868988e-06,0.0,1.5187005431016587e-08
1761,8.78048643114328e-06,8.78048643114328e-06,0.0,1.5187005431016587e-08
1762,8.809226398755396e-06,8.809226398755396e-06,0.0,1.5187005431016587e-08
1763,8.357878544172439e-06,8.357878544172439e-06,0.0,1.723849659843576e-08
1764,8.967906134265441e-06,8.967906134265441e-06,0.0,1.4193373333780203e-08
1765,9.139595736736997e-06,9.139595736736997e-06,0.0,1.714078174635298e-08
1766,9.924110340112488e-06,9.924110340112488e-06,0.0,1.714078174635298e-08
1767,1.0747328880305368e-05,1.0747328880305368e-05,0.0,1.714078174635298e-08
1768,1.1237392170317304e-05,1.1237392170317304e-05,0.0,1.714078174635298e-08
1769,1.1538996594546397e-05,1.1538996594546397e-05,0.0,1.714078174635298e-08
1770,1.3278470240558299e-05,1.3278470240558299e-05,0.0,2.9474084125727782e-09
1771,1.413163941573917e-05,1.413163941573917e-05,0.0,1.3477983681501167e-08
1772,1.580597563588526e-05,1.580597563588526e-05,0.0,1.053057526892839e-08
1773,1.5999037584281594e-05,1.5999037584281594e-05,0.0,1.053057526892839e-08
1774,1.600304325880383e-05,1.600304325880383e-05,0.0,1.053057526892839e-08
1775,1.571180967273124e-05,1.571180967273124e-05,0.0,1.3419264429817953e-08
1776,1.6180898585714332e-05,1.6180898585714332e-05,0.0,1.3419264429817953e-08
1777,1.4702650462693003e-05,1.4702650462693003e-05,0.0,1.3419264429817953e-08
1778,1.3388415547004634e-05,1.3388415547004634e-05,0.0,2.8886891608895635e-09
1779,1.1728060599125456e-05,1.1728060599125456e-05,0.0,2.8886891608895635e-09
1780,1.1499381149146107e-05,1.1499381149146107e-05,0.0,2.8886891608895635e-09
1781,1.1318828001094516e-05,1.1318828001094516e-05,1.9125168750276445e-09,2.8886891608895635e-09
1782,1.2080811887114709e-05,1.2080811887114709e-05,1.9125168750276445e-09,2.1581334814462546e-09
1783,1.228854320548375e-05,1.228854320548375e-05,1.9125168750276445e-09,2.1581334814462546e-09
1784,1.3666976363830535e-05,1.3666976363830535e-05,1.9125168750276445e-09,2.1581334814462546e-09
1785,1.4162832615381507e-05,1.4162832615381507e-05,1.9125168750276445e-09,2.1581334814462546e-09
1786,1.4073610665426323e-05,1.4073610665426323e-05,1.9125168750276445e-09,2.1581334814462546e-09
1787,1.419682497986027e-05,1.419682497986027e-05,1.9125168750276445e-09,2.1581334814462546e-09
1788,1.4202557784821173e-05,1.4202557784821173e-05,0.0,2.1581334814462546e-09
1789,1.3431488436513714e-05,1.3431488436513714e-05,0.0,0.0
1790,1.3273568973610444e-05,1.3273568973610444e-05,0.0,0.0
1791,1.2439820238796528e-05,1.2439820238796528e-05,0.0,0.0
1792,1.1954584936445047e-05,1.1954584936445047e-05,0.0,0.0
1793,1.2636782750113135e-05,1.2636782750113135e-05,0.0,0.0
