ngram,sale,sle,sale,salle
1599,4.528826814618826e-05,5.884680344284529e-07,4.528826814618826e-05,0.0
1600,4.8442392393813603e-05,5.884680344284529e-07,4.8442392393813603e-05,0.0
1601,4.338427476925842e-05,6.161603128670581e-07,4.338427476925842e-05,0.0
1602,4.165711093914329e-05,6.161603128670581e-07,4.165711093914329e-05,0.0
1603,3.8465932058378325e-05,1.953238617196413e-07,3.8465932058378325e-05,0.0
1604,3.950713874343949e-05,1.953238617196413e-07,3.950713874343949e-05,0.0
1605,3.4447911665275956e-05,1.953238617196413e-07,3.4447911665275956e-05,0.0
1606,1.584887650096789e-05,1.953238617196413e-07,1.584887650096789e-05,0.0
1607,1.2548142422019737e-05,1.953238617196413e-07,1.2548142422019737e-05,0.0
1608,1.3168943886349943e-05,0.0,1.3168943886349943e-05,1.996775966160515e-07
1609,1.1667078946889628e-05,0.0,1.1667078946889628e-05,1.996775966160515e-07
1610,1.0910776349451875e-05,0.0,1.0910776349451875e-05,1.996775966160515e-07
1611,1.5463974997536362e-05,0.0,1.5463974997536362e-05,1.996775966160515e-07
1612,1.6471667972187527e-05,0.0,1.6471667972187527e-05,1.996775966160515e-07
1613,1.6388090606207178e-05,0.0,1.6388090606207178e-05,1.996775966160515e-07
1614,1.7619252080943886e-05,3.296097474958515e-07,1.7619252080943886e-05,1.996775966160515e-07
1615,1.6783717813138666e-05,3.296097474958515e-07,1.6783717813138666e-05,3.809432525615973e-07
1616,1.6766794390475426e-05,3.296097474958515e-07,1.6766794390475426e-05,3.809432525615973e-07
1617,1.711006984805863e-05,4.531510821185033e-07,1.711006984805863e-05,3.809432525615973e-07
1618,1.2103871118337598e-05,4.531510821185033e-07,1.2103871118337598e-05,3.809432525615973e-07
1619,1.1996746934528346e-05,4.531510821185033e-07,1.1996746934528346e-05,4.934777523755786e-07
1620,1.5838543504287372e-05,5.538899959641899e-07,1.5838543504287372e-05,4.934777523755786e-07
1621,1.4752974915869085e-05,4.026982440206796e-07,1.4752974915869085e-05,4.934777523755786e-07
1622,1.420213363547061e-05,4.026982440206796e-07,1.420213363547061e-05,1.1253449981398132e-07
1623,1.626643678978975e-05,4.026982440206796e-07,1.626643678978975e-05,3.8194869083391883e-07
1624,1.6823009738280753e-05,2.7915690939802775e-07,1.6823009738280753e-05,3.8194869083391883e-07
1625,1.241295344048662e-05,2.7915690939802775e-07,1.241295344048662e-05,3.8194869083391883e-07
1626,1.6456375630826058e-05,2.7915690939802775e-07,1.6456375630826058e-05,2.6941419101993755e-07
1627,1.1336016898764814e-05,3.381893358372119e-07,1.1336016898764814e-05,2.6941419101993755e-07
1628,1.0968019945981464e-05,2.9079459246921555e-07,1.0968019945981464e-05,2.6941419101993755e-07
1629,1.2159973591354043e-05,2.9079459246921555e-07,1.2159973591354043e-05,2.6941419101993755e-07
1630,1.0166490905508649e-05,2.9079459246921555e-07,1.0166490905508649e-05,0.0
1631,9.338064403761695e-06,2.9079459246921555e-07,9.338064403761695e-06,0.0
1632,1.0846889771138584e-05,2.9079459246921555e-07,1.0846889771138584e-05,0.0
1633,1.242022777400312e-05,2.9079459246921555e-07,1.242022777400312e-05,0.0
1634,1.2964612226694174e-05,1.310232521843448e-07,1.2964612226694174e-05,0.0
1635,1.3592995173894451e-05,8.231971345854358e-08,1.3592995173894451e-05,0.0
1636,1.4621639788206916e-05,8.231971345854358e-08,1.4621639788206916e-05,0.0
1637,1.7555760613114607e-05,1.5547984081162474e-07,1.7555760613114607e-05,0.0
1638,1.70635461407593e-05,2.2281487791328152e-07,1.70635461407593e-05,0.0
1639,1.755337452128255e-05,2.2281487791328152e-07,1.755337452128255e-05,0.0
1640,1.3063320011497126e-05,4.284309877026057e-07,1.3063320011497126e-05,0.0
1641,1.2677169576948342e-05,4.88153075041607e-07,1.2677169576948342e-05,0.0
1642,1.2388292296756326e-05,4.058333615830634e-07,1.2388292296756326e-05,0.0
1643,1.0046971259011375e-05,4.058333615830634e-07,1.0046971259011375e-05,0.0
1644,8.331511846141179e-06,3.326732342299822e-07,8.331511846141179e-06,0.0
1645,1.0316008074693985e-05,3.144550281116868e-07,1.0316008074693985e-05,0.0
1646,8.40572294334509e-06,3.144550281116868e-07,8.40572294334509e-06,0.0
1647,1.1243415274618331e-05,1.0883891832236259e-07,1.1243415274618331e-05,0.0
1648,1.259960800682945e-05,4.9116830983361326e-08,1.259960800682945e-05,0.0
1649,1.2127148214144004e-05,4.9116830983361326e-08,1.2127148214144004e-05,0.0
1650,1.3398349990114053e-05,4.9116830983361326e-08,1.3398349990114053e-05,0.0
1651,1.2049444161935493e-05,9.211691219336768e-08,1.2049444161935493e-05,0.0
1652,1.360194330248175e-05,1.5434287498854766e-07,1.360194330248175e-05,5.567139688927065e-08
1653,1.6716288720480016e-05,1.5434287498854766e-07,1.6716288720480016e-05,1.310471751431968e-07
1654,1.2468124525964544e-05,2.7879242939629225e-07,1.2468124525964544e-05,1.310471751431968e-07
1655,1.1796215955785425e-05,2.7879242939629225e-07,1.1796215955785425e-05,1.310471751431968e-07
1656,1.222060901844608e-05,3.240997606163936e-07,1.222060901844608e-05,1.310471751431968e-07
