ngram,student,stuent,studnt,studdent
1627,6.016108142960418e-06,0.0,0.0,0.0
1628,5.837690147408077e-06,0.0,0.0,0.0
1629,6.167807522875332e-06,0.0,0.0,0.0
1630,2.2021764607416117e-06,0.0,0.0,0.0
1631,2.336244181476234e-06,0.0,0.0,0.0
1632,3.4357577923011765e-06,0.0,0.0,0.0
1633,2.0580268937919755e-06,0.0,0.0,0.0
1634,2.3048632199009134e-06,0.0,0.0,0.0
1635,2.4695026468180004e-06,0.0,0.0,0.0
1636,2.9209849442070535e-06,0.0,0.0,0.0
1637,2.7954693320810165e-06,0.0,0.0,0.0
1638,2.9160796332559713e-06,0.0,0.0,0.0
1639,2.5952683050231177e-06,0.0,0.0,0.0
1640,2.5952683050231177e-06,0.0,0.0,0.0
1641,2.527598244991428e-06,0.0,0.0,0.0
1642,2.3629588180743407e-06,0.0,0.0,0.0
1643,1.5813591452180326e-06,0.0,0.0,0.0
1644,2.645139277644505e-06,0.0,0.0,0.0
1645,2.3393627251217756e-06,0.0,0.0,0.0
1646,1.560660442529687e-06,0.0,0.0,0.0
1647,1.7687515472581644e-06,0.0,0.0,0.0
1648,1.6354345169539947e-06,0.0,0.0,0.0
1649,1.7136622919419357e-06,0.0,0.0,0.0
1650,1.9332629709164654e-06,0.0,0.0,0.0
1651,9.940031061108e-07,0.0,0.0,0.0
1652,1.5638261743333715e-06,0.0,0.0,0.0
1653,2.0914566302313427e-06,0.0,0.0,0.0
1654,1.9248487116588616e-06,0.0,0.0,0.0
1655,2.053308617990167e-06,0.0,0.0,0.0
1656,2.4281541389622622e-06,0.0,0.0,0.0
1657,2.6256199581504395e-06,0.0,0.0,0.0
1658,2.817775660040362e-06,0.0,0.0,0.0
1659,2.5357251445257134e-06,0.0,0.0,0.0
1660,2.489143489421102e-06,0.0,0.0,0.0
1661,2.8507727490380475e-06,0.0,0.0,0.0
1662,2.8388630458461454e-06,0.0,0.0,0.0
1663,2.9770445897676316e-06,0.0,0.0,0.0
1664,2.8350989720950437e-06,0.0,0.0,0.0
1665,2.29894262052507e-06,0.0,0.0,0.0
1666,2.0327815946075134e-06,0.0,0.0,0.0
1667,2.6875638273590345e-06,0.0,0.0,0.0
1668,2.284451381586093e-06,0.0,0.0,0.0
1669,2.211914217501284e-06,0.0,0.0,0.0
1670,1.8139052225965964e-06,0.0,0.0,0.0
1671,1.6561149241819554e-06,0.0,0.0,0.0
1672,1.77911792726653e-06,0.0,0.0,0.0
1673,1.807729964704257e-06,0.0,0.0,0.0
1674,9.972041701595508e-07,0.0,0.0,0.0
1675,1.0315226696937835e-06,0.0,0.0,0.0
1676,9.846069052140853e-07,0.0,0.0,0.0
1677,8.249472581870318e-07,0.0,0.0,0.0
1678,7.872909618202227e-07,0.0,0.0,0.0
1679,8.950056513055773e-07,0.0,0.0,0.0
1680,7.827522828003046e-07,0.0,0.0,0.0
