ngram,score,sore,scre,scre
1662,9.680455312783514e-06,1.0575596141799387e-05,0.0,0.0
1663,1.150178669766839e-05,1.157460396175988e-05,0.0,0.0
1664,1.2322146760977506e-05,1.1604941196960031e-05,0.0,0.0
1665,1.3681929950897548e-05,1.1328744676575297e-05,0.0,0.0
1666,1.176120713353157e-05,1.0842552455869736e-05,0.0,0.0
1667,1.1774590997707232e-05,1.0897922883097116e-05,0.0,0.0
1668,1.2015332101457585e-05,1.1926221824459e-05,0.0,0.0
1669,1.0619071092930557e-05,9.93087896209285e-06,0.0,0.0
1670,9.413526770783522e-06,8.798707930119626e-06,0.0,0.0
1671,8.386636766642499e-06,8.00667187052438e-06,0.0,0.0
1672,7.646925496374024e-06,8.45005703402941e-06,0.0,0.0
1673,7.696953421795375e-06,8.186437136308606e-06,0.0,0.0
1674,8.545484433852835e-06,9.261430380190308e-06,0.0,0.0
1675,8.153473117999965e-06,8.596638735980378e-06,0.0,0.0
1676,8.182711878492097e-06,9.22495935031163e-06,0.0,0.0
1677,8.83689153852174e-06,9.090113703028432e-06,0.0,0.0
1678,9.154570826857317e-06,9.471183407835529e-06,0.0,0.0
1679,8.644352094831578e-06,8.787370981216164e-06,0.0,0.0
1680,8.533170005518644e-06,8.194613331267777e-06,0.0,0.0
1681,8.070365570996988e-06,8.046959594919048e-06,0.0,0.0
1682,8.067320322879823e-06,7.5694589603309784e-06,0.0,0.0
1683,8.138777567572625e-06,7.77331959917709e-06,0.0,0.0
1684,7.084883951132984e-06,8.157937177851896e-06,0.0,0.0
1685,6.174662108345988e-06,7.251449785274287e-06,0.0,0.0
1686,6.495674824691378e-06,8.451185944327985e-06,0.0,0.0
1687,6.383372497761489e-06,8.457487703188754e-06,0.0,0.0
1688,6.073195956040374e-06,7.705611031789366e-06,0.0,0.0
1689,6.455048995641326e-06,8.331282515428029e-06,0.0,0.0
1690,6.164322777684512e-06,8.510491300382586e-06,0.0,0.0
1691,6.701262464048341e-06,9.004631270467403e-06,0.0,0.0
1692,7.270997879719029e-06,1.0021732188241523e-05,0.0,0.0
1693,7.3385650206806275e-06,8.81835577664398e-06,0.0,0.0
1694,7.034230813068072e-06,8.456006915886455e-06,0.0,0.0
1695,7.078900775273464e-06,8.79594667172309e-06,0.0,0.0
1696,6.91850800649263e-06,8.256937690021005e-06,0.0,0.0
1697,9.154960870156564e-06,8.355513533128292e-06,0.0,0.0
1698,8.83315955694083e-06,7.657948637123419e-06,0.0,0.0
1699,8.989221246987914e-06,6.698813259780374e-06,0.0,0.0
1700,8.864481515047373e-06,8.458762230085476e-06,0.0,0.0
1701,9.2509562819032e-06,8.99485309803692e-06,0.0,0.0
1702,8.785925794135047e-06,9.037402118597779e-06,0.0,0.0
1703,8.506905097809586e-06,9.27242302038524e-06,1.104120985116554e-08,1.104120985116554e-08
1704,6.281510520368881e-06,8.816434728942113e-06,1.104120985116554e-08,1.104120985116554e-08
1705,6.194918114488246e-06,1.0588763026524767e-05,1.104120985116554e-08,1.104120985116554e-08
1706,6.362769129607061e-06,1.1438654317836544e-05,1.104120985116554e-08,1.104120985116554e-08
1707,6.084847037917436e-06,1.0090257871654882e-05,1.104120985116554e-08,1.104120985116554e-08
1708,5.880236390761898e-06,1.024216830306354e-05,1.104120985116554e-08,1.104120985116554e-08
1709,5.642366561785041e-06,1.0065699046078538e-05,1.104120985116554e-08,1.104120985116554e-08
1710,5.5161725478163655e-06,1.0294615094608162e-05,0.0,0.0
1711,6.074154888275578e-06,1.0870730355756158e-05,0.0,0.0
1712,5.685565156454686e-06,1.1538097559033694e-05,1.086341987794575e-08,1.086341987794575e-08
1713,5.308761891293605e-06,1.2236661729860185e-05,1.086341987794575e-08,1.086341987794575e-08
1714,5.3085606331088845e-06,1.1900826653540467e-05,1.086341987794575e-08,1.086341987794575e-08
1715,4.928144172871336e-06,1.165790627055685e-05,1.086341987794575e-08,1.086341987794575e-08
1716,4.9948405376198934e-06,1.2696470223870295e-05,1.086341987794575e-08,1.086341987794575e-08
1717,5.102965425456725e-06,1.304622602609535e-05,1.086341987794575e-08,1.086341987794575e-08
1718,4.160253638474387e-06,1.243214540279171e-05,1.086341987794575e-08,1.086341987794575e-08
1719,4.509984689450773e-06,1.0022567883944638e-05,0.0,0.0
1720,4.030934893048002e-06,1.0828054590612218e-05,0.0,0.0
1721,4.161333630950789e-06,1.1557359942214265e-05,8.760058075755036e-09,8.760058075755036e-09
1722,4.950428741981991e-06,1.262120180659362e-05,2.4215231470796946e-08,2.4215231470796946e-08
1723,5.2321573938180725e-06,1.1702268368805693e-05,2.4215231470796946e-08,2.4215231470796946e-08
1724,5.595884983579578e-06,1.0867690564607204e-05,2.4215231470796946e-08,2.4215231470796946e-08
1725,6.208409981159743e-06,1.0605465701831105e-05,2.4215231470796946e-08,2.4215231470796946e-08
1726,6.828086205652133e-06,1.0867441947734083e-05,2.4215231470796946e-08,2.4215231470796946e-08
1727,6.667048150380392e-06,8.432279433431436e-06,2.4215231470796946e-08,2.4215231470796946e-08
1728,6.475124369639421e-06,7.298939246019083e-06,1.545517339504191e-08,1.545517339504191e-08
1729,5.941795702061167e-06,6.058608115771287e-06,0.0,0.0
1730,5.629413115976993e-06,6.479349979469719e-06,0.0,0.0
1731,4.952138981804767e-06,6.5553469669664215e-06,0.0,0.0
1732,4.420432203135403e-06,7.375448798744141e-06,0.0,0.0
1733,3.5273387441390824e-06,7.296665314372928e-06,0.0,0.0
1734,3.804373201481732e-06,7.9491633836629e-06,5.161731613562941e-09,5.161731613562941e-09
1735,3.615720580845456e-06,8.22586415389586e-06,5.161731613562941e-09,5.161731613562941e-09
1736,3.4496494793399634e-06,8.843810129682034e-06,5.161731613562941e-09,5.161731613562941e-09
1737,3.4349514602841476e-06,8.225937952894518e-06,5.161731613562941e-09,5.161731613562941e-09
1738,3.636455273538429e-06,8.701908752430296e-06,1.0653547885145339e-08,1.0653547885145339e-08
1739,3.739141512986472e-06,8.260620234068483e-06,1.3884464371877975e-08,1.3884464371877975e-08
1740,3.5299870303008774e-06,8.231274413057171e-06,1.3884464371877975e-08,1.3884464371877975e-08
1741,3.468770598504177e-06,7.728997973442478e-06,8.722732758315033e-09,8.722732758315033e-09
1742,3.6229212128091604e-06,8.098028177170948e-06,8.722732758315033e-09,8.722732758315033e-09
1743,3.6910058237741135e-06,7.830161588831938e-06,8.722732758315033e-09,8.722732758315033e-09
1744,4.009322797823448e-06,8.11041724903459e-06,8.722732758315033e-09,8.722732758315033e-09
1745,4.010314536831824e-06,7.442393455546283e-06,3.2309164867326346e-09,3.2309164867326346e-09
1746,3.969602045929475e-06,7.784001094738155e-06,0.0,0.0
1747,4.164210914885709e-06,7.928631670698191e-06,0.0,0.0
1748,4.531768224426612e-06,8.283020503897984e-06,0.0,0.0
1749,4.699718764251364e-06,7.951805270879828e-06,0.0,0.0
1750,4.737109130863766e-06,7.932125624522865e-06,0.0,0.0
1751,4.957868311196632e-06,8.148241444619739e-06,0.0,0.0
1752,5.332916121655476e-06,8.319275041555687e-06,0.0,0.0
1753,5.70057799060513e-06,8.354188594239531e-06,0.0,0.0
1754,6.1307167535622805e-06,8.411274458402268e-06,0.0,0.0
1755,5.670125801771064e-06,9.809223554059696e-06,0.0,0.0
1756,5.567499134225987e-06,9.683899601701082e-06,6.070941083180514e-09,6.070941083180514e-09
