ngram,history,hitory,hisory,histroy
1626,4.9792023414089014e-05,0.0,0.0,0.0
1627,5.011478281500915e-05,0.0,0.0,0.0
1628,5.529570249304275e-05,0.0,0.0,0.0
1629,4.740326754212479e-05,0.0,0.0,0.0
1630,2.8286439114058988e-05,0.0,0.0,0.0
1631,3.073018706345465e-05,0.0,0.0,0.0
1632,2.9270905932727536e-05,0.0,0.0,0.0
1633,2.4352917145214243e-05,0.0,0.0,0.0
1634,2.3843972615265686e-05,0.0,0.0,0.0
1635,1.6137292082670944e-05,0.0,0.0,0.0
1636,1.8577022534113246e-05,0.0,0.0,0.0
1637,1.7923266698614627e-05,0.0,0.0,0.0
1638,1.574559441256237e-05,0.0,0.0,0.0
1639,1.4998350187462555e-05,0.0,0.0,0.0
1640,1.5306682014072847e-05,0.0,0.0,0.0
1641,1.620659960670829e-05,0.0,0.0,0.0
1642,1.782975998919158e-05,0.0,0.0,0.0
1643,1.4567930845389907e-05,0.0,0.0,0.0
1644,2.0932110536315512e-05,0.0,0.0,0.0
1645,2.4714987960448654e-05,4.9116830983361326e-08,0.0,0.0
1646,2.3134122979432243e-05,4.9116830983361326e-08,0.0,0.0
1647,2.5020555312949e-05,4.9116830983361326e-08,0.0,0.0
1648,2.6060722315638225e-05,4.9116830983361326e-08,0.0,0.0
1649,2.7731793579732766e-05,2.8380014782669605e-07,0.0,0.0
1650,2.937345483847561e-05,2.8380014782669605e-07,0.0,0.0
1651,2.589356076246726e-05,2.8380014782669605e-07,0.0,0.0
1652,2.1980812951889156e-05,2.3468331684333471e-07,0.0,0.0
1653,2.7077442739807467e-05,2.3468331684333471e-07,0.0,0.0
1654,2.8291406904047888e-05,2.3468331684333471e-07,0.0,0.0
1655,2.6773280686549178e-05,2.3468331684333471e-07,0.0,0.0
1656,2.4299673116599608e-05,0.0,0.0,0.0
1657,3.403743773690492e-05,0.0,0.0,0.0
1658,3.124982075470533e-05,0.0,0.0,0.0
1659,3.368720652880646e-05,0.0,0.0,0.0
1660,3.611868916258183e-05,0.0,0.0,0.0
1661,3.430607869501857e-05,0.0,0.0,0.0
1662,3.378026043979584e-05,0.0,0.0,0.0
1663,3.445078021156535e-05,0.0,0.0,0.0
1664,2.596880247957805e-05,0.0,0.0,0.0
1665,2.5201602706407096e-05,0.0,0.0,0.0
1666,2.4252561875722938e-05,0.0,0.0,0.0
1667,1.6929964593665708e-05,0.0,0.0,0.0
1668,1.6217665363780854e-05,0.0,0.0,0.0
1669,1.6331008282577386e-05,0.0,0.0,0.0
1670,1.4638553628693834e-05,0.0,0.0,0.0
1671,1.117777069988993e-05,0.0,0.0,0.0
1672,1.259722837078568e-05,0.0,0.0,0.0
1673,9.500599259938878e-06,0.0,0.0,0.0
1674,9.96040625977912e-06,0.0,0.0,0.0
1675,8.871763839124469e-06,0.0,0.0,0.0
1676,8.122196244845067e-06,0.0,0.0,0.0
1677,7.461451137455047e-06,0.0,0.0,0.0
1678,7.429610442548957e-06,0.0,0.0,0.0
1679,5.898397116002993e-06,0.0,0.0,0.0
1680,6.691775849633684e-06,0.0,0.0,0.0
1681,6.875982307974482e-06,0.0,0.0,0.0
1682,7.629199574564284e-06,0.0,0.0,0.0
1683,6.817967687311466e-06,0.0,0.0,0.0
1684,7.069571146140723e-06,0.0,0.0,0.0
1685,7.479432984577475e-06,0.0,0.0,0.0
1686,8.869154401379222e-06,0.0,0.0,0.0
1687,8.73440665470428e-06,4.1200089689092627e-08,0.0,0.0
1688,8.509459251269749e-06,4.1200089689092627e-08,0.0,0.0
1689,8.685496368343593e-06,4.1200089689092627e-08,0.0,0.0
1690,1.0585987573514493e-05,4.1200089689092627e-08,0.0,0.0
1691,1.065331681664767e-05,4.1200089689092627e-08,0.0,0.0
1692,9.9870918412697e-06,4.1200089689092627e-08,0.0,0.0
1693,9.515387611307752e-06,4.1200089689092627e-08,0.0,0.0
1694,9.042908037112543e-06,0.0,0.0,0.0
1695,8.264151769513514e-06,0.0,0.0,0.0
1696,7.740650906790897e-06,0.0,0.0,0.0
1697,1.0718409449899419e-05,0.0,0.0,0.0
1698,1.0899224662352935e-05,1.0371270572509924e-08,0.0,0.0
1699,1.0822564088844697e-05,1.0371270572509924e-08,0.0,0.0
1700,1.0690905375960419e-05,1.0371270572509924e-08,0.0,0.0
1701,1.0060183858026253e-05,1.0371270572509924e-08,0.0,0.0
1702,8.90217336697268e-06,1.0371270572509924e-08,0.0,0.0
1703,8.397623742796765e-06,1.0371270572509924e-08,0.0,0.0
1704,3.5160715055683667e-06,1.0371270572509924e-08,0.0,0.0
1705,5.977225884277816e-06,0.0,0.0,0.0
1706,8.481367022536038e-06,0.0,0.0,0.0
1707,7.841195789686545e-06,0.0,0.0,0.0
1708,8.149487501084098e-06,0.0,0.0,0.0
1709,8.042258757866097e-06,0.0,0.0,0.0
1710,1.0157220377290546e-05,0.0,0.0,0.0
1711,1.0662448078489564e-05,0.0,0.0,0.0
1712,7.337981336214787e-06,0.0,0.0,0.0
1713,5.861112007161344e-06,0.0,1.0818015182069627e-08,0.0
1714,6.315938159267327e-06,0.0,1.0818015182069627e-08,0.0
1715,7.588609524386161e-06,0.0,1.0818015182069627e-08,0.0
1716,8.166590646396799e-06,0.0,1.0818015182069627e-08,0.0
1717,9.65140960878281e-06,0.0,1.0818015182069627e-08,0.0
1718,1.2294160066111154e-05,0.0,1.0818015182069627e-08,0.0
1719,1.2844681155651674e-05,0.0,1.0818015182069627e-08,0.0
1720,1.5983608656305088e-05,0.0,0.0,0.0
1721,2.003703379419416e-05,0.0,0.0,0.0
1722,2.132673820856975e-05,0.0,0.0,0.0
1723,2.3613068995993152e-05,1.2350352359849888e-08,0.0,0.0
1724,2.2535487979829278e-05,1.2350352359849888e-08,0.0,0.0
1725,2.7589287843251702e-05,1.2350352359849888e-08,0.0,0.0
1726,3.678473694890272e-05,1.2350352359849888e-08,0.0,0.0
1727,4.199613769222716e-05,1.2350352359849888e-08,0.0,0.0
1728,4.1253966628573835e-05,1.2350352359849888e-08,0.0,0.0
1729,4.2255502713877445e-05,1.2350352359849888e-08,0.0,0.0
1730,4.375685421109665e-05,0.0,0.0,0.0
1731,4.5104763557901606e-05,0.0,0.0,0.0
1732,3.943343238331311e-05,0.0,0.0,0.0
1733,3.41218965331791e-05,0.0,0.0,0.0
1734,3.004198801396082e-05,0.0,0.0,0.0
1735,2.961957709755682e-05,0.0,0.0,0.0
1736,2.7943671739194542e-05,0.0,0.0,0.0
1737,2.7116365734920172e-05,6.921628222958784e-09,0.0,0.0
1738,2.700544480051446e-05,6.921628222958784e-09,0.0,0.0
1739,2.7396980710493934e-05,6.921628222958784e-09,0.0,0.0
1740,2.7857619508202852e-05,6.921628222958784e-09,0.0,0.0
1741,2.5114716014026533e-05,6.921628222958784e-09,0.0,0.0
1742,2.5882679307999623e-05,6.921628222958784e-09,0.0,0.0
1743,2.9772785377904904e-05,6.921628222958784e-09,0.0,0.0
1744,3.5760287313938276e-05,0.0,0.0,0.0
1745,4.308915049477946e-05,0.0,0.0,0.0
1746,5.203565888223238e-05,0.0,0.0,0.0
1747,5.4328469559550285e-05,0.0,0.0,0.0
1748,5.774300942513426e-05,0.0,3.639731817526938e-09,0.0
1749,7.128891697253234e-05,0.0,3.639731817526938e-09,0.0
1750,7.852692059324389e-05,0.0,3.639731817526938e-09,0.0
1751,8.77714945610413e-05,0.0,7.2088704529603225e-09,0.0
1752,8.908833271042178e-05,0.0,7.2088704529603225e-09,0.0
