ngram,sea,se,saa,sse
1565,2.1912949705438223e-05,0.00016605877759242764,0.0,1.7777145850621828e-06
1566,2.0378173628289786e-05,0.00018890282314844496,0.0,1.7777145850621828e-06
1567,2.2304001634308535e-05,0.00018891252615763472,0.0,1.7777145850621828e-06
1568,2.2304001634308535e-05,5.872214517564446e-05,0.0,1.7777145850621828e-06
1569,2.6626026478230153e-05,6.110835862013378e-05,0.0,0.0
1570,3.2215453887017376e-05,6.382290874691015e-05,0.0,0.0
1571,3.957100891836619e-05,5.7461261998728984e-05,0.0,0.0
1572,4.543118159615135e-05,5.03786577610299e-05,0.0,0.0
1573,7.372933552168044e-05,3.0051430907665883e-05,0.0,0.0
1574,6.580990806729201e-05,1.5170344470659205e-05,0.0,0.0
1575,7.209630634211603e-05,2.397130226329734e-05,0.0,0.0
1576,8.632720216285503e-05,2.2085783582172424e-05,0.0,0.0
1577,8.028315304337801e-05,2.5207174595769694e-05,0.0,0.0
1578,8.78642107896407e-05,2.8339045067176422e-05,0.0,0.0
1579,8.599960217127643e-05,2.898579987231642e-05,0.0,0.0
1580,6.075008189197563e-05,2.8449902856664266e-05,0.0,0.0
1581,0.00011844668344045723,2.864428617093446e-05,0.0,0.0
1582,0.00012095889386338448,2.529008634155616e-05,0.0,0.0
1583,0.00010380154552486991,2.507894324870514e-05,0.0,0.0
1584,0.00011189354959891975,1.8323626851010238e-05,0.0,0.0
1585,0.00010658155900143486,1.9720990621863166e-05,0.0,0.0
1586,0.0001054348239059826,1.979312966276276e-05,0.0,0.0
1587,0.00011017274716453227,2.0580844453174256e-05,0.0,3.46079559676582e-07
1588,5.41895400861644e-05,1.8877120770152294e-05,0.0,3.46079559676582e-07
1589,5.808833183047162e-05,1.865870379853212e-05,0.0,3.46079559676582e-07
1590,6.305851976711503e-05,1.975326040337677e-05,0.0,6.060552095732419e-07
1591,6.402865333906707e-05,4.630709567468979e-05,0.0,6.060552095732419e-07
1592,6.455255139111873e-05,4.4165748607026346e-05,0.0,6.060552095732419e-07
1593,8.209826592064928e-05,4.612617548056213e-05,0.0,6.060552095732419e-07
1594,8.967409173367611e-05,4.721306530492646e-05,0.0,2.599756498966599e-07
1595,9.353931610738593e-05,4.879754487774335e-05,0.0,2.599756498966599e-07
1596,9.409826348668762e-05,4.714631359092891e-05,0.0,2.599756498966599e-07
1597,0.00013554561883211136,4.293314870145488e-05,0.0,3.6318627800418266e-07
1598,0.00013590530579676852,1.6320646279512274e-05,0.0,3.6318627800418266e-07
1599,0.00013129860963090323,2.6902985090211068e-05,0.0,5.990085745517198e-07
1600,0.00011532410436692382,2.8483907759177134e-05,0.0,5.990085745517198e-07
1601,0.00015470197156121555,3.048809730898938e-05,0.0,5.990085745517198e-07
1602,0.0001702485756790598,2.9382519837132088e-05,1.0440071816576944e-07,5.990085745517198e-07
1603,0.0001590527784043973,2.869018076775579e-05,1.0440071816576944e-07,5.990085745517198e-07
1604,0.00012787138972011495,3.170975521373164e-05,1.0440071816576944e-07,2.3582229654753713e-07
1605,0.00012542065230393616,3.255586411147046e-05,1.0440071816576944e-07,2.3582229654753713e-07
1606,0.00015639535857709625,2.2148201553916025e-05,1.0440071816576944e-07,0.0
1607,0.0001551277848972989,1.8634455240576892e-05,1.0440071816576944e-07,0.0
1608,0.000129034535737966,1.3373772162594832e-05,1.0440071816576944e-07,0.0
1609,0.0001089166137587329,1.4112103989256347e-05,1.886739775207908e-07,0.0
1610,0.00011373826938714566,1.8491884345296838e-05,1.886739775207908e-07,0.0
1611,9.566506508105834e-05,1.5360410998255247e-05,1.886739775207908e-07,0.0
1612,0.00010079901039716788,1.9322872698726963e-05,1.886739775207908e-07,2.6900072823212084e-07
1613,8.026352848641441e-05,2.139481310743057e-05,1.886739775207908e-07,2.6900072823212084e-07
1614,9.05102065839206e-05,2.6251681707175783e-05,1.886739775207908e-07,1.257830003201629e-06
1615,7.214971940681738e-05,2.7557365228858544e-05,1.886739775207908e-07,1.257830003201629e-06
1616,7.167083094827831e-05,2.9274870874879915e-05,0.0,1.257830003201629e-06
1617,8.356690679128016e-05,3.238779163439176e-05,0.0,1.999077994696563e-06
1618,9.188640511378512e-05,3.5515449261375966e-05,9.847713857068032e-08,2.0975551332672434e-06
1619,9.137242627080664e-05,3.1104313685708416e-05,2.1101163838466164e-07,1.8285544050351227e-06
1620,8.798374256002717e-05,2.7275721160029726e-05,2.1101163838466164e-07,1.8285544050351227e-06
1621,8.076593024140623e-05,2.7738567171452034e-05,2.1101163838466164e-07,1.0181431256179557e-06
1622,7.16007276163769e-05,3.884830636837121e-05,2.1101163838466164e-07,1.088491533859529e-06
1623,7.805943459970877e-05,4.386531509226188e-05,2.1101163838466164e-07,1.088491533859529e-06
1624,7.107839545434607e-05,3.587715842253861e-05,2.1101163838466164e-07,4.965757349444695e-07
1625,0.0001157665454749284,3.6288261721243286e-05,1.1253449981398132e-07,8.134220479405485e-07
1626,0.00012231561621384962,3.895395327292915e-05,0.0,8.134220479405485e-07
1627,0.00011355776379267419,4.118369750878108e-05,0.0,8.134220479405485e-07
1628,0.00010788591836379575,4.894043844875081e-05,0.0,8.97050556756897e-07
1629,0.0001235125694490437,4.0382567281734995e-05,0.0,9.092314923821374e-07
1630,0.00011920376527996268,3.434878323917344e-05,0.0,1.0817294894747777e-06
1631,0.00012106639899554596,3.4340027663607285e-05,0.0,9.32397296894903e-07
1632,6.728237271350476e-05,3.403509072086308e-05,0.0,6.086999795635555e-07
1633,5.5448517222040596e-05,3.301046854176093e-05,0.0,6.086999795635555e-07
1634,5.543996797184393e-05,3.2443176158787015e-05,0.0,7.321181426180244e-07
1635,6.156087926813467e-05,2.314780769146247e-05,0.0,1.2109490756172039e-06
1636,5.046471025187722e-05,2.0862333648048142e-05,0.0,1.12841973175039e-06
1637,5.7053119754917656e-05,2.2810791701236406e-05,7.316012735308114e-08,1.541202753482399e-06
1638,4.985740659841602e-05,2.5413024689312025e-05,7.316012735308114e-08,2.012548025374729e-06
1639,5.507423286741998e-05,2.3978704250891625e-05,7.316012735308114e-08,2.07666235090593e-06
1640,5.246905389607751e-05,2.5212077551779138e-05,7.316012735308114e-08,2.1794704058005924e-06
1641,5.1868083444008206e-05,2.6924260574950104e-05,7.316012735308114e-08,2.2352185088233715e-06
1642,4.4172827724001505e-05,2.6822619604770027e-05,7.316012735308114e-08,1.7102407403919123e-06
1643,3.995929468406497e-05,2.5554733773398247e-05,7.316012735308114e-08,1.7102407403919123e-06
1644,3.0525018701155204e-05,2.2852035012225054e-05,0.0,1.124959721567263e-06
1645,3.0691627216583584e-05,2.145477128578932e-05,0.0,7.518481116416556e-07
1646,3.3138522407430825e-05,2.1357777573679675e-05,0.0,6.968460622504478e-07
1647,4.785349444448782e-05,2.1615368560950238e-05,0.0,5.940380073557858e-07
1648,4.948852087441732e-05,2.215729357755793e-05,0.0,5.065702128246942e-07
1649,5.2221965363839574e-05,2.234678913737298e-05,1.5645554997588208e-07,3.688983188762255e-07
1650,6.535008586589746e-05,2.45618943413969e-05,2.0037568658283688e-07,5.00658732757334e-07
1651,6.736650902894326e-05,3.399468602895338e-05,2.0037568658283688e-07,7.156591388073659e-07
1652,6.658123363324973e-05,3.363809836238423e-05,2.0037568658283688e-07,8.957824694074848e-07
1653,6.477194100235855e-05,3.712504959756708e-05,2.0037568658283688e-07,1.247298744796613e-06
1654,5.2744289860129356e-05,3.5783409007958e-05,2.0037568658283688e-07,1.7450969624275916e-06
1655,6.473415383620054e-05,3.3791780879255384e-05,2.0037568658283688e-07,1.7696045802040317e-06
1656,6.004539526267243e-05,3.166824535583146e-05,4.392013660695479e-08,1.6913768052160907e-06
1657,4.952549300339472e-05,3.127475013440874e-05,2.7804432534139778e-08,1.8098562902326063e-06
1658,5.140404963250538e-05,2.3011204705523725e-05,2.7804432534139778e-08,1.5948558841825746e-06
1659,5.30856746731193e-05,2.2001799412204752e-05,2.7804432534139778e-08,1.3486660768486608e-06
1660,4.8766095590378556e-05,1.9003982743015513e-05,2.7804432534139778e-08,9.765861912163537e-07
1661,4.614006762234827e-05,1.839438482420519e-05,2.7804432534139778e-08,6.13158791549852e-07
1662,3.984614808619621e-05,1.7043936947759774e-05,2.7804432534139778e-08,5.375525619553758e-07
1663,6.172029134177137e-05,1.744261265100379e-05,2.7804432534139778e-08,5.375525619553758e-07
1664,6.909385332879278e-05,1.6565018345967735e-05,0.0,2.8731266305775147e-07
1665,6.690688652659966e-05,1.5678940274353537e-05,0.0,2.8731266305775147e-07
1666,6.549186972344094e-05,1.6215843840784926e-05,3.9948397605777634e-08,2.5514547782482365e-07
1667,6.356772584175425e-05,1.6784766557975672e-05,3.9948397605777634e-08,1.7497067769259696e-07
1668,6.483696285743332e-05,1.668501239951833e-05,8.370161351324765e-08,8.435307563559036e-08
1669,6.57234624148779e-05,1.9138741013843435e-05,1.436097980851108e-07,1.3361549073514262e-07
1670,4.4399983640427566e-05,1.899225311977456e-05,1.436097980851108e-07,1.3361549073514262e-07
1671,3.2132248114586605e-05,2.0352048782764802e-05,1.436097980851108e-07,1.3361549073514262e-07
1672,3.0925699710288814e-05,2.1236924502383253e-05,1.436097980851108e-07,1.3361549073514262e-07
1673,2.7609539366884356e-05,2.1152715167512986e-05,1.0366140047933316e-07,1.3361549073514262e-07
1674,2.6998029040571835e-05,1.9696975349298945e-05,1.0366140047933316e-07,1.986765393472264e-07
1675,2.6118947581770563e-05,1.902534287572572e-05,9.4226684106096e-08,1.549233234397564e-07
1676,1.690970306559133e-05,1.815452820405231e-05,7.726500988220713e-08,6.506104861208379e-08
1677,1.5932346286717802e-05,1.6888229895682472e-05,1.1085120783198882e-07,6.506104861208379e-08
1678,1.720684394967975e-05,1.5852318418702843e-05,1.3076977925915605e-07,6.506104861208379e-08
1679,1.5792518362494385e-05,1.4973647921578959e-05,1.3076977925915605e-07,6.506104861208379e-08
1680,1.4480932025305395e-05,1.458226090887495e-05,1.3076977925915605e-07,6.506104861208379e-08
1681,1.5364811588369776e-05,1.5952209651004523e-05,1.3076977925915605e-07,2.237584746061267e-08
1682,1.2563062357782786e-05,1.6784728619053828e-05,1.1661231269499694e-07,4.2536880430686456e-08
1683,1.1344936345787054e-05,1.541025994811207e-05,7.366580234702269e-08,4.2536880430686456e-08
1684,1.2508848937743875e-05,1.57149835493848e-05,4.0079604397240994e-08,4.2536880430686456e-08
1685,1.1532166744083433e-05,1.677679223835834e-05,2.016103297007378e-08,4.2536880430686456e-08
1686,1.4708387295416156e-05,1.7306593300807955e-05,2.016103297007378e-08,7.016608703582148e-08
1687,1.3965630777030518e-05,1.7291755284531973e-05,2.016103297007378e-08,7.016608703582148e-08
1688,1.585938298376277e-05,1.5260478254016823e-05,2.016103297007378e-08,4.779023957520881e-08
1689,1.5582013540032286e-05,1.4138231563265435e-05,0.0,2.762920660513503e-08
1690,2.4868985812125694e-05,1.475104181736242e-05,0.0,2.762920660513503e-08
1691,2.5273522559083566e-05,1.5219402484945022e-05,0.0,2.762920660513503e-08
1692,2.709124984383899e-05,1.619938146697158e-05,2.3668044540110193e-08,5.129725114524522e-08
1693,2.5806700055649605e-05,1.611777562564904e-05,5.50192384350469e-08,2.3668044540110193e-08
1694,3.074693170544508e-05,1.587577129872183e-05,5.50192384350469e-08,2.3668044540110193e-08
1695,2.7017826076709233e-05,1.7409023322605727e-05,8.603284535573558e-08,3.9174848000454535e-08
1696,2.8322044012643994e-05,1.838186316100681e-05,8.603284535573558e-08,5.49207937540684e-08
1697,2.369926798045136e-05,1.9787626245358426e-05,9.337992017728019e-08,6.2267868575613e-08
1698,2.283147439032161e-05,1.9839171207942335e-05,9.337992017728019e-08,7.263913914812292e-08
1699,2.16857351915678e-05,1.860611441121104e-05,9.585095637833416e-08,6.204063497859482e-08
1700,2.2294837305837844e-05,1.9141803152576487e-05,6.449976248339745e-08,6.204063497859482e-08
1701,1.700934119851029e-05,1.9660160303049323e-05,7.416652181291283e-08,6.204063497859482e-08
1702,1.7907778393626878e-05,2.0308676539571024e-05,4.3152914892224155e-08,4.653383151825048e-08
1703,1.936144040623081e-05,2.0860032236669213e-05,4.3152914892224155e-08,3.078788576463662e-08
1704,1.465226952339955e-05,2.0232266251696274e-05,3.580584007067955e-08,2.3440810943092013e-08
1705,1.6249858812703417e-05,2.0686343434915345e-05,3.580584007067955e-08,2.222734504389986e-08
1706,1.6372704391999703e-05,2.017629854630546e-05,9.666759329515377e-09,4.238395234779091e-08
1707,1.4460539594957872e-05,2.0423888729835327e-05,2.1819212341662412e-08,4.238395234779091e-08
1708,1.4874455311136054e-05,2.1469793604670224e-05,2.1798320355108965e-08,4.238395234779091e-08
1709,1.477308550030492e-05,2.037493088989452e-05,2.1798320355108965e-08,5.4408968505218324e-08
1710,1.5142251478599584e-05,2.119440510536411e-05,2.1798320355108965e-08,5.4408968505218324e-08
1711,1.5916752740200275e-05,2.086076295069818e-05,2.1798320355108965e-08,5.4408968505218324e-08
1712,1.610187934732364e-05,2.0678894413452197e-05,3.266174023305471e-08,8.870484334368354e-08
1713,1.7642198274968124e-05,2.121649231412448e-05,4.3479755415124343e-08,5.5478695669210406e-08
1714,1.89502000336818e-05,2.1212479103789e-05,4.089891295474704e-08,5.5478695669210406e-08
1715,1.970243192772614e-05,2.0568028308584223e-05,5.38977522929989e-08,6.680104900981729e-08
1716,2.324128347806566e-05,2.0587423932738602e-05,5.38977522929989e-08,7.24859491794762e-08
1717,2.2739257994024748e-05,1.9499554712508272e-05,6.153915776963004e-08,8.012735465610734e-08
1718,2.3487484343474663e-05,1.905220779008232e-05,6.153915776963004e-08,8.012735465610734e-08
1719,2.0689194700805403e-05,1.9546127077774145e-05,5.72606089528043e-08,5.6428287820153855e-08
1720,2.1213676128744347e-05,1.9211751610522958e-05,4.6442593770734675e-08,6.548941604884411e-08
1721,2.2591489141632337e-05,1.9444551591212595e-05,4.563104129471997e-08,7.424947412459915e-08
1722,2.9598898046450423e-05,2.4413788456253576e-05,2.2986334613506187e-08,6.292712078399226e-08
1723,3.03554224956315e-05,2.513710283632723e-05,2.9161510793431133e-08,4.521720445690594e-08
1724,3.0490692941904335e-05,2.496604455310652e-05,2.739102506715036e-08,4.9317638480975545e-08
1725,3.686550917336717e-05,2.5318860415219596e-05,4.2096931147333246e-08,7.872945064134131e-08
1726,4.02183884164385e-05,2.4881959689082578e-05,3.551206008621323e-08,6.536233598808394e-08
1727,4.115752874765478e-05,2.428226980555337e-05,3.551206008621323e-08,5.630120775939369e-08
1728,4.000544166566604e-05,2.3057965985831936e-05,4.619068099438144e-08,6.050026968296152e-08
1729,3.384415530100731e-05,1.7445200813069406e-05,4.619068099438144e-08,9.23601533031615e-08
1730,3.345608326656345e-05,1.6763484641809816e-05,4.0015504814456497e-08,1.0872662922370832e-07
1731,3.3168443094057564e-05,1.639030376411808e-05,3.414458506410613e-08,1.3181848552384118e-07
1732,2.8243651416102822e-05,1.769407975059169e-05,1.9438678983923248e-08,1.0240667336347542e-07
1733,2.7688993213814683e-05,1.9073574029399814e-05,1.9438678983923248e-08,1.1709348310010423e-07
1734,3.26327756608537e-05,2.1428996920544057e-05,2.460041059748619e-08,1.274169463272301e-07
1735,3.458703655009491e-05,2.1728343589139903e-05,2.4562510247960745e-08,1.3385860496230505e-07
1736,3.7745877697099263e-05,2.303312053949672e-05,3.0074835320549805e-08,1.1302337148728319e-07
1737,3.850941616942042e-05,2.386657057026501e-05,3.0074835320549805e-08,9.665689556673637e-08
1738,4.9906577519972674e-05,2.545499851943792e-05,3.0074835320549805e-08,7.280683230906756e-08
1739,5.8809831638687425e-05,2.437510530788651e-05,3.0074835320549805e-08,8.896141525026127e-08
1740,5.8997114267965246e-05,2.2962047556315417e-05,3.756211392718407e-08,6.78871074910603e-08
1741,5.37726742290293e-05,2.1141534879071905e-05,3.834173309006214e-08,5.7563644263934425e-08
1742,6.909077533886634e-05,2.1225898308330216e-05,1.8940954455664335e-08,4.4540237910593664e-08
1743,7.643902582848179e-05,2.085698594912953e-05,2.3060022970509764e-08,3.351558776541554e-08
1744,8.474485158720719e-05,2.0099681413349962e-05,2.3060022970509764e-08,4.690776935132947e-08
1745,8.474112006037362e-05,1.9156109504235375e-05,4.8306327065412395e-08,4.223571283189033e-08
1746,8.355341872499724e-05,1.944220795329394e-05,5.3284304207019366e-08,4.1015061315517546e-08
1747,9.143205534201115e-05,1.9302180849730837e-05,5.411532910670758e-08,4.9333364821840016e-08
1748,9.655485129249948e-05,1.9780420448764096e-05,5.545344196532044e-08,5.661282845689389e-08
1749,8.506013961908008e-05,1.9495969484393883e-05,6.040872234182513e-08,6.510129730535092e-08
1750,8.492702493510609e-05,1.937382382623452e-05,5.4076060201120006e-08,9.149114887918586e-08
1751,8.228953083744273e-05,2.0614417995342853e-05,6.835261474285354e-08,7.809896729327193e-08
1752,8.288591197924688e-05,2.1175256084201726e-05,5.0903490946195366e-08,7.958457156779072e-08
1753,9.103810901121636e-05,2.1166617183813026e-05,4.5925513804588395e-08,6.967999256955539e-08
1754,9.618205720991162e-05,2.211857463407796e-05,3.7607210298265925e-08,6.972982648432793e-08
1755,0.00010866755162299211,2.1949035986576098e-05,3.0327746663212045e-08,7.401028615358232e-08
1756,0.00012756950413209518,2.240830404584163e-05,2.5372466286707355e-08,7.432179823955007e-08
1757,0.00014692210554910292,2.2330289409312953e-05,3.425422789860022e-08,6.011243972433736e-08
1758,0.00015371274639619514,2.1416934292314443e-05,2.9300427481108012e-08,1.005110412677368e-07
1759,0.00015998195158317685,2.1565252609434538e-05,2.8460836988740213e-08,1.1706542529006064e-07
1760,0.00015711625539032475,2.1479859892029447e-05,3.112220398853489e-08,1.2002017360909383e-07
1761,0.00015965903003234416,2.090924941252784e-05,3.667333890535117e-08,1.3663214255237627e-07
1762,0.00015531308599747717,2.152257340120351e-05,3.93559209348788e-08,1.3580254736617852e-07
1763,0.00014302794858979593,2.1574739938452175e-05,4.503327006537867e-08,1.3765724052713528e-07
1764,0.00013418767671932334,2.235565495668977e-05,3.285277700675644e-08,1.4515150529145364e-07
1765,0.0001335397194322598,2.2856338026550865e-05,2.3530022882515108e-08,1.194899458109181e-07
1766,0.00012794744855325137,2.2079222617321648e-05,1.9973485214969903e-08,1.0534153765157888e-07
1767,0.00013019479021230445,2.2456753088460702e-05,2.320112280074227e-08,1.1207994836987772e-07
1768,0.00013245886865271523,2.3187372529978995e-05,2.3014412978536062e-08,1.7829507064399358e-07
1769,0.00013169743345185583,2.2002714363874736e-05,2.9470610333045703e-08,1.7365726177688755e-07
1770,0.00013967298582429066,2.192214820492414e-05,2.6676182786543124e-08,1.6815690173643816e-07
1771,0.0001379130979850223,2.044303307359639e-05,3.194147042100732e-08,1.5901271918242594e-07
1772,0.00013963718811282888,1.9916795801171766e-05,3.721363407903157e-08,1.5745608651838795e-07
1773,0.00014638143017821546,1.9640186500120243e-05,3.900296365242996e-08,1.628240754923484e-07
1774,0.0001469894445368222,1.8721828382695094e-05,3.311395906686292e-08,1.6146387947303863e-07
1775,0.00014505766531718628,1.8323584039795344e-05,3.641560145492154e-08,7.893471831721399e-08
1776,0.00015533474132618203,1.8467919289832935e-05,3.2701561078088814e-08,8.09793075770163e-08
1777,0.00015386472971710776,1.8129607789368102e-05,3.5654740112737015e-08,8.40378732951714e-08
1778,0.0001574489932474015,1.8356034550898975e-05,3.595173987085738e-08,8.741301625393914e-08
1779,0.00015185127475498511,1.8528517362678292e-05,4.092631909559584e-08,8.960272117925732e-08
1780,0.00014726214534935674,1.8834778789563904e-05,3.5735937383866e-08,9.047555796623133e-08
1781,0.00014518515880419209,1.8890629040210376e-05,3.764845425889364e-08,8.858834326425885e-08
1782,0.00014986431675164828,1.8483417339406776e-05,3.114052025767121e-08,9.71873436331602e-08
1783,0.0001453108395383294,1.880739338438226e-05,3.0064979331509023e-08,1.0862162724833979e-07
1784,0.00014503502461593598,1.8800330768239553e-05,2.589335082855574e-08,1.0734715211973317e-07
1785,0.00014067462637155716,1.9105047353410294e-05,2.1949185833948703e-08,1.0962265812557754e-07
1786,0.00013957430720828206,1.7916451854814242e-05,1.304254126921478e-08,9.961293707354863e-08
1787,0.00014434260395189215,1.783324478310533e-05,3.3668807170832745e-08,9.734951333939534e-08
1788,0.00014994126623995335,1.7918172878645627e-05,3.959560273309697e-08,1.0808579783575364e-07
1789,0.00014425081878601174,1.7623469830141403e-05,4.2091008519865425e-08,9.780103888650566e-08
1790,0.0001415410650744369,1.8293125841799857e-05,3.9951507245307635e-08,9.48023729360362e-08
1791,0.0001426410401888591,1.8658030187777642e-05,4.154493396920803e-08,9.886205581161838e-08
1792,0.00014450385164569264,1.9085444884175168e-05,4.645638362887894e-08,1.1750521723895093e-07
1793,0.00014978704608178565,1.9915037358129795e-05,5.201844009507438e-08,1.2792117790435702e-07
1794,0.0001515765075704881,2.1935263118523706e-05,3.638210215634834e-08,1.3569630295608347e-07
1795,0.0001520836480527318,2.313787548960785e-05,3.1282605965949576e-08,1.3175036071645862e-07
1796,0.0001568271919885384,2.3037465455542717e-05,3.042171314859843e-08,1.3519982949057002e-07
1797,0.000163523037502143,2.1958201614324935e-05,3.2747405549165317e-08,1.271309579513919e-07
1798,0.0001660038937448657,2.1685186376479188e-05,3.180413342209119e-08,1.1843534813189243e-07
1799,0.00016878453191436295,2.128635216130143e-05,2.947994864095043e-08,1.5269946881549652e-07
1800,0.0001704164772360985,2.14069750654744e-05,2.6282768977076946e-08,1.5503632714139064e-07
1801,0.00016958123887889087,2.003398913075216e-05,2.8722288547555763e-08,1.4886822035415597e-07
1802,0.00017197644046973437,1.915398388518952e-05,2.7718979492671484e-08,1.4189007454693377e-07
1803,0.00017497426805286004,2.054057845920657e-05,2.7787332688790556e-08,1.4444729552159125e-07
1804,0.00017513914956777756,2.177857615086915e-05,2.874333951804634e-08,1.8750154647964985e-07
1805,0.00017481758758159622,2.2427255316870287e-05,3.3440005431373265e-08,1.9128621683453924e-07
1806,0.0001774110527808911,2.266802480984812e-05,3.1303018970569544e-08,1.3383246511011748e-07
1807,0.0001854880787764809,2.352853048900475e-05,3.157324725476331e-08,1.3245695080448578e-07
1808,0.00018589823282257254,2.3700887010948334e-05,2.7203521086554313e-08,1.3079116558044136e-07
1809,0.00018418599211145192,2.3842300184436942e-05,2.85427356670555e-08,1.3035935759424839e-07
1810,0.00018385476765355894,2.308376419283117e-05,2.7732863117080342e-08,1.2914099199536266e-07
1811,0.00018296525688908462,2.2676644740775892e-05,2.57572261931825e-08,8.859893187361325e-08
1812,0.00018590922575510507,2.273109826741607e-05,2.2087849263893337e-08,1.9620466775092738e-07
1813,0.0001794230192899704,2.3126928031810428e-05,2.1571283679934694e-08,2.4567342547600545e-07
1814,0.0001738471245127065,2.229641670835138e-05,2.0312536161018865e-08,2.3666717855316426e-07
1815,0.0001752463057138292,2.1823958377353847e-05,1.995678466926165e-08,2.8222586528110174e-07
1816,0.0001759998350670295,2.216774867390216e-05,1.878279005345413e-08,3.2005459209878087e-07
1817,0.00017293924923121397,2.2043047595486443e-05,2.652656012307781e-08,3.706564746559187e-07
