ngram,net,nett,nett,nnett
1651,4.9977118188897816e-05,1.8673857279541801e-07,1.8673857279541801e-07,0.0
1652,4.939477964528903e-05,2.4240996968468866e-07,2.4240996968468866e-07,0.0
1653,4.900935527984984e-05,1.4167155930928337e-07,1.4167155930928337e-07,0.0
1654,4.715978866443038e-05,1.4167155930928337e-07,1.4167155930928337e-07,0.0
1655,4.522157230115097e-05,1.9977460397058167e-07,1.9977460397058167e-07,0.0
1656,4.028641082446224e-05,1.9977460397058167e-07,1.9977460397058167e-07,0.0
1657,3.408023517944717e-05,1.9977460397058167e-07,1.9977460397058167e-07,0.0
1658,3.3120248450099356e-05,1.6739007589551746e-07,1.6739007589551746e-07,0.0
1659,3.0820529251026786e-05,2.0822023267490814e-07,2.0822023267490814e-07,0.0
1660,3.086653746972193e-05,3.685698329393615e-07,3.685698329393615e-07,0.0
1661,2.831535311997868e-05,3.685698329393615e-07,3.685698329393615e-07,0.0
1662,2.6077836602261023e-05,3.104667882780632e-07,3.104667882780632e-07,0.0
1663,2.3853232310752253e-05,3.104667882780632e-07,3.104667882780632e-07,0.0
1664,2.2764505826801595e-05,3.104667882780632e-07,3.104667882780632e-07,0.0
1665,2.0495351366532433e-05,2.5685115393311466e-07,2.5685115393311466e-07,0.0
1666,2.1044690583948977e-05,3.201431906875639e-07,3.201431906875639e-07,0.0
1667,2.411817799189261e-05,3.2205517592436603e-07,3.2205517592436603e-07,0.0
1668,2.3740348686780116e-05,4.0956160773930606e-07,4.0956160773930606e-07,0.0
1669,2.2144530963227487e-05,4.0956160773930606e-07,4.0956160773930606e-07,0.0
1670,2.4680105785332023e-05,4.0956160773930606e-07,4.0956160773930606e-07,0.0
1671,2.6425219792664783e-05,4.486718004110506e-07,4.486718004110506e-07,0.0
1672,2.5110997220118797e-05,4.486718004110506e-07,4.486718004110506e-07,0.0
1673,2.493762466266552e-05,3.1362108034370196e-07,3.1362108034370196e-07,0.0
1674,2.3846915480264996e-05,1.513594948424465e-07,1.513594948424465e-07,0.0
1675,2.31933260822968e-05,6.385306302750645e-08,6.385306302750645e-08,0.0
1676,2.4866809456268258e-05,6.385306302750645e-08,6.385306302750645e-08,0.0
1677,2.3942289122455156e-05,6.385306302750645e-08,6.385306302750645e-08,0.0
1678,2.1102946967792896e-05,6.45800132100963e-08,6.45800132100963e-08,0.0
1679,2.1071398675433428e-05,1.1072355172408216e-07,1.1072355172408216e-07,0.0
1680,2.0445222227343557e-05,1.0408261021309175e-07,1.0408261021309175e-07,0.0
1681,1.7658996382254243e-05,1.0408261021309175e-07,1.0408261021309175e-07,0.0
1682,1.7555506539273275e-05,1.2424364318316554e-07,1.2424364318316554e-07,0.0
1683,1.6023507019521537e-05,1.2424364318316554e-07,1.2424364318316554e-07,0.0
1684,1.5538662150252742e-05,1.2424364318316554e-07,1.2424364318316554e-07,0.0
1685,1.5445291345323703e-05,1.2481816367783593e-07,1.2481816367783593e-07,0.0
1686,1.6468145336797795e-05,7.867462516385006e-08,7.867462516385006e-08,0.0
1687,1.630038254266505e-05,6.05726963190786e-08,6.05726963190786e-08,0.0
