ngram,log,lgo,lg,logg
1658,7.069381727628102e-07,4.1483186155996266e-08,3.0933444098276854e-07,0.0
1659,7.094228798061002e-07,4.1483186155996266e-08,3.0933444098276854e-07,0.0
1660,7.895976799383269e-07,4.1483186155996266e-08,3.141334628610691e-07,0.0
1661,7.066313076263344e-07,0.0,3.141334628610691e-07,0.0
1662,6.891281226931564e-07,0.0,3.141334628610691e-07,0.0
1663,7.752107486729593e-07,0.0,3.345211102409199e-07,0.0
1664,8.883123590359381e-07,0.0,3.067166777067801e-07,0.0
1665,7.620330555775061e-07,0.0,1.458697787321788e-07,0.0
1666,5.368627609771335e-07,0.0,2.2576657394373407e-07,3.9948397605777634e-08
1667,4.891402767270847e-07,0.0,1.455917738115074e-07,3.9948397605777634e-08
1668,4.891402767270847e-07,0.0,1.455917738115074e-07,3.9948397605777634e-08
1669,5.683567861426906e-07,2.995409228593157e-08,1.455917738115074e-07,3.9948397605777634e-08
1670,5.142651653094228e-07,2.995409228593157e-08,7.989679521155527e-08,3.9948397605777634e-08
1671,3.1775025531390254e-07,2.995409228593157e-08,1.1900698788329983e-07,3.9948397605777634e-08
1672,2.787682242504681e-07,2.995409228593157e-08,1.6820819074122744e-07,3.9948397605777634e-08
1673,4.024825739991554e-07,2.995409228593157e-08,1.3779713624119593e-07,0.0
1674,4.3509130672906136e-07,2.995409228593157e-08,1.703276605472378e-07,0.0
1675,5.037283057975271e-07,2.995409228593157e-08,2.046461600814707e-07,0.0
1676,5.127514676977236e-07,0.0,2.4759267042944497e-07,0.0
1677,4.354531313310872e-07,0.0,2.4759267042944497e-07,0.0
1678,6.147202701153478e-07,0.0,2.084824777577004e-07,0.0
1679,6.116626057714061e-07,0.0,1.8235304415676573e-07,0.0
1680,5.241521137122618e-07,0.0,1.5096923229001342e-07,0.0
1681,5.709702983429972e-07,0.0,1.1843870798397152e-07,0.0
1682,8.24909826795712e-07,0.0,8.412020844973864e-08,0.0
1683,6.960702957517892e-07,0.0,8.530815469904545e-08,0.0
1684,8.129566140269162e-07,0.0,8.530815469904545e-08,2.9221579568781764e-08
1685,6.741011385916604e-07,0.0,1.8633731104143537e-07,2.9221579568781764e-08
1686,6.555868066828095e-07,0.0,2.185239549947125e-07,2.9221579568781764e-08
1687,6.605830386823592e-07,0.0,2.416221158390337e-07,2.9221579568781764e-08
1688,5.487038054395401e-07,0.0,2.882136941804804e-07,2.9221579568781764e-08
1689,2.5769844772379915e-07,0.0,2.882136941804804e-07,2.9221579568781764e-08
1690,3.615499041740934e-07,0.0,2.648495284672338e-07,2.9221579568781764e-08
1691,2.935956920120069e-07,0.0,2.8931558152375405e-07,0.0
1692,2.5318402866300206e-07,0.0,2.3562251426158453e-07,2.3668044540110193e-08
1693,2.5690601595280374e-07,0.0,1.8036410105131446e-07,2.3668044540110193e-08
