ngram,muscle,musle,mscle,mscle
1777,3.1146757107438006e-06,5.308544968686744e-09,0.0,0.0
1778,3.1936534047157953e-06,5.308544968686744e-09,0.0,0.0
1779,3.0804407223123623e-06,5.234148860365297e-09,0.0,0.0
1780,3.1202571010778357e-06,7.583289171212267e-09,0.0,0.0
1781,5.431995272634335e-06,4.910826031537649e-09,0.0,0.0
1782,7.243526738420769e-06,7.068959512983903e-09,0.0,0.0
1783,7.089045490309738e-06,9.243558553505084e-09,0.0,0.0
1784,7.079664442244393e-06,1.090803066919729e-08,0.0,0.0
1785,6.949962637138794e-06,1.8998642785967538e-08,0.0,0.0
1786,6.943398813876099e-06,1.6436957065276862e-08,0.0,0.0
1787,6.555497017351237e-06,1.6666099992132137e-08,0.0,0.0
1788,4.9311872284566305e-06,1.7972652065014116e-08,0.0,0.0
1789,3.3719750750346326e-06,2.1631442668836243e-08,0.0,0.0
1790,3.386519454449756e-06,2.0561692031557348e-08,0.0,0.0
1791,3.9806849372325814e-06,1.889721991586514e-08,0.0,0.0
1792,4.348347618231076e-06,1.1894869850997175e-08,0.0,0.0
1793,5.005427673105649e-06,1.2880891972092253e-08,0.0,0.0
1794,5.26995040672773e-06,1.1300594301591867e-08,0.0,0.0
1795,4.959259285897133e-06,9.994042228709889e-09,0.0,0.0
1796,5.042186882876974e-06,4.177118143441508e-09,0.0,0.0
1797,6.087904466767213e-06,3.0722697401992197e-09,5.66923650881433e-10,5.66923650881433e-10
1798,6.026651297880952e-06,3.6509264183288384e-09,5.66923650881433e-10,5.66923650881433e-10
1799,6.246648776401084e-06,3.163433959230133e-09,5.66923650881433e-10,5.66923650881433e-10
1800,6.058690262632029e-06,2.5890757474452843e-09,5.66923650881433e-10,5.66923650881433e-10
1801,6.118929734709257e-06,2.0554306510790964e-09,5.66923650881433e-10,5.66923650881433e-10
1802,6.1528253679300955e-06,2.0554306510790964e-09,5.66923650881433e-10,5.66923650881433e-10
1803,6.425877537757125e-06,2.757430569591942e-09,5.66923650881433e-10,5.66923650881433e-10
1804,5.4992696537478225e-06,3.0625081201155322e-09,0.0,0.0
1805,5.255365197496888e-06,2.4838514419859135e-09,2.5967750172384285e-10,2.5967750172384285e-10
1806,5.8676608075204835e-06,2.14163195114533e-09,2.5967750172384285e-10,2.5967750172384285e-10
1807,6.274871338973753e-06,2.357631740628514e-09,2.5967750172384285e-10,2.5967750172384285e-10
1808,6.100947172983849e-06,2.364017648304184e-09,2.5967750172384285e-10,2.5967750172384285e-10
1809,5.644454339354914e-06,2.364017648304184e-09,2.5967750172384285e-10,2.5967750172384285e-10
1810,6.254373959434036e-06,1.6620177297913381e-09,2.5967750172384285e-10,2.5967750172384285e-10
1811,6.081477132673692e-06,1.5913241200950422e-09,2.5967750172384285e-10,2.5967750172384285e-10
1812,6.193906334114477e-06,1.5913241200950422e-09,0.0,0.0
1813,5.254243887975463e-06,1.5267534221002116e-09,0.0,0.0
1814,4.743070056585046e-06,8.990897233067991e-10,0.0,0.0
1815,5.206531536064826e-06,8.146447643448645e-10,0.0,0.0
1816,6.083862055155416e-06,1.1949902020294952e-09,0.0,0.0
1817,5.331083359903589e-06,1.5376853441344857e-09,0.0,0.0
1818,5.285538463795092e-06,1.6613711359017965e-09,0.0,0.0
1819,5.651723183421252e-06,1.961966018220502e-09,0.0,0.0
1820,6.3877760112518445e-06,2.6523681980908773e-09,0.0,0.0
1821,6.884330299986427e-06,2.780922452633965e-09,0.0,0.0
1822,6.7929431030019515e-06,2.394641033084558e-09,0.0,0.0
1823,6.591536410789038e-06,2.0142955953999272e-09,0.0,0.0
1824,7.116441208511658e-06,1.8057204699749109e-09,0.0,0.0
1825,7.549059838701007e-06,1.574267541723121e-09,0.0,0.0
1826,7.656815211833288e-06,1.747665631260783e-09,0.0,0.0
1827,7.429600308179423e-06,1.0724252597071882e-09,0.0,0.0
1828,7.894091725445054e-06,9.438710051641002e-10,0.0,0.0
1829,7.947205501425611e-06,1.0141452836239954e-09,0.0,0.0
1830,7.879502520933914e-06,1.2047543676959753e-09,0.0,0.0
1831,8.04569500750014e-06,1.2564236714521622e-09,0.0,0.0
1832,8.233503194787772e-06,1.3852552438464727e-09,0.0,0.0
1833,8.526516791919545e-06,9.93740534305232e-10,0.0,0.0
1834,8.691170023666928e-06,1.0337799029512341e-09,0.0,0.0
1835,8.434684072459017e-06,1.620263716845776e-09,0.0,0.0
1836,8.876383032786959e-06,1.7001117973742502e-09,0.0,0.0
1837,9.490998049191798e-06,1.5095027133022703e-09,0.0,0.0
1838,9.227163965468727e-06,1.3237133928661088e-09,0.0,0.0
1839,9.267479786753288e-06,1.3713907628546247e-09,0.0,0.0
1840,8.833074714077935e-06,1.364498466597094e-09,0.0,0.0
