ngram,string,strng,strng,strng
1824,9.138231819503875e-06,9.72361223285288e-10,9.72361223285288e-10,9.72361223285288e-10
1825,9.179034480309514e-06,4.3525664025371013e-10,4.3525664025371013e-10,4.3525664025371013e-10
1826,9.00952012930897e-06,1.6202390381739713e-09,1.6202390381739713e-09,1.6202390381739713e-09
1827,8.930385515018965e-06,1.325445166320906e-09,1.325445166320906e-09,1.325445166320906e-09
1828,9.086112446051889e-06,1.435774475501615e-09,1.435774475501615e-09,1.435774475501615e-09
1829,9.006649114391102e-06,1.435774475501615e-09,1.435774475501615e-09,1.435774475501615e-09
1830,9.175158343818371e-06,1.4859207911729504e-09,1.4859207911729504e-09,1.4859207911729504e-09
1831,9.205873668958833e-06,1.4859207911729504e-09,1.4859207911729504e-09,1.4859207911729504e-09
1832,9.160174418606662e-06,1.4859207911729504e-09,1.4859207911729504e-09,1.4859207911729504e-09
1833,8.9799727252934e-06,3.834166555678158e-10,3.834166555678158e-10,3.834166555678158e-10
1834,8.888677647129433e-06,7.156574301424103e-10,7.156574301424103e-10,7.156574301424103e-10
1835,8.809592925120211e-06,6.891115218137551e-10,6.891115218137551e-10,6.891115218137551e-10
1836,8.888043729322298e-06,7.641727013079397e-10,7.641727013079397e-10,7.641727013079397e-10
1837,8.687261600113874e-06,6.510050276631318e-10,6.510050276631318e-10,6.510050276631318e-10
1838,8.782606658184835e-06,7.27330774972858e-10,7.27330774972858e-10,7.27330774972858e-10
1839,8.958485912964015e-06,1.1820193792009904e-09,1.1820193792009904e-09,1.1820193792009904e-09
1840,8.978091110683245e-06,1.0995411168858637e-09,1.0995411168858637e-09,1.0995411168858637e-09
1841,8.882198017090559e-06,9.772331753334284e-10,9.772331753334284e-10,9.772331753334284e-10
1842,8.85753576897384e-06,1.0150806544524065e-09,1.0150806544524065e-09,1.0150806544524065e-09
1843,8.842435168584675e-06,9.400194749582219e-10,9.400194749582219e-10,9.400194749582219e-10
1844,8.911509212339297e-06,9.961437785754867e-10,9.961437785754867e-10,9.961437785754867e-10
1845,8.654260065148784e-06,1.0532955618813844e-09,1.0532955618813844e-09,1.0532955618813844e-09
1846,8.278853394066183e-06,6.638274572891487e-10,6.638274572891487e-10,6.638274572891487e-10
1847,8.342683421298197e-06,8.45643860492018e-10,8.45643860492018e-10,8.45643860492018e-10
1848,8.416859600401949e-06,9.091494105170231e-10,9.091494105170231e-10,9.091494105170231e-10
1849,8.512251952197403e-06,9.48737140436608e-10,9.48737140436608e-10,9.48737140436608e-10
1850,8.44574866018125e-06,1.281026511059023e-09,1.281026511059023e-09,1.281026511059023e-09
1851,8.456151330652314e-06,1.5188895577785848e-09,1.5188895577785848e-09,1.5188895577785848e-09
1852,8.508672830690297e-06,1.6382198811789754e-09,1.6382198811789754e-09,1.6382198811789754e-09
1853,8.71940808013148e-06,1.910814776248263e-09,1.910814776248263e-09,1.910814776248263e-09
1854,8.786822036199737e-06,1.9815076722297574e-09,1.9815076722297574e-09,1.9815076722297574e-09
1855,8.806896013473825e-06,1.9705780340828483e-09,1.9705780340828483e-09,1.9705780340828483e-09
1856,8.725309661323471e-06,2.0081546425743113e-09,2.0081546425743113e-09,2.0081546425743113e-09
1857,8.863675247994252e-06,2.205341766346537e-09,2.205341766346537e-09,2.205341766346537e-09
1858,8.856219989996004e-06,2.4099481616650972e-09,2.4099481616650972e-09,2.4099481616650972e-09
1859,9.056255294126458e-06,2.7664341928357317e-09,2.7664341928357317e-09,2.7664341928357317e-09
1860,8.996074419493588e-06,2.5506092158979398e-09,2.5506092158979398e-09,2.5506092158979398e-09
1861,8.929579702713194e-06,2.7499933600135964e-09,2.7499933600135964e-09,2.7499933600135964e-09
1862,8.924593203119002e-06,2.821794242713338e-09,2.821794242713338e-09,2.821794242713338e-09
1863,8.962320472554503e-06,3.1481157046288543e-09,3.1481157046288543e-09,3.1481157046288543e-09
1864,9.089734573665606e-06,3.2779709105820334e-09,3.2779709105820334e-09,3.2779709105820334e-09
1865,9.038973595514627e-06,3.0999747213655837e-09,3.0999747213655837e-09,3.0999747213655837e-09
1866,8.94452919705405e-06,2.756118555602427e-09,2.756118555602427e-09,2.756118555602427e-09
1867,9.033810524020477e-06,2.8934028823662014e-09,2.8934028823662014e-09,2.8934028823662014e-09
1868,9.131092156167142e-06,2.7103796350149067e-09,2.7103796350149067e-09,2.7103796350149067e-09
1869,9.132139114496698e-06,2.6531712065442595e-09,2.6531712065442595e-09,2.6531712065442595e-09
1870,9.188170094733192e-06,2.3814732884121425e-09,2.3814732884121425e-09,2.3814732884121425e-09
1871,9.18364990606538e-06,1.925021903786168e-09,1.925021903786168e-09,1.925021903786168e-09
1872,9.462844380842788e-06,1.8136449009276134e-09,1.8136449009276134e-09,1.8136449009276134e-09
1873,9.668110578786582e-06,1.8212684376501492e-09,1.8212684376501492e-09,1.8212684376501492e-09
1874,9.820744838050035e-06,1.9991415665744837e-09,1.9991415665744837e-09,1.9991415665744837e-09
