ngram,strategy,strategy,stategy,stratgey
1609,0.0,0.0,0.0,0.0
1610,0.0,0.0,0.0,0.0
1611,0.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0
1613,0.0,0.0,0.0,0.0
1614,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,0.0
1616,0.0,0.0,0.0,0.0
1617,0.0,0.0,0.0,0.0
1618,0.0,0.0,0.0,0.0
1619,0.0,0.0,0.0,0.0
1620,1.0073891384568664e-07,1.0073891384568664e-07,0.0,0.0
1621,1.0073891384568664e-07,1.0073891384568664e-07,0.0,0.0
1622,1.0073891384568664e-07,1.0073891384568664e-07,0.0,0.0
1623,1.0073891384568664e-07,1.0073891384568664e-07,0.0,0.0
1624,3.9940329900543604e-07,3.9940329900543604e-07,0.0,0.0
1625,3.9940329900543604e-07,3.9940329900543604e-07,0.0,0.0
1626,6.290251154236362e-07,6.290251154236362e-07,0.0,0.0
1627,5.282862015779496e-07,5.282862015779496e-07,0.0,0.0
1628,5.93797827670122e-07,5.93797827670122e-07,0.0,0.0
1629,5.93797827670122e-07,5.93797827670122e-07,0.0,0.0
1630,6.800468262164421e-07,6.800468262164421e-07,0.0,0.0
1631,3.813824410566927e-07,3.813824410566927e-07,0.0,0.0
1632,3.813824410566927e-07,3.813824410566927e-07,0.0,0.0
1633,1.517606246384925e-07,1.517606246384925e-07,0.0,0.0
1634,1.2625240352852934e-06,1.2625240352852934e-06,0.0,0.0
1635,1.1970124091931211e-06,1.1970124091931211e-06,0.0,0.0
1636,1.1970124091931211e-06,1.1970124091931211e-06,0.0,0.0
1637,1.110763410646801e-06,1.110763410646801e-06,0.0,0.0
1638,1.1780984477484578e-06,1.1780984477484578e-06,0.0,0.0
1639,1.2559686776317643e-06,1.2559686776317643e-06,0.0,0.0
1640,1.2559686776317643e-06,1.2559686776317643e-06,0.0,0.0
1641,1.4520526698496334e-07,1.4520526698496334e-07,0.0,0.0
1642,1.4520526698496334e-07,1.4520526698496334e-07,0.0,0.0
1643,1.4520526698496334e-07,1.4520526698496334e-07,0.0,0.0
1644,1.4520526698496334e-07,1.4520526698496334e-07,0.0,0.0
1645,7.787022988330656e-08,7.787022988330656e-08,0.0,0.0
1646,0.0,0.0,0.0,0.0
1647,0.0,0.0,0.0,0.0
1648,0.0,0.0,0.0,0.0
1649,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0
1651,6.020011694220427e-07,6.020011694220427e-07,0.0,0.0
1652,6.020011694220427e-07,6.020011694220427e-07,0.0,0.0
1653,6.020011694220427e-07,6.020011694220427e-07,0.0,0.0
1654,6.020011694220427e-07,6.020011694220427e-07,0.0,0.0
1655,6.020011694220427e-07,6.020011694220427e-07,0.0,0.0
1656,7.379231630823467e-07,7.379231630823467e-07,0.0,0.0
1657,7.657275956164864e-07,7.657275956164864e-07,0.0,0.0
1658,1.1824235071701748e-06,1.1824235071701748e-06,0.0,0.0
1659,1.1824235071701748e-06,1.1824235071701748e-06,0.0,0.0
1660,1.1824235071701748e-06,1.1824235071701748e-06,0.0,0.0
1661,1.1824235071701748e-06,1.1824235071701748e-06,0.0,0.0
1662,1.1824235071701748e-06,1.1824235071701748e-06,0.0,0.0
1663,1.0465015135098708e-06,1.0465015135098708e-06,0.0,0.0
1664,1.0973030433498415e-06,1.0973030433498415e-06,0.0,0.0
1665,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1666,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1667,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1668,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1669,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1670,7.860596237411041e-08,7.860596237411041e-08,0.0,0.0
1671,0.0,0.0,0.0,0.0
1672,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1673,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1674,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1675,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1676,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1677,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1678,4.920120285792759e-08,4.920120285792759e-08,0.0,0.0
1679,0.0,0.0,0.0,0.0
1680,5.430578653431439e-08,5.430578653431439e-08,0.0,0.0
1681,5.430578653431439e-08,5.430578653431439e-08,0.0,0.0
1682,7.446681950438818e-08,7.446681950438818e-08,0.0,0.0
1683,7.446681950438818e-08,7.446681950438818e-08,0.0,0.0
1684,2.790178785159826e-07,2.790178785159826e-07,0.0,0.0
1685,2.790178785159826e-07,2.790178785159826e-07,0.0,0.0
1686,3.342762917262527e-07,3.342762917262527e-07,0.0,0.0
1687,2.799705051919383e-07,2.799705051919383e-07,0.0,0.0
1688,3.2656208353338503e-07,3.2656208353338503e-07,0.0,0.0
1689,3.0640105056331126e-07,3.0640105056331126e-07,0.0,0.0
1690,3.0640105056331126e-07,3.0640105056331126e-07,0.0,0.0
1691,1.0184999155171681e-07,1.0184999155171681e-07,0.0,0.0
1692,1.0184999155171681e-07,1.0184999155171681e-07,0.0,0.0
1693,1.719963539211936e-07,1.719963539211936e-07,0.0,0.0
1694,1.719963539211936e-07,1.719963539211936e-07,0.0,0.0
1695,1.2540477557974684e-07,1.2540477557974684e-07,0.0,0.0
1696,1.2540477557974684e-07,1.2540477557974684e-07,0.0,0.0
1697,1.3275185040129145e-07,1.3275185040129145e-07,0.0,0.0
1698,1.3275185040129145e-07,1.3275185040129145e-07,0.0,0.0
1699,1.3275185040129145e-07,1.3275185040129145e-07,0.0,0.0
1700,7.23363383160956e-08,7.23363383160956e-08,0.0,0.0
1701,7.23363383160956e-08,7.23363383160956e-08,0.0,0.0
1702,7.23363383160956e-08,7.23363383160956e-08,0.0,0.0
1703,8.337754816726114e-08,8.337754816726114e-08,0.0,0.0
1704,7.603047334571653e-08,7.603047334571653e-08,0.0,0.0
1705,7.603047334571653e-08,7.603047334571653e-08,0.0,0.0
1706,7.603047334571653e-08,7.603047334571653e-08,0.0,0.0
1707,1.104120985116554e-08,1.104120985116554e-08,0.0,0.0
1708,1.104120985116554e-08,1.104120985116554e-08,0.0,0.0
1709,1.104120985116554e-08,1.104120985116554e-08,0.0,0.0
1710,3.44300466232588e-08,3.44300466232588e-08,0.0,0.0
1711,3.44300466232588e-08,3.44300466232588e-08,0.0,0.0
1712,3.44300466232588e-08,3.44300466232588e-08,0.0,0.0
1713,3.44300466232588e-08,3.44300466232588e-08,0.0,0.0
1714,4.172944768145369e-07,4.172944768145369e-07,0.0,0.0
1715,4.172944768145369e-07,4.172944768145369e-07,0.0,0.0
1716,4.172944768145369e-07,4.172944768145369e-07,0.0,0.0
1717,3.9814724114454035e-07,3.9814724114454035e-07,0.0,0.0
1718,3.9814724114454035e-07,3.9814724114454035e-07,0.0,0.0
1719,3.9814724114454035e-07,3.9814724114454035e-07,0.0,0.0
1720,3.9814724114454035e-07,3.9814724114454035e-07,0.0,0.0
1721,5.032304325628242e-08,5.032304325628242e-08,0.0,0.0
1722,1.5078167032405482e-07,1.5078167032405482e-07,0.0,0.0
1723,1.5078167032405482e-07,1.5078167032405482e-07,0.0,0.0
