ngram,fishing,fshing,fiishing,fishng
1565,6.624091968530722e-06,0.0,0.0,0.0
1566,5.273763365819052e-06,0.0,0.0,0.0
1567,5.273763365819052e-06,0.0,0.0,0.0
1568,5.273763365819052e-06,0.0,0.0,0.0
1569,6.016468692645763e-06,0.0,0.0,0.0
1570,5.561846981955958e-06,0.0,0.0,0.0
1571,1.0465550336188503e-05,0.0,0.0,0.0
1572,1.2053553551335686e-05,0.0,0.0,0.0
1573,8.246212538714254e-06,0.0,0.0,0.0
1574,1.1514481749535272e-05,0.0,0.0,0.0
1575,1.1514481749535272e-05,0.0,0.0,0.0
1576,1.0771776422708562e-05,0.0,0.0,0.0
1577,1.0771776422708562e-05,0.0,0.0,0.0
1578,7.795377963962632e-06,0.0,0.0,0.0
1579,7.1358385217276265e-06,0.0,0.0,0.0
1580,7.1358385217276265e-06,0.0,0.0,0.0
1581,3.867569310906609e-06,0.0,0.0,0.0
1582,3.867569310906609e-06,0.0,0.0,0.0
1583,5.549748363721717e-06,0.0,0.0,0.0
1584,6.448859949159669e-06,0.0,0.0,0.0
1585,4.521555053673053e-06,0.0,0.0,0.0
1586,2.5812906382530594e-06,0.0,0.0,0.0
1587,2.5812906382530594e-06,0.0,0.0,0.0
1588,2.5812906382530594e-06,0.0,0.0,0.0
1589,2.5812906382530594e-06,0.0,0.0,0.0
1590,1.1590872353346121e-06,0.0,0.0,0.0
1591,5.265091138945926e-07,0.0,0.0,0.0
1592,2.3174244948417514e-06,0.0,0.0,0.0
1593,2.540701221473033e-06,0.0,0.0,0.0
1594,4.384648588841498e-06,0.0,0.0,0.0
1595,4.384648588841498e-06,0.0,0.0,0.0
1596,5.226321491136332e-06,0.0,0.0,0.0
1597,8.598208686245406e-06,0.0,0.0,0.0
1598,9.835628394025012e-06,0.0,0.0,0.0
1599,9.577557973118798e-06,0.0,0.0,0.0
1600,9.780305585341661e-06,0.0,0.0,0.0
1601,1.0866216143767815e-05,0.0,0.0,0.0
1602,1.1701421889093971e-05,0.0,0.0,0.0
1603,1.0859748986799137e-05,0.0,0.0,0.0
1604,8.07923775677669e-06,0.0,0.0,0.0
1605,6.800158368085769e-06,0.0,0.0,0.0
1606,6.388434923922302e-06,0.0,0.0,0.0
1607,5.962410585068158e-06,0.0,0.0,0.0
1608,3.831263045737744e-06,0.0,0.0,0.0
1609,4.316775094334194e-06,0.0,0.0,0.0
1610,4.826568150357551e-06,0.0,0.0,0.0
1611,7.55964637327062e-06,0.0,0.0,0.0
1612,7.334772590184002e-06,0.0,0.0,0.0
1613,1.4843417017930602e-05,0.0,0.0,0.0
1614,1.4843417017930602e-05,0.0,0.0,0.0
1615,1.4806593136589591e-05,0.0,0.0,0.0
1616,1.3485875342666986e-05,0.0,0.0,0.0
1617,1.3717330278138564e-05,0.0,0.0,0.0
1618,1.1413103233540564e-05,0.0,0.0,0.0
1619,1.4676603833712371e-05,0.0,0.0,0.0
1620,8.162355048365758e-06,0.0,0.0,0.0
1621,1.5120656826184131e-05,0.0,0.0,0.0
1622,1.442911872930251e-05,0.0,0.0,0.0
1623,1.5237361334844276e-05,0.0,0.0,0.0
1624,1.4645445535929216e-05,0.0,0.0,0.0
