ngram,actor,acctor,actr,actorr
1562,0.0,0.0,0.0,0.0
1563,0.0,0.0,0.0,0.0
1564,0.0,0.0,0.0,0.0
1565,0.0,0.0,0.0,0.0
1566,0.0,0.0,0.0,0.0
1567,0.0,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0
1570,0.0,0.0,0.0,0.0
1571,2.4518516771162728e-06,0.0,0.0,0.0
1572,2.971812461640054e-06,0.0,0.0,0.0
1573,2.971812461640054e-06,0.0,0.0,0.0
1574,2.971812461640054e-06,0.0,0.0,0.0
1575,2.971812461640054e-06,0.0,0.0,0.0
1576,1.0182699627746064e-05,0.0,0.0,0.0
1577,1.0182699627746064e-05,0.0,0.0,0.0
1578,7.73084795062979e-06,0.0,0.0,0.0
1579,7.210887166106009e-06,0.0,0.0,0.0
1580,7.210887166106009e-06,0.0,0.0,0.0
1581,7.210887166106009e-06,0.0,0.0,0.0
1582,7.210887166106009e-06,0.0,0.0,0.0
1583,2.403113025398592e-07,0.0,0.0,0.0
1584,2.403113025398592e-07,0.0,0.0,0.0
1585,2.403113025398592e-07,0.0,0.0,0.0
1586,2.403113025398592e-07,0.0,0.0,0.0
1587,1.6246295412461871e-06,0.0,0.0,0.0
1588,1.6246295412461871e-06,0.0,0.0,0.0
1589,3.305167865619296e-06,0.0,0.0,0.0
1590,3.584807862872757e-06,0.0,0.0,0.0
1591,4.384408254866555e-06,0.0,0.0,0.0
1592,4.9813800485156075e-06,0.0,0.0,0.0
1593,5.204656775146889e-06,0.0,0.0,0.0
1594,6.167180734857018e-06,0.0,0.0,0.0
1595,6.617977825434147e-06,0.0,0.0,0.0
1596,5.568694177782163e-06,0.0,0.0,0.0
1597,6.501487990005574e-06,0.0,0.0,0.0
1598,5.96729109604764e-06,0.0,0.0,0.0
1599,5.488230450672356e-06,0.0,0.0,0.0
1600,5.477965893468146e-06,0.0,0.0,0.0
1601,5.475010035687384e-06,0.0,0.0,0.0
1602,5.337415115848541e-06,0.0,0.0,0.0
1603,4.706160439127416e-06,0.0,0.0,0.0
1604,4.956118557077259e-06,0.0,0.0,0.0
1605,4.690715059041395e-06,0.0,0.0,0.0
1606,5.7740055256415094e-06,0.0,0.0,0.0
1607,5.560993356214437e-06,0.0,0.0,0.0
1608,3.2171070155787414e-06,0.0,0.0,0.0
1609,3.092578822361247e-06,0.0,0.0,0.0
1610,3.729820118028978e-06,0.0,0.0,0.0
1611,2.436766002184803e-06,0.0,0.0,0.0
1612,3.512768915113286e-06,0.0,0.0,0.0
1613,6.946071136683583e-06,0.0,0.0,0.0
1614,6.946071136683583e-06,0.0,0.0,0.0
1615,7.707957641806778e-06,0.0,0.0,0.0
1616,7.519283664285987e-06,0.0,0.0,0.0
1617,7.005583703240907e-06,0.0,0.0,0.0
1618,6.59593458911851e-06,0.0,0.0,0.0
1619,5.745000675817989e-06,0.0,0.0,0.0
1620,4.9385756304738086e-06,0.0,0.0,0.0
