ngram,coach,cach,cach,cach
1607,4.784057028116097e-06,7.009916527879665e-07,7.009916527879665e-07,7.009916527879665e-07
1608,4.7927644979089175e-06,9.00669249404018e-07,9.00669249404018e-07,9.00669249404018e-07
1609,2.1424916423841623e-06,6.918678130724791e-07,6.918678130724791e-07,6.918678130724791e-07
1610,3.132312396506417e-06,4.072059677387837e-07,4.072059677387837e-07,4.072059677387837e-07
1611,2.6560556745737685e-06,9.192673685122697e-07,9.192673685122697e-07,9.192673685122697e-07
1612,2.8126195112625803e-06,9.192673685122697e-07,9.192673685122697e-07,9.192673685122697e-07
1613,3.131890723904819e-06,8.391872613953768e-07,8.391872613953768e-07,8.391872613953768e-07
1614,4.779939428902123e-06,1.1687970088912283e-06,1.1687970088912283e-06,1.1687970088912283e-06
1615,4.761527488231618e-06,1.350062664836774e-06,1.350062664836774e-06,1.350062664836774e-06
1616,4.384179533190036e-06,1.7104871972151159e-06,1.7104871972151159e-06,1.7104871972151159e-06
1617,3.352872665475713e-06,1.953662928956744e-06,1.953662928956744e-06,1.953662928956744e-06
1618,5.314545173210458e-06,1.7370329520157872e-06,1.7370329520157872e-06,1.7370329520157872e-06
1619,5.495682444234262e-06,2.0746364433372425e-06,2.0746364433372425e-06,2.0746364433372425e-06
1620,5.419206672740984e-06,2.3768531848743024e-06,2.3768531848743024e-06,2.3768531848743024e-06
1621,3.77115796774368e-06,2.047243437378451e-06,2.047243437378451e-06,2.047243437378451e-06
1622,3.3902147151820827e-06,1.8069970013000005e-06,1.8069970013000005e-06,1.8069970013000005e-06
1623,3.6596289062020204e-06,2.2548150744634247e-06,2.2548150744634247e-06,2.2548150744634247e-06
1624,3.438337103034428e-06,2.182855463875707e-06,2.182855463875707e-06,2.182855463875707e-06
1625,1.271840038238484e-06,7.701952556869531e-06,7.701952556869531e-06,7.701952556869531e-06
1626,8.217020389825588e-07,7.364349065548075e-06,7.364349065548075e-06,7.364349065548075e-06
1627,4.187463835998122e-07,7.5414463611066044e-06,7.5414463611066044e-06,7.5414463611066044e-06
1628,4.842580096919846e-07,7.934516133900615e-06,7.934516133900615e-06,7.934516133900615e-06
1629,1.3095514321191461e-06,8.206466028631049e-06,8.206466028631049e-06,8.206466028631049e-06
1630,1.2126352381918487e-06,7.743219417274563e-06,7.743219417274563e-06,7.743219417274563e-06
1631,1.3467029589264712e-06,7.5579150039370035e-06,7.5579150039370035e-06,7.5579150039370035e-06
1632,1.3467029589264712e-06,2.0182648898168864e-06,2.0182648898168864e-06,2.0182648898168864e-06
1633,1.8950741491607914e-06,2.5666360800512067e-06,2.5666360800512067e-06,2.5666360800512067e-06
1634,2.01849231221526e-06,2.087322042955618e-06,2.087322042955618e-06,2.087322042955618e-06
1635,1.952980686123088e-06,1.9412114105372372e-06,1.9412114105372372e-06,1.9412114105372372e-06
1636,1.1276872636959264e-06,1.9627867361902773e-06,1.9627867361902773e-06,1.9627867361902773e-06
1637,1.1746696486625297e-06,2.056751506123484e-06,2.056751506123484e-06,2.056751506123484e-06
1638,1.0259398095513461e-06,1.943391534301294e-06,1.943391534301294e-06,1.943391534301294e-06
1639,1.2595505073217543e-06,1.8242535913616718e-06,1.8242535913616718e-06,1.8242535913616718e-06
1640,7.111793170874339e-07,1.4814985109166758e-06,1.4814985109166758e-06,1.4814985109166758e-06
1641,6.474832413719664e-07,1.4814985109166758e-06,1.4814985109166758e-06,1.4814985109166758e-06
