ngram,red,rd,redd
1608,0.00011523440818044557,1.1260175126283554e-06,0.0
1609,6.02378087413464e-05,1.0014893194108611e-06,0.0
1610,4.660380545828957e-05,1.1289375834167004e-06,0.0
1611,4.8388121545680664e-05,1.4028705988623967e-06,0.0
1612,4.8346982241907555e-05,1.5594344355512085e-06,0.0
1613,4.5285052432778426e-05,1.5590847023564232e-06,1.598104810390006e-07
1614,5.027747465646826e-05,6.832840662290047e-06,1.598104810390006e-07
1615,4.816737314935641e-05,7.014106318235593e-06,1.598104810390006e-07
1616,5.0076068873750046e-05,7.185856873093144e-06,1.598104810390006e-07
1617,5.0517963765222316e-05,7.429032604834772e-06,1.598104810390006e-07
1618,4.823744633800483e-05,7.306944634625065e-06,1.598104810390006e-07
1619,4.952163830499298e-05,7.263012906020906e-06,1.598104810390006e-07
1620,5.136871914146468e-05,7.203941338827592e-06,0.0
1621,5.524583892630679e-05,2.6438573611033334e-06,0.0
1622,5.235757245307988e-05,2.544307741508029e-06,7.034840824157332e-08
1623,5.4487567987442685e-05,2.4532974001496247e-06,7.034840824157332e-08
1624,5.1745141848056975e-05,2.2320055969820326e-06,7.034840824157332e-08
1625,6.220106973030073e-05,3.400913718516157e-06,7.034840824157332e-08
1626,6.028016338989671e-05,3.4054665353063944e-06,7.034840824157332e-08
1627,5.491599949891679e-05,4.2633556956518855e-06,7.034840824157332e-08
1628,4.7568675654474646e-05,4.925427885739607e-06,4.634181810355845e-07
1629,5.0170607729731796e-05,5.469327675200475e-06,8.057164840075919e-07
1630,5.33227978719099e-05,5.6311584850326265e-06,8.91965482553912e-07
1631,6.343467352313123e-05,5.878586210071392e-06,8.91965482553912e-07
1632,5.559307256979602e-05,4.950301477687649e-06,8.91965482553912e-07
1633,6.031954503019473e-05,5.406143665303327e-06,1.166151077671072e-06
1634,6.026700689939649e-05,4.9411882433300236e-06,1.166151077671072e-06
1635,6.257447759188446e-05,4.141682049001767e-06,8.554010183356045e-07
1636,6.515606219181791e-05,3.576921861687359e-06,4.427543071220238e-07
1637,6.269369935450544e-05,3.8041180232539773e-06,5.028255632818659e-07
1638,5.460132108834971e-05,3.878703377527667e-06,5.701606003835227e-07
1639,5.449964529751534e-05,3.6907859209480065e-06,7.259010601501359e-07
1640,5.0660354255731886e-05,3.724978309297252e-06,5.545235199276379e-07
1641,4.846686975465023e-05,4.186859054503397e-06,5.545235199276379e-07
1642,4.383764462545514e-05,4.366269942173469e-06,5.801536409372992e-07
1643,3.931151409882919e-05,4.6476714032905875e-06,6.704760876021152e-07
1644,3.249757329675569e-05,4.539199023513772e-06,5.24155832895953e-07
1645,3.2937455346525114e-05,4.509905238592182e-06,4.5682079579429616e-07
1646,3.271567116566335e-05,4.4685056894065515e-06,3.0108033602768304e-07
1647,3.653556138617985e-05,4.685259260181088e-06,1.9827228113302097e-07
1648,4.022534189321699e-05,4.279896692034006e-06,1.9827228113302097e-07
1649,4.182293741905596e-05,4.071842243190206e-06,1.1072834971465845e-06
1650,5.005110116534135e-05,3.881268639815971e-06,1.4561624084308278e-06
1651,5.258231560998995e-05,4.0623012215032106e-06,1.585162652060847e-06
1652,6.222061503129745e-05,4.622334894780319e-06,1.6408340489501176e-06
1653,6.067491865126483e-05,4.797024855309116e-06,1.6408340489501176e-06
1654,6.018619465716516e-05,4.5658290283816835e-06,1.6408340489501176e-06
1655,6.368158080606787e-05,4.2480503777499375e-06,1.6989370936114158e-06
1656,6.49978296028816e-05,4.42537326047646e-06,7.272833743497488e-07
1657,5.608347834952708e-05,4.546687510550587e-06,3.158864489348291e-07
1658,6.804593535239942e-05,4.29822684314526e-06,3.477331042794114e-07
1659,5.891488607241107e-05,3.5856463520238842e-06,3.5639607785599635e-07
1660,6.133395410350724e-05,3.067613923641537e-06,3.5639607785599635e-07
1661,5.9896553856171e-05,3.3029955050421578e-06,3.5639607785599635e-07
1662,5.816769797612713e-05,3.3953822042219272e-06,2.9829303319469804e-07
1663,5.759449335788044e-05,3.1960247334999233e-06,2.529857019745967e-07
1664,6.130657753341698e-05,2.9591672695720002e-06,2.2518126944045695e-07
1665,5.042504251053158e-05,2.741176266291794e-06,1.0842598742653666e-07
1666,5.1374277453370656e-05,3.050897573432719e-06,1.2398841217223629e-07
1667,5.5182772484840825e-05,3.5071419850802547e-06,1.2398841217223629e-07
1668,6.234664241284398e-05,2.7853123551072452e-06,1.2398841217223629e-07
1669,6.172187308298558e-05,2.909824875782111e-06,1.2398841217223629e-07
1670,6.156429818864646e-05,2.770756736936164e-06,1.6263758035555448e-07
1671,5.879091882629187e-05,3.238922317905235e-06,2.0174777302729906e-07
1672,5.5835288679060924e-05,3.4909852664506095e-06,2.068573589245456e-07
1673,5.239415726724214e-05,3.2876452158754025e-06,1.5170343406875224e-07
1674,4.714884822273494e-05,2.8987648680153403e-06,1.5170343406875224e-07
1675,3.816869606712966e-05,3.160457773836762e-06,1.860219336029851e-07
1676,3.42068407397684e-05,3.183557997285139e-06,1.860219336029851e-07
1677,3.129231455594501e-05,3.3008592643974614e-06,1.4737276541966692e-07
1678,3.458280402160848e-05,2.915572947261223e-06,1.2818114417508957e-07
1679,3.5450361662827034e-05,2.6296779976421803e-06,1.020517105741549e-07
1680,3.579494140077648e-05,2.722544162939552e-06,9.541076906316448e-08
1681,3.515868567254594e-05,2.875219901657796e-06,9.541076906316448e-08
1682,3.750131898933822e-05,2.918947757279966e-06,6.10922695289316e-08
1683,4.709357900927509e-05,2.75547732339224e-06,1.0522672612621267e-07
1684,4.839598737557286e-05,2.573121751733457e-06,1.0522672612621267e-07
1685,4.483084454217793e-05,2.6181295912205575e-06,1.0551398637354786e-07
1686,4.360007239613749e-05,2.7742207748815417e-06,1.1007142372168996e-07
1687,4.305412715309233e-05,3.274270803948249e-06,9.196949487691849e-08
1688,4.323259573928746e-05,3.033656136202418e-06,9.196949487691849e-08
1689,3.786425492892574e-05,2.919894492541581e-06,9.196949487691849e-08
1690,3.070442471653223e-05,3.192521441113578e-06,4.7835038279637436e-08
1691,3.089433760448758e-05,3.2380748474939277e-06,7.23010913361577e-08
1692,3.109724327389683e-05,3.347730739733379e-06,5.209525966165529e-08
1693,3.143021422147285e-05,3.368487390227009e-06,2.446605305652026e-08
1694,3.130688206251112e-05,2.964938484443077e-06,2.446605305652026e-08
1695,3.088129519060853e-05,2.995738587482525e-06,2.446605305652026e-08
1696,3.52978196523119e-05,2.8529944659437334e-06,2.446605305652026e-08
1697,3.346381760950733e-05,2.638780074448732e-06,4.650727752115407e-08
1698,3.129505421384238e-05,2.6140412014033894e-06,6.35263067546735e-08
1699,2.932620321059533e-05,2.4412797594257948e-06,8.966538749583769e-08
1700,2.973938093678693e-05,2.553628340657659e-06,8.966538749583769e-08
1701,3.855715684559462e-05,2.3550454995659365e-06,8.966538749583769e-08
1702,3.8562285356290105e-05,2.8436544263448534e-06,1.9753182454808537e-07
1703,3.723003257099273e-05,3.0397041622823702e-06,2.1961424425041643e-07
1704,3.6429259125725366e-05,3.079453465813588e-06,2.148965531237731e-07
1705,3.8246540238365666e-05,3.039409096215552e-06,2.100426895270045e-07
1706,4.0186393951963896e-05,3.192900359343704e-06,1.9497899168235173e-07
1707,4.011717360949011e-05,3.0132549194864363e-06,2.6789370975523396e-07
1708,3.069529468900457e-05,3.089586178767994e-06,3.1612304443992147e-07
1709,2.9650723912969363e-05,2.767102874453745e-06,2.082566073876738e-07
1710,2.637603704767701e-05,2.613242486404488e-06,2.0338921099697212e-07
1711,2.668989093633302e-05,2.4775246337022897e-06,1.9575800637637387e-07
1712,2.5678493849617163e-05,2.8162588543117247e-06,2.3517072784378407e-07
1713,2.5641226914428573e-05,2.8814328873392825e-06,2.5654939049348157e-07
1714,2.592030146583316e-05,2.9623150956987435e-06,2.0277789352413883e-07
1715,3.975342302250543e-05,2.8503064056297134e-06,1.7719326552066506e-07
1716,4.068380024234232e-05,2.7969646063346384e-06,1.8604822368420822e-07
1717,4.381292897700665e-05,2.8385988376352804e-06,2.376058521999117e-07
1718,5.22899510022918e-05,2.9697849705761266e-06,2.3565527992478304e-07
1719,5.42212047938457e-05,2.651501875204433e-06,1.5961133976410175e-07
1720,5.6358373382993576e-05,2.5037434170371853e-06,1.2715729421789286e-07
1721,5.815688512354557e-05,2.33663422477548e-06,1.4305430541737353e-07
1722,5.402415990829468e-05,2.2406516434005297e-06,1.4359235882872262e-07
1723,5.599847385643183e-05,2.2413510773081465e-06,1.4708775302502935e-07
1724,5.394327386706469e-05,2.1833923905692894e-06,1.9573349823482594e-07
1725,5.019194031774532e-05,2.0308214711154245e-06,3.129919465193e-07
1726,4.862057409939423e-05,1.9189502284331994e-06,3.257669425644443e-07
1727,5.303103457013744e-05,1.773253578513894e-06,5.994755726744318e-07
1728,5.395063869530402e-05,1.8302307580597699e-06,5.709149003710731e-07
1729,4.5965816233157443e-05,2.046746690861515e-06,5.732200471746702e-07
1730,4.786267969133665e-05,2.0818348665281e-06,5.608696948148204e-07
1731,5.024494125141895e-05,2.2968608845985727e-06,4.5738477691007316e-07
1732,5.364395422345426e-05,2.591352053319237e-06,3.3864309604122613e-07
1733,5.304980030424693e-05,2.7177535457667545e-06,3.3991763917892316e-07
1734,5.3472511613758146e-05,2.8842355277447496e-06,8.169420390962451e-08
1735,5.607044425102815e-05,2.767224438165223e-06,7.521464390996308e-08
1736,5.904194170268186e-05,2.642974631531355e-06,6.075138715898123e-08
1737,5.700020093562281e-05,2.4553392969599893e-06,1.7149743872632177e-07
1738,5.867500528568469e-05,2.2268499313733107e-06,1.9600667247995522e-07
1739,5.0104604399945985e-05,2.112070238321654e-06,2.188263975101888e-07
1740,5.3448167039147976e-05,2.8530494091683067e-06,2.0477685832734745e-07
1741,5.10301927403946e-05,2.6984118416554078e-06,2.0117436503954066e-07
1742,5.083237608362522e-05,2.7467442090970247e-06,2.458159704994094e-07
