ngram,size,sze,szie,siize
1577,4.556586723733095e-05,0.0,0.0,0.0
1578,2.8402906017228296e-05,0.0,0.0,0.0
1579,3.228343484806828e-05,0.0,0.0,0.0
1580,2.8508206794088308e-05,0.0,0.0,0.0
1581,2.910151416862001e-05,0.0,0.0,0.0
1582,2.910151416862001e-05,0.0,0.0,0.0
1583,1.6602230256726864e-05,0.0,0.0,0.0
1584,7.295438211128515e-06,0.0,0.0,0.0
1585,7.295438211128515e-06,0.0,0.0,0.0
1586,4.1338032263281225e-06,0.0,0.0,0.0
1587,4.1338032263281225e-06,0.0,0.0,0.0
1588,4.879507482006115e-06,0.0,0.0,0.0
1589,5.626413375076871e-06,0.0,0.0,0.0
1590,4.483849871966024e-06,0.0,0.0,0.0
1591,4.650872142519802e-06,0.0,0.0,0.0
1592,5.2478439361688544e-06,0.0,0.0,0.0
1593,4.752226816760542e-06,0.0,0.0,0.0
1594,4.752226816760542e-06,0.0,0.0,0.0
1595,4.314809367705104e-06,0.0,0.0,0.0
1596,7.355431534961099e-06,0.0,0.0,0.0
1597,8.633560160628154e-06,0.0,0.0,0.0
1598,1.4689086843385926e-05,0.0,0.0,0.0
1599,1.6214515783628614e-05,0.0,0.0,0.0
1600,1.769533641241391e-05,0.0,0.0,0.0
1601,1.9648575029610322e-05,0.0,0.0,0.0
1602,2.334061251271383e-05,0.0,0.0,0.0
1603,1.9553084452387077e-05,0.0,0.0,0.0
1604,1.919773213947857e-05,0.0,0.0,0.0
1605,1.2413382267238506e-05,0.0,0.0,0.0
1606,1.269338476309453e-05,0.0,0.0,0.0
1607,1.0989287407677953e-05,0.0,0.0,0.0
1608,1.0433791950552923e-05,0.0,0.0,0.0
1609,6.4061822350985106e-06,0.0,0.0,0.0
1610,6.53363049910435e-06,0.0,0.0,0.0
1611,7.2888218889082575e-06,0.0,0.0,0.0
1612,7.22051195063094e-06,0.0,0.0,0.0
1613,5.297540147759199e-06,0.0,0.0,0.0
1614,1.0241686392678925e-05,0.0,0.0,0.0
1615,8.84394323260754e-06,0.0,0.0,0.0
1616,9.359194848457264e-06,3.6042453237834185e-07,0.0,0.0
1617,9.849453233203218e-06,3.6042453237834185e-07,0.0,0.0
1618,8.376329982898564e-06,3.6042453237834185e-07,0.0,0.0
1619,8.895070745243824e-06,3.6042453237834185e-07,0.0,0.0
1620,9.02007280144192e-06,3.6042453237834185e-07,0.0,0.0
1621,4.4327625476268754e-06,3.6042453237834185e-07,0.0,0.0
1622,5.276943446525755e-06,3.6042453237834185e-07,0.0,0.0
1623,6.3509834100321835e-06,0.0,0.0,0.0
1624,1.215456089604621e-05,0.0,0.0,0.0
1625,1.3246406816896134e-05,0.0,0.0,0.0
1626,1.544374906968317e-05,0.0,0.0,0.0
1627,1.483931558660905e-05,0.0,0.0,0.0
1628,1.612027023968819e-05,0.0,0.0,0.0
1629,1.568873605200289e-05,0.0,0.0,0.0
1630,1.5344651468954646e-05,0.0,0.0,0.0
1631,9.603527165121964e-06,0.0,0.0,0.0
1632,8.076666680218686e-06,0.0,0.0,0.0
1633,6.188325317322908e-06,0.0,0.0,0.0
1634,1.3223160814439844e-05,0.0,0.0,0.0
1635,1.2079288451007284e-05,0.0,0.0,0.0
1636,1.2100863776660325e-05,0.0,0.0,0.0
1637,1.12407165033801e-05,0.0,0.0,0.0
1638,1.0695226746650275e-05,0.0,0.0,0.0
1639,1.1469263906097435e-05,0.0,0.0,0.0
1640,1.1297794011560264e-05,0.0,0.0,0.0
1641,4.442124780520576e-06,0.0,0.0,0.0
1642,5.891303471474073e-06,0.0,0.0,0.0
1643,5.457081434607451e-06,0.0,0.0,0.0
1644,5.8809217518631026e-06,0.0,0.0,0.0
1645,5.893602162489385e-06,0.0,0.0,0.0
1646,5.677930695518236e-06,0.0,0.0,0.0
1647,5.27288596328747e-06,0.0,0.0,0.0
1648,5.460513583394848e-06,0.0,0.0,0.0
1649,3.98678324537676e-06,0.0,0.0,0.0
1650,1.0530883465824964e-05,0.0,0.0,0.0
1651,9.41396196399832e-06,0.0,0.0,0.0
1652,1.1660481569768827e-05,0.0,0.0,0.0
1653,1.0703110628388199e-05,0.0,0.0,0.0
1654,1.0556231554151704e-05,0.0,0.0,0.0
1655,1.0770468098339084e-05,0.0,0.0,0.0
1656,1.1705628675632137e-05,0.0,0.0,0.0
1657,5.439572776465086e-06,0.0,0.0,0.0
1658,6.0930380608884405e-06,0.0,0.0,0.0
1659,4.149508559489082e-06,0.0,0.0,0.0
1660,6.72470023995889e-06,0.0,0.0,0.0
1661,6.485722378459156e-06,0.0,0.0,0.0
1662,6.432490108311738e-06,0.0,0.0,0.0
