ngram,fun,fn,funn,fuun
1760,4.581795967949022e-05,1.9867396271625433e-06,9.559388709184141e-09,0.0
1761,4.874352556985936e-05,2.0896010742684927e-06,9.559388709184141e-09,0.0
1762,4.947928339658704e-05,2.147974149530845e-06,1.4924552768239404e-08,0.0
1763,5.218342474628506e-05,2.2166035315811835e-06,1.1889082226649147e-08,0.0
1764,5.1225284031326214e-05,2.2137717223813524e-06,1.4465318339976615e-08,0.0
1765,5.5298264799473274e-05,2.2193469898671277e-06,1.7412726752549394e-08,0.0
1766,5.974409110162274e-05,2.2124278789955757e-06,1.7334983987942517e-08,0.0
1767,6.067633252574264e-05,2.1771517302633062e-06,1.7334983987942517e-08,0.0
1768,6.422438153614556e-05,2.2646308609962162e-06,1.7334983987942517e-08,0.0
1769,6.463384124799632e-05,2.277082200764978e-06,1.5016079554389502e-08,0.0
1770,6.506920752664363e-05,2.310955583847577e-06,1.5016079554389502e-08,0.0
1771,6.531261637324601e-05,2.274189357974267e-06,9.394720176406476e-09,0.0
1772,6.412304459705151e-05,2.2348371463262344e-06,1.1719475421857948e-08,0.0
1773,5.995256651658565e-05,2.1423539595031926e-06,1.3508804995256339e-08,2.5951908558649197e-09
1774,5.9596539878319686e-05,2.1068606201879447e-06,1.618126813493096e-08,2.5951908558649197e-09
1775,5.577401160345679e-05,1.9296420045325898e-06,1.618126813493096e-08,2.5951908558649197e-09
1776,6.0826586767299364e-05,1.8583210703582154e-06,1.584737801303098e-08,2.5951908558649197e-09
1777,6.16365931429235e-05,1.7809715992760694e-06,1.8765428322353728e-08,2.5951908558649197e-09
1778,5.991192249764156e-05,1.8981299133104455e-06,2.4327715714938288e-08,2.5951908558649197e-09
1779,5.7775995498689425e-05,1.9190176284869916e-06,2.417892349829539e-08,2.5951908558649197e-09
1780,5.597408744506538e-05,1.9860057299021198e-06,1.8988541786565553e-08,0.0
1781,5.6485246854468384e-05,1.9784690883690407e-06,2.0141112396946222e-08,0.0
1782,5.652280482796154e-05,1.9666724223757877e-06,2.2299245878392478e-08,0.0
1783,5.2365924472854075e-05,1.9416794267661837e-06,2.8285272536874928e-08,0.0
1784,5.110043535491319e-05,1.892908244371938e-06,2.8696166458936593e-08,0.0
