ngram,name,nme,nmae,namee
1726,0.00015540421840601733,6.049227709224527e-08,0.0,0.0
1727,0.00015229344509342418,6.51165805720666e-08,0.0,0.0
1728,0.00015366266182224666,8.455525955598984e-08,0.0,0.0
1729,0.0001482687927948843,8.319964958250889e-08,0.0,0.0
1730,0.00014098437220257307,7.90325351829324e-08,0.0,0.0
1731,0.00014165634222860848,7.535325557179412e-08,0.0,0.0
1732,0.00012701954359986952,1.0555144669410765e-07,0.0,0.0
1733,0.00012489273857292055,1.0618871826295617e-07,0.0,0.0
1734,0.0001321920333014402,9.250328655444459e-08,0.0,5.161731613562941e-09
1735,0.00013335427606112456,7.953153361281043e-08,0.0,5.161731613562941e-09
1736,0.00013161275066002936,7.315955688877043e-08,0.0,5.161731613562941e-09
1737,0.00012918464303116446,7.881957537441459e-08,0.0,5.161731613562941e-09
1738,0.00013525390594233095,7.58697287851971e-08,0.0,5.161731613562941e-09
1739,0.0001376851713368004,5.124225056972266e-08,0.0,8.392648100295576e-09
1740,0.0001369325369263866,5.1704759584936255e-08,0.0,8.392648100295576e-09
1741,0.000127554614404549,6.358746113781827e-08,0.0,3.2309164867326346e-09
1742,0.00014147167114840289,7.625265143116979e-08,0.0,3.2309164867326346e-09
1743,0.00015002212291749726,9.551543860603878e-08,0.0,3.2309164867326346e-09
1744,0.0001709946965482751,9.506436374603514e-08,0.0,3.2309164867326346e-09
1745,0.0001792480148391665,9.670388325032166e-08,0.0,3.2309164867326346e-09
1746,0.00019051021601106704,1.03692125869819e-07,0.0,0.0
1747,0.0001945719465896088,9.620484726318474e-08,0.0,4.159151753161236e-09
1748,0.0002029501650083278,9.524134116288354e-08,0.0,4.159151753161236e-09
1749,0.0001921291883003765,9.0975065956757e-08,0.0,4.159151753161236e-09
1750,0.00020383345171077444,7.501101022861739e-08,0.0,4.159151753161236e-09
1751,0.00019804500958083997,6.875710591357023e-08,0.0,4.159151753161236e-09
1752,0.00020050159115011672,5.61339538661189e-08,0.0,4.159151753161236e-09
1753,0.00021478679887617806,4.12513977262766e-08,0.0,4.159151753161236e-09
1754,0.00022996760630381426,4.54354664368241e-08,0.0,0.0
1755,0.0002477385465421581,3.836957875234605e-08,0.0,7.70661553620552e-09
1756,0.00026767398230731487,2.6539208164422234e-08,0.0,1.0742086077795778e-08
1757,0.00028966209668266984,4.455634058534283e-08,0.0,1.0742086077795778e-08
1758,0.00030299463001678565,4.052564810714492e-08,0.0,1.0742086077795778e-08
1759,0.00031417965406685004,5.444082771889823e-08,0.0,1.0742086077795778e-08
1760,0.0003111595038457641,8.134787827478768e-08,0.0,1.0742086077795778e-08
1761,0.000319752621830308,1.0769505135296445e-07,0.0,1.0742086077795778e-08
1762,0.0003269442115976874,1.7090629533811352e-07,0.0,3.035470541590257e-09
1763,0.000326429888705856,1.79225523057523e-07,0.0,0.0
1764,0.0003156473602367831,1.691523779458391e-07,0.0,0.0
1765,0.0003218212929953422,1.6899220156574302e-07,0.0,0.0
1766,0.0003305878074440573,1.652801781152188e-07,0.0,0.0
1767,0.00033997627490732284,1.4512178430387784e-07,0.0,0.0
1768,0.0003500152545581971,1.2263718015706866e-07,0.0,0.0
1769,0.00034519649177257506,7.080392602379756e-08,0.0,0.0
1770,0.00036238338881438333,7.098091409878699e-08,0.0,0.0
1771,0.00036401403485797346,6.763612654075197e-08,0.0,0.0
1772,0.0003601413378159383,7.523304544422769e-08,0.0,2.6360818290121254e-09
1773,0.000359360348998702,6.762508013886353e-08,0.0,2.6360818290121254e-09
