ngram,map,mp,ma,amp
1544,0.0006634997919588516,7.060266948753582e-05,1.3512342580465234e-05,5.988211147009029e-05
1545,0.0005592131559686615,2.483153085514849e-05,5.858467829966685e-06,5.035279601932936e-05
1546,0.0005586627510183462,2.483153085514849e-05,1.3130829042243672e-05,4.7032351436168286e-05
1547,0.0005914341630354361,8.709721368761945e-05,1.640797024395267e-05,4.7032351436168286e-05
1548,0.00021820353377474281,8.709721368761945e-05,1.7002454114845023e-05,1.2913138951781938e-05
1549,0.00021820353377474281,8.709721368761945e-05,3.097036954256639e-05,1.1408492615113833e-05
1550,3.8369380523103504e-05,6.428022845739179e-05,3.097036954256639e-05,0.0
1551,8.559332234524066e-05,0.00012317105081040478,3.2357832229276286e-05,1.4167183378179158e-05
1552,9.443192467577839e-05,0.0001212956101101424,3.0482391529013902e-05,1.4167183378179158e-05
1553,9.415221848030342e-05,0.0001212956101101424,2.3210030316736914e-05,1.4167183378179158e-05
1554,6.138080646321344e-05,5.9029927277671436e-05,2.9189491280184094e-05,1.4167183378179158e-05
1555,6.230503796749482e-05,5.9029927277671436e-05,2.859500740929174e-05,1.4768168382163691e-05
1556,6.542766693330902e-05,6.215255624348564e-05,1.1617799308234161e-05,1.4768168382163691e-05
1557,9.076096388785768e-05,6.215255624348564e-05,3.030781564510627e-05,1.4768168382163691e-05
1558,4.353702206572052e-05,3.122628965814199e-06,2.9310715815102283e-05,6.009850039845333e-07
1559,3.416257953046754e-05,3.122628965814199e-06,2.9310715815102283e-05,6.009850039845333e-07
1560,4.672590694099199e-05,3.122628965814199e-06,3.379761801625136e-05,6.009850039845333e-07
1561,4.672590694099199e-05,3.122628965814199e-06,2.4541015851095187e-05,6.009850039845333e-07
1562,0.0001041632765139054,2.0899774556580398e-05,2.809644502121955e-05,0.0
1563,0.00010104064754809119,1.77771455907662e-05,2.9460310153288966e-05,0.0
1564,8.572891549972286e-05,2.4138792338947367e-05,1.7131940564598024e-05,0.0
1565,8.572891549972286e-05,2.4138792338947367e-05,1.8803245179047474e-05,0.0
1566,0.0001580683986373645,2.4138792338947367e-05,2.6417927204290337e-05,0.0
1567,0.0002485470665435839,4.461071148398332e-05,2.1931025003141258e-05,3.4119865241726596e-06
1568,0.0002485470665435839,4.461071148398332e-05,2.4872106353411383e-05,3.4119865241726596e-06
1569,0.00018884747727757452,2.683356589321712e-05,2.131667718328702e-05,3.4119865241726596e-06
1570,0.00024324392091200155,3.589963983228829e-05,2.2974836610956118e-05,9.456035643649687e-06
1571,0.00023052062741563923,2.9537993084107127e-05,1.661318986277495e-05,9.456035643649687e-06
